p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.591930,0.324820,0.053750,0.029500,0.185100,1.000000,0.185100,1.000000,0.185100,1.000000,1.783970,1.783970
0.504570,0.442540,0.028170,0.024710,0.120370,1.000000,0.120370,1.000000,0.120370,1.000000,1.000000,1.000000
0.489770,0.475960,0.017380,0.016890,0.154080,1.000000,0.154080,1.000000,0.154080,1.000000,1.509990,1.509990
0.465490,0.412020,0.064980,0.057510,0.144440,1.000000,0.144440,1.000000,0.144440,1.000000,1.000000,1.000000
0.528070,0.464080,0.004180,0.003670,0.155760,1.000000,0.155760,1.000000,0.155760,1.000000,5.392220,5.392220
0.517380,0.452450,0.016100,0.014080,0.147990,1.000000,0.147990,1.000000,0.147990,1.000000,1.000000,1.000000
0.495650,0.504350,0.000000,0.000000,0.124220,1.000000,0.124220,1.000000,0.124220,1.000000,1.000000,1.000000
0.447240,0.552760,0.000000,0.000000,0.112760,1.000000,0.112760,1.000000,0.112760,1.000000,1.000000,1.000000
0.529100,0.457950,0.006940,0.006010,0.122840,1.000000,0.122840,1.000000,0.122840,1.000000,1.000000,1.000000
0.451870,0.480100,0.032990,0.035050,0.133740,1.000000,0.133740,1.000000,0.133740,1.000000,1.225110,1.225110
0.433800,0.566200,0.000000,0.000000,0.127690,1.000000,0.127690,1.000000,0.127690,1.000000,1.000000,1.000000
0.546660,0.376330,0.045610,0.031400,0.131010,1.000000,0.131010,1.000000,0.131010,1.000000,1.002190,1.002190
0.483420,0.410030,0.057650,0.048900,0.157990,1.000000,0.157990,1.000000,0.157990,1.000000,1.000000,1.000000
0.533720,0.384900,0.047280,0.034100,0.162380,1.000000,0.162380,1.000000,0.162380,1.000000,1.000000,1.000000
0.491510,0.442020,0.035000,0.031470,0.123810,1.000000,0.123810,1.000000,0.123810,1.000000,1.000000,1.000000
0.479890,0.520110,0.000000,0.000000,0.142410,1.000000,0.142410,1.000000,0.142410,1.000000,1.000000,1.000000
0.470650,0.425880,0.054310,0.049150,0.108160,1.000000,0.108160,1.000000,0.108160,1.000000,1.000000,1.000000
0.521300,0.456910,0.011610,0.010180,0.161180,1.000000,0.161180,1.000000,0.161180,1.000000,1.000000,1.000000
0.505040,0.494960,0.000000,0.000000,0.156650,1.000000,0.156650,1.000000,0.156650,1.000000,1.000000,1.000000
0.527720,0.437950,0.018760,0.015570,0.138310,1.000000,0.138310,1.000000,0.138310,1.000000,1.525950,1.525950
0.487650,0.512350,0.000000,0.000000,0.143580,1.000000,0.143580,1.000000,0.143580,1.000000,1.000000,1.000000
0.513200,0.453670,0.017580,0.015540,0.166700,1.000000,0.166700,1.000000,0.166700,1.000000,1.509500,1.509500
0.457080,0.362580,0.100560,0.079770,0.155530,1.000000,0.155530,1.000000,0.155530,1.000000,1.000000,1.000000
0.407890,0.366680,0.118710,0.106720,0.138060,1.000000,0.138060,1.000000,0.138060,1.000000,1.000000,1.000000
0.554150,0.441100,0.002650,0.002110,0.120780,1.000000,0.120780,1.000000,0.120780,1.000000,1.000000,1.000000
0.513270,0.486730,0.000000,0.000000,0.167000,1.000000,0.167000,1.000000,0.167000,1.000000,1.000000,1.000000
0.545030,0.349730,0.064100,0.041130,0.178230,1.000000,0.178230,1.000000,0.178230,1.000000,1.000000,1.000000
0.529830,0.443910,0.014290,0.011970,0.150660,1.000000,0.150660,1.000000,0.150660,1.000000,1.000000,1.000000
0.573320,0.426680,0.000000,0.000000,0.196390,1.000000,0.196390,1.000000,0.196390,1.000000,1.000000,1.000000
0.515070,0.457910,0.014300,0.012710,0.140430,1.000000,0.140430,1.000000,0.140430,1.000000,1.000000,1.000000
0.630740,0.339910,0.019070,0.010280,0.211440,1.000000,0.211440,1.000000,0.211440,1.000000,1.000000,1.000000
0.492320,0.454410,0.027700,0.025570,0.120770,1.000000,0.120770,1.000000,0.120770,1.000000,1.000000,1.000000
0.556480,0.443520,0.000000,0.000000,0.151710,1.000000,0.151710,1.000000,0.151710,1.000000,1.000000,1.000000
0.456290,0.444380,0.050320,0.049010,0.153570,1.000000,0.153570,1.000000,0.153570,1.000000,1.000000,1.000000
0.565080,0.329390,0.066670,0.038860,0.148190,1.000000,0.148190,1.000000,0.148190,1.000000,1.000000,1.000000
0.533540,0.384720,0.047490,0.034240,0.134640,1.000000,0.134640,1.000000,0.134640,1.000000,1.000000,1.000000
0.590260,0.409740,0.000000,0.000000,0.176080,1.000000,0.176080,1.000000,0.176080,1.000000,1.000000,1.000000
0.495320,0.466580,0.019620,0.018480,0.118330,1.000000,0.118330,1.000000,0.118330,1.000000,1.000000,1.000000
0.538100,0.461900,0.000000,0.000000,0.130020,1.000000,0.130020,1.000000,0.130020,1.000000,1.000000,1.000000
0.583540,0.353150,0.039440,0.023870,0.215350,1.000000,0.215350,1.000000,0.215350,1.000000,1.706380,1.706380
0.450150,0.445350,0.052530,0.051970,0.145070,1.000000,0.145070,1.000000,0.145070,1.000000,1.000000,1.000000
0.454730,0.492540,0.025310,0.027420,0.098740,1.000000,0.098740,1.000000,0.098740,1.000000,1.000000,1.000000
0.532960,0.438420,0.015700,0.012920,0.172980,1.000000,0.172980,1.000000,0.172980,1.000000,2.441270,2.441270
0.473530,0.526470,0.000000,0.000000,0.102180,1.000000,0.102180,1.000000,0.102180,1.000000,1.000000,1.000000
0.489700,0.471250,0.019900,0.019150,0.136190,1.000000,0.136190,1.000000,0.136190,1.000000,1.000000,1.000000
0.398670,0.536700,0.027550,0.037090,0.107150,1.000000,0.107150,1.000000,0.107150,1.000000,1.580520,1.580520
0.612400,0.374980,0.007830,0.004800,0.189330,1.000000,0.189330,1.000000,0.189330,1.000000,2.631220,2.631220
0.506770,0.493230,0.000000,0.000000,0.107500,1.000000,0.107500,1.000000,0.107500,1.000000,1.000000,1.000000
0.535880,0.461130,0.001610,0.001380,0.167790,1.000000,0.167790,1.000000,0.167790,1.000000,1.000000,1.000000
0.552730,0.393840,0.031200,0.022230,0.153290,1.000000,0.153290,1.000000,0.153290,1.000000,1.026550,1.026550
0.514390,0.448130,0.020030,0.017450,0.184090,1.000000,0.184090,1.000000,0.184090,1.000000,1.203900,1.203900
0.499170,0.401200,0.055240,0.044400,0.163550,1.000000,0.163550,1.000000,0.163550,1.000000,1.000000,1.000000
0.481880,0.518120,0.000000,0.000000,0.138310,1.000000,0.138310,1.000000,0.138310,1.000000,1.000000,1.000000
0.540240,0.426450,0.018620,0.014700,0.164390,1.000000,0.164390,1.000000,0.164390,1.000000,1.000000,1.000000
0.585710,0.323440,0.058530,0.032320,0.159960,1.000000,0.159960,1.000000,0.159960,1.000000,1.115740,1.115740
0.477090,0.389240,0.073610,0.060050,0.107210,1.000000,0.107210,1.000000,0.107210,1.000000,1.530090,1.530090
0.452410,0.449570,0.049170,0.048860,0.103670,1.000000,0.103670,1.000000,0.103670,1.000000,1.000000,1.000000
0.486550,0.501220,0.006020,0.006210,0.137770,1.000000,0.137770,1.000000,0.137770,1.000000,6.184590,6.184590
0.458160,0.541840,0.000000,0.000000,0.112960,1.000000,0.112960,1.000000,0.112960,1.000000,1.000000,1.000000
0.505430,0.309400,0.114860,0.070310,0.124290,1.000000,0.124290,1.000000,0.124290,1.000000,1.000000,1.000000
0.526810,0.423010,0.027830,0.022350,0.168860,1.000000,0.168860,1.000000,0.168860,1.000000,1.000000,1.000000
0.504680,0.495320,0.000000,0.000000,0.098620,1.000000,0.098620,1.000000,0.098620,1.000000,1.000000,1.000000
0.574170,0.401990,0.014020,0.009820,0.211310,1.000000,0.211310,1.000000,0.211310,1.000000,1.000000,1.000000
0.528570,0.381530,0.052210,0.037690,0.163180,1.000000,0.163180,1.000000,0.163180,1.000000,1.000000,1.000000
0.495320,0.430430,0.039730,0.034520,0.143110,1.000000,0.143110,1.000000,0.143110,1.000000,1.000000,1.000000
0.511690,0.457870,0.016060,0.014370,0.147520,1.000000,0.147520,1.000000,0.147520,1.000000,1.000000,1.000000
0.477050,0.493580,0.014440,0.014940,0.150470,1.000000,0.150470,1.000000,0.150470,1.000000,3.347450,3.347450
0.451110,0.459610,0.044220,0.045050,0.158750,1.000000,0.158750,1.000000,0.158750,1.000000,1.000000,1.000000
0.489230,0.510770,0.000000,0.000000,0.139320,1.000000,0.139320,1.000000,0.139320,1.000000,1.000000,1.000000
0.602000,0.398000,0.000000,0.000000,0.161350,1.000000,0.161350,1.000000,0.161350,1.000000,1.000000,1.000000
0.532550,0.467450,0.000000,0.000000,0.205890,1.000000,0.205890,1.000000,0.205890,1.000000,1.000000,1.000000
0.516060,0.440190,0.023610,0.020140,0.154640,1.000000,0.154640,1.000000,0.154640,1.000000,1.000000,1.000000
0.521420,0.478580,0.000000,0.000000,0.113960,1.000000,0.113960,1.000000,0.113960,1.000000,1.000000,1.000000
0.534290,0.388250,0.044860,0.032600,0.145730,1.000000,0.145730,1.000000,0.145730,1.000000,1.000000,1.000000
0.483870,0.514500,0.000790,0.000840,0.128060,1.000000,0.128060,1.000000,0.128060,1.000000,1.000000,1.000000
