null1,null2,bsA
-7586.192169,-7583.573570,-7582.446220
-8027.742229,-8027.038170,-8027.033723
-7746.507536,-7746.317049,-7746.317049
-7372.170160,-7369.991935,-7369.521855
-7647.781465,-7646.252218,-7646.252218
-7769.102616,-7769.095148,-7768.729790
-7778.349658,-7778.329919,-7778.279556
-7612.164264,-7612.164266,-7612.164979
-7628.445221,-7628.445221,-7628.445221
-7552.763990,-7552.504237,-7552.504237
-7679.776249,-7679.233931,-7679.233931
-7504.802396,-7504.799989,-7504.799989
-7641.399738,-7640.752726,-7640.752726
-7799.476951,-7799.436816,-7798.849490
-7764.734206,-7764.722994,-7761.698768
-7793.078496,-7793.193312,-7793.078496
-7670.070385,-7669.238353,-7669.238353
-7741.090862,-7740.830832,-7740.097415
-7577.805463,-7577.805463,-7577.815106
-7710.255051,-7710.255051,-7710.255051
-7700.064675,-7700.064675,-7700.064676
-7556.064082,-7556.064082,-7556.064082
-7778.206755,-7778.206755,-7778.206755
-7972.117478,-7972.117478,-7972.117478
-7777.056846,-7777.011433,-7777.011433
-7825.226924,-7824.955392,-7824.955392
-7724.746944,-7722.624424,-7722.603813
-7680.873937,-7680.873937,-7680.873937
-7836.763544,-7836.763544,-7836.763544
-7730.187512,-7730.110936,-7729.770989
-7730.254370,-7730.052112,-7730.052112
-8112.670171,-8109.480126,-8109.480126
-7758.403700,-7758.018231,-7757.807634
-7824.345937,-7824.335590,-7824.335590
-7919.977452,-7919.941104,-7919.941104
-7714.794361,-7714.794361,-7714.794361
-8080.710272,-8080.124479,-8080.124185
-7558.376570,-7558.376570,-7557.403061
-7580.430635,-7579.879064,-7579.879064
-7645.215523,-7644.552545,-7644.162477
-7698.459616,-7698.459616,-7698.459616
-7816.286332,-7816.286332,-7816.286332
-7700.640686,-7698.867404,-7698.867404
-7655.095462,-7652.065368,-7652.065368
-7752.100994,-7752.100291,-7752.100291
-7901.616093,-7901.616093,-7901.616093
-7876.072973,-7875.759062,-7874.916963
-7696.690641,-7695.245532,-7695.245532
-7735.078009,-7735.078009,-7735.078009
-7752.937683,-7752.444621,-7752.444621
-7740.963111,-7740.963111,-7740.963111
-7837.647251,-7837.551168,-7837.551168
-7771.020599,-7771.020599,-7771.020599
-7660.608578,-7660.576705,-7660.576705
-7852.506665,-7852.506501,-7852.506501
-7706.562031,-7706.562031,-7706.562031
-7671.202006,-7670.758426,-7670.758426
-7772.124431,-7772.124431,-7772.124431
-7875.769584,-7875.766860,-7875.766860
-7621.808635,-7621.684158,-7621.659878
-7682.319525,-7682.319525,-7682.319525
-7675.376834,-7675.376834,-7675.376834
-7738.967682,-7738.888480,-7738.888480
-7655.796286,-7655.750915,-7655.750915
-7525.418909,-7523.833696,-7523.833696
-7992.474102,-7990.213637,-7990.213637
-7689.583059,-7686.085997,-7686.085997
-7791.653507,-7790.819965,-7790.819965
-7680.085929,-7679.954411,-7679.807154
-7602.563954,-7602.488465,-7602.488465
-7872.188104,-7871.207432,-7870.844905
-7801.136358,-7800.983361,-7800.983361
-7856.326025,-7856.157773,-7856.157773
-7465.549760,-7465.549760,-7465.549760
-7552.443268,-7552.276387,-7552.276387
-7727.301981,-7726.871398,-7726.871398
-7839.380620,-7839.248055,-7839.248055
-7809.714178,-7809.714178,-7809.710209
-7722.284049,-7722.284049,-7722.284049
-7619.813692,-7618.879342,-7618.770628
-7656.639328,-7656.630892,-7656.610085
-7631.316250,-7631.316250,-7631.316250
-7636.863024,-7635.899664,-7635.899664
-7583.827237,-7582.457828,-7582.457828
-7443.949061,-7443.357989,-7443.357989
-7829.290185,-7828.970918,-7828.505254
-7862.867479,-7862.724193,-7862.620091
-7826.566293,-7826.507896,-7826.507896
-7716.073173,-7715.901708,-7715.901708
-7762.890928,-7762.847591,-7762.775406
-7606.878348,-7606.841896,-7606.837514
-7621.468835,-7620.913988,-7620.913988
