null,c0,c5,c25
-5929.626380,-5929.626380,-5932.165471,-5932.789414
-5960.131583,-5960.131583,-5961.817328,-5964.932817
-5946.434751,-5946.434751,-5947.782828,-5950.828348
-6031.189273,-6031.189273,-6031.410327,-6031.787813
-5886.241611,-5886.241611,-5887.397981,-5889.028804
-6125.241677,-6125.234406,-6125.751311,-6127.076063
-6023.621847,-6023.161841,-6024.081048,-6023.995827
-5917.749053,-5917.749053,-5918.390633,-5920.400631
-5962.950131,-5962.483795,-5962.483795,-5962.483795
-6007.448890,-6007.448890,-6008.928062,-6010.025258
-6045.511185,-6045.511185,-6047.074752,-6050.207892
-6035.247767,-6035.247767,-6036.845589,-6039.415490
-5995.567687,-5995.567687,-5997.307938,-6000.793975
-6020.137433,-6020.137433,-6021.763629,-6024.557664
-6045.711490,-6045.711490,-6046.186046,-6047.561896
-5905.195970,-5904.330956,-5905.377308,-5907.057307
-5902.511476,-5902.511476,-5903.305150,-5905.314136
-5961.012756,-5960.769844,-5961.783067,-5964.174478
-5980.004429,-5980.004429,-5982.115020,-5984.449083
-6033.220263,-6033.219659,-6034.332894,-6037.544437
-5924.965136,-5924.965136,-5925.447106,-5926.638216
-5983.487432,-5983.487432,-5984.081919,-5985.896898
-5947.464399,-5947.464399,-5947.990905,-5949.291725
-6019.143785,-6019.143785,-6019.872264,-6022.159382
-5926.787442,-5926.787442,-5928.242786,-5928.242786
-5903.047704,-5903.047704,-5903.739316,-5904.474890
-6131.947492,-6131.890185,-6133.032867,-6135.268768
-5974.141134,-5972.911776,-5973.590155,-5973.590151
-6069.604624,-6069.604624,-6071.131324,-6072.868542
-5976.104463,-5976.104463,-5978.041609,-5978.495665
-5922.281841,-5922.281841,-5922.997025,-5925.014385
-5896.389039,-5895.449867,-5897.822080,-5901.125605
-5983.230216,-5983.230216,-5983.776480,-5985.183588
-5894.674071,-5893.540814,-5894.116880,-5894.116880
-6085.117356,-6084.736046,-6085.841169,-6085.954867
-5854.952328,-5854.952328,-5856.571774,-5859.127687
-5941.570001,-5941.570001,-5941.604254,-5941.604254
-5964.818456,-5964.818456,-5966.726455,-5968.355361
-6009.947447,-6009.947447,-6010.400321,-6010.400321
-5914.956761,-5914.931659,-5916.119763,-5918.347893
-6016.587176,-6016.587176,-6018.200942,-6018.678221
-5980.483012,-5980.483012,-5982.556518,-5982.556518
-5959.285558,-5959.285558,-5960.350742,-5962.556278
-6042.600145,-6042.600145,-6044.155336,-6044.596962
-6004.393523,-6004.393523,-6004.453702,-6004.731300
-5933.999123,-5933.999123,-5935.580093,-5935.580093
-6102.853411,-6102.834194,-6103.503826,-6105.094580
-6010.835735,-6010.835735,-6012.251437,-6014.333936
-5924.901380,-5924.901380,-5925.961061,-5928.003287
-5966.737650,-5966.523758,-5967.321533,-5968.516799
-6083.049939,-6083.049939,-6085.458265,-6087.790005
-5940.220774,-5940.220774,-5942.014379,-5943.835031
-6010.678092,-6010.677240,-6011.549553,-6013.302514
-5931.962967,-5931.666799,-5933.235366,-5933.235366
-6030.625567,-6030.625567,-6032.243315,-6032.243315
-5965.049970,-5964.356699,-5965.626125,-5967.716425
-5978.200568,-5978.200568,-5979.956737,-5979.956737
-5999.581723,-5999.581723,-6001.347001,-6002.507458
-6087.612559,-6087.612559,-6088.652467,-6088.652467
-5982.480570,-5982.480570,-5983.851319,-5985.848904
-5942.647826,-5942.647826,-5944.515540,-5948.313736
-5927.374789,-5927.121184,-5927.683661,-5928.770792
-5945.510649,-5945.440966,-5946.290476,-5946.290476
-5975.540467,-5975.423197,-5976.873940,-5979.891094
-5913.403669,-5913.403669,-5913.416162,-5913.416162
-5992.994660,-5992.752727,-5993.107332,-5993.631679
-5851.585841,-5851.585841,-5853.110357,-5854.392393
-6027.169736,-6027.169736,-6029.122398,-6032.313963
-5997.448614,-5997.448614,-5999.019910,-6002.270133
-5964.973752,-5964.973752,-5966.812887,-5969.036662
-5804.470120,-5804.470120,-5806.668817,-5809.212905
-6032.223866,-6032.223866,-6034.656008,-6037.998929
-5958.857167,-5958.857167,-5960.522501,-5963.274341
-5976.199085,-5976.174490,-5976.570756,-5977.261987
-6024.588964,-6024.588964,-6024.931291,-6026.102386
-5949.916731,-5949.874646,-5950.487654,-5952.490024
-5995.991581,-5995.952020,-5996.345626,-5996.345626
-6091.712738,-6091.712738,-6093.894934,-6098.012580
-5964.488998,-5964.488998,-5965.389783,-5967.207010
-5901.127427,-5901.110708,-5902.084290,-5903.147626
-5928.723862,-5928.723862,-5929.222409,-5929.222409
-6012.113834,-6012.113834,-6012.720678,-6013.819834
-5953.185427,-5953.185427,-5953.820902,-5953.820902
-6020.045411,-6020.045411,-6020.545121,-6020.545121
-5920.332105,-5920.332105,-5922.746157,-5927.967854
-5933.051166,-5933.036920,-5933.423471,-5934.431015
-5890.237349,-5889.919692,-5890.462882,-5890.462882
-6044.925628,-6044.925628,-6045.841931,-6048.968173
-5908.211907,-5908.211907,-5910.493840,-5912.761042
-5984.574670,-5984.574670,-5986.178891,-5987.669977
-5855.468716,-5855.468716,-5856.836629,-5859.670983
-5931.188987,-5931.188987,-5932.621108,-5935.157763
-5937.896022,-5937.826201,-5938.169575,-5939.383190
-6067.625620,-6067.598345,-6067.761125,-6067.983870
-5945.282181,-5945.282181,-5945.836032,-5947.285022
-5935.833053,-5934.910834,-5936.740418,-5937.672208
-5975.517094,-5975.517094,-5976.123121,-5977.358378
-5966.948095,-5966.948095,-5967.261051,-5967.796255
-5917.379353,-5917.379353,-5919.092505,-5922.907150
-6000.084841,-6000.084841,-6000.799159,-6002.847466
-6039.146013,-6039.146013,-6041.669795,-6041.669795
-5954.289332,-5954.289332,-5954.750750,-5954.750750
-5927.044572,-5927.044572,-5928.297629,-5928.563137
-5917.517069,-5917.517069,-5918.785112,-5918.546626
-6059.636929,-6059.596527,-6060.090529,-6061.422780
-6019.060179,-6019.060179,-6019.938357,-6023.555760
-6043.987977,-6043.482894,-6044.165603,-6044.165603
-5934.267544,-5934.249739,-5935.172149,-5936.482399
-6099.901767,-6099.901767,-6101.688012,-6104.929429
-5898.889690,-5898.889690,-5899.760661,-5901.627800
-5984.605268,-5983.369237,-5985.935851,-5988.781249
-6114.456349,-6114.456349,-6114.922726,-6116.435436
-5907.573920,-5906.679302,-5907.028029,-5908.422458
-5941.947576,-5941.947576,-5944.314847,-5948.071324
-5812.068892,-5812.068892,-5813.058645,-5813.058645
-6072.603985,-6072.603985,-6074.275878,-6074.275878
-5831.802509,-5830.850686,-5832.062386,-5833.683494
-5938.739028,-5938.383369,-5939.486132,-5940.270363
-5997.938124,-5997.938124,-5999.175921,-5999.833341
-6063.458470,-6063.458470,-6065.512105,-6069.443922
-5947.858554,-5947.858554,-5948.243702,-5948.878733
-5978.016101,-5978.016101,-5978.648536,-5979.605546
-5997.511495,-5997.511495,-5998.822589,-5998.822589
-5983.426748,-5983.426748,-5985.668212,-5988.461792
-6012.968706,-6012.936876,-6013.237247,-6014.272590
-6000.420530,-5999.403972,-6001.286785,-6003.928385
-5954.895442,-5954.868459,-5955.248451,-5956.463367
-6020.782716,-6020.766944,-6020.921896,-6021.380769
-6023.462159,-6023.462159,-6024.821789,-6025.270811
-6077.069446,-6077.069446,-6077.516130,-6078.967952
-5945.670013,-5945.670013,-5947.592848,-5950.575197
-5829.757786,-5829.757786,-5830.551270,-5831.986702
-5990.408645,-5990.408645,-5990.408645,-5990.408645
-5933.900829,-5933.900829,-5935.163667,-5935.906585
-5966.875266,-5966.784780,-5967.164076,-5967.390073
-6021.015465,-6021.015465,-6022.865749,-6025.273102
-6007.049343,-6006.718884,-6008.855145,-6012.986388
-5903.264376,-5902.897657,-5904.245130,-5907.062367
-6070.173348,-6070.173348,-6070.856536,-6070.856536
-5948.427434,-5948.173863,-5950.118643,-5952.999110
-5968.658982,-5966.446170,-5967.261335,-5970.245452
-6101.950764,-6101.862999,-6102.191811,-6103.442241
-5964.842916,-5964.776841,-5965.923756,-5968.273285
-5997.628576,-5997.628576,-5997.650605,-5997.650605
-6068.810716,-6068.810716,-6070.246700,-6071.690994
-6032.185287,-6031.440168,-6031.541708,-6031.541708
-6013.550969,-6013.550969,-6014.264333,-6014.964531
-6008.542206,-6008.542206,-6010.964164,-6015.592193
-6097.085820,-6097.085820,-6098.521251,-6098.521251
-5983.149828,-5983.149828,-5983.901449,-5983.901449
-5935.873212,-5935.873212,-5936.320412,-5937.514018
-5990.426032,-5990.426032,-5991.738722,-5992.215423
-5928.022105,-5928.022105,-5929.728535,-5933.018795
-5932.937127,-5932.937127,-5933.417238,-5933.818803
-5986.057968,-5985.971296,-5986.900524,-5987.837703
-5906.654677,-5906.654677,-5908.565199,-5913.219093
-5918.470563,-5918.312285,-5919.407870,-5921.978258
-5977.909836,-5977.746213,-5978.583098,-5978.583098
-5922.237813,-5921.486919,-5921.980287,-5922.638990
-5950.661575,-5950.463957,-5951.710219,-5954.328441
-5916.777509,-5916.777509,-5919.048501,-5920.725888
-5909.644610,-5909.644610,-5909.889455,-5911.194213
-5964.409135,-5964.409135,-5965.674055,-5968.172462
-6036.010800,-6036.010800,-6036.269972,-6036.729891
-5961.554098,-5961.554098,-5962.662850,-5962.662850
-5955.129039,-5955.049256,-5956.069722,-5958.261757
-6067.130999,-6067.130999,-6067.536329,-6069.373472
-5859.835060,-5859.835060,-5860.563187,-5862.938902
-5861.263932,-5861.086865,-5861.948890,-5863.463970
-5928.454440,-5928.411328,-5928.430547,-5928.430547
-6055.194568,-6055.194568,-6056.144667,-6057.852273
-6001.969315,-6001.873254,-6002.776129,-6005.997661
-5953.510683,-5953.510683,-5954.258618,-5956.183749
-5960.227901,-5960.055649,-5960.548595,-5960.859443
-5900.075610,-5900.075610,-5900.466897,-5901.182902
-5866.288472,-5866.270555,-5867.370655,-5868.261276
-6006.398852,-6005.405235,-6006.510432,-6008.604710
-5830.692558,-5830.692558,-5831.406989,-5833.429950
-5979.422676,-5979.422676,-5980.818253,-5980.818253
-6110.975180,-6110.975180,-6112.601808,-6114.905118
-5832.321909,-5832.321909,-5833.034367,-5833.034367
-5971.839600,-5971.515944,-5972.041969,-5972.041969
-6013.523994,-6013.521884,-6014.426372,-6016.652378
-6080.518326,-6080.249242,-6081.796993,-6084.683000
-5990.626793,-5990.626793,-5991.192989,-5993.116832
-5916.736285,-5916.736285,-5917.608133,-5919.663852
-6023.768491,-6023.768491,-6025.477617,-6027.383098
-5997.537273,-5997.537273,-5997.732547,-5997.732547
-6012.001994,-6011.989253,-6012.701310,-6014.861684
-6013.748836,-6013.748836,-6014.693224,-6016.381417
-5920.631479,-5920.512275,-5921.612144,-5923.507639
-6130.125645,-6130.034166,-6130.772266,-6132.685858
-5908.283631,-5908.283631,-5910.401272,-5912.430457
-5831.936777,-5831.063410,-5833.313393,-5836.277244
-6030.075504,-6029.009008,-6031.068781,-6033.604992
-6006.131574,-6006.131574,-6007.305357,-6009.745456
-6062.004237,-6061.906850,-6062.183464,-6062.183465
-6083.839934,-6083.839934,-6084.406055,-6086.306436
-5931.708120,-5929.919218,-5934.288915,-5933.578216
-6045.167855,-6045.167855,-6047.143004,-6048.310248
-5942.607680,-5942.607680,-5943.793029,-5946.240369
-5951.037147,-5951.037147,-5951.784312,-5953.577561
-5962.487907,-5962.487907,-5962.952612,-5963.916548
-5947.537044,-5947.537044,-5949.469210,-5950.787038
-5882.657926,-5882.657926,-5882.986699,-5884.487383
-6062.018413,-6062.018413,-6064.339577,-6067.390150
-5908.116571,-5908.116571,-5908.234019,-5908.668075
-6017.819008,-6017.634347,-6018.024837,-6018.024837
-5928.408724,-5928.408724,-5931.279599,-5936.654032
-5884.468924,-5884.468924,-5885.455768,-5888.158740
-6088.701434,-6088.701434,-6090.879690,-6093.614573
-6045.515981,-6045.281661,-6045.812713,-6046.686780
-5875.579526,-5875.573584,-5876.090300,-5876.850932
-6010.246459,-6010.246459,-6012.222159,-6013.898301
-5976.872751,-5976.872751,-5977.760250,-5980.191878
-5890.577670,-5889.241243,-5891.854688,-5891.854688
-6006.814397,-6006.814397,-6008.289240,-6008.289240
-5920.467228,-5920.464693,-5921.336887,-5922.989197
-5949.990282,-5948.876113,-5950.709035,-5953.273839
-5844.789744,-5843.628410,-5845.008203,-5847.697431
-6087.863798,-6087.784861,-6088.073917,-6088.945782
-5929.489011,-5929.489011,-5930.482278,-5932.986234
-6007.690379,-6007.689747,-6008.180423,-6008.980606
-5928.217692,-5925.354222,-5930.359169,-5929.688163
-5809.811549,-5809.370590,-5810.802155,-5813.854406
-5957.348163,-5956.437963,-5958.661302,-5961.815912
-5985.343560,-5985.343560,-5985.390300,-5985.390300
-5984.804229,-5981.742856,-5982.698530,-5982.698529
-5916.645627,-5916.645627,-5919.272219,-5922.246688
-5966.732962,-5966.732962,-5967.660682,-5970.108905
-5949.791650,-5949.593257,-5949.789893,-5950.324423
-5999.777245,-5999.777245,-6001.232523,-6005.030357
-5917.866985,-5917.866985,-5919.386608,-5922.286889
-6026.315594,-6026.120880,-6026.620933,-6026.620933
-6027.537844,-6027.537844,-6027.654608,-6027.654608
-5974.916988,-5974.916988,-5977.078493,-5978.363883
-5922.028837,-5920.683722,-5922.684087,-5924.525547
-6003.612810,-6002.469948,-6003.769111,-6003.769111
-5943.048702,-5942.901384,-5944.214023,-5946.975245
-5975.310723,-5975.310723,-5977.438937,-5978.278756
-5925.855741,-5925.855741,-5926.857852,-5927.998564
-5868.684014,-5868.575194,-5869.228250,-5871.047834
-6063.797877,-6062.950697,-6064.568693,-6064.914254
-5972.701483,-5972.681935,-5973.041137,-5973.497578
-5902.885479,-5902.885479,-5905.183313,-5906.227594
-6037.367936,-6037.367936,-6037.761838,-6039.027633
-5926.942557,-5926.942557,-5927.295958,-5927.295958
-5924.951087,-5924.860719,-5925.866184,-5926.513966
-5967.458788,-5967.458788,-5968.964251,-5969.763678
-6057.377095,-6056.977789,-6057.233744,-6057.233744
-5961.113239,-5961.113239,-5962.186999,-5962.186999
-5991.363127,-5991.363127,-5992.615881,-5993.255083
-5989.450857,-5989.450857,-5990.703562,-5992.110119
-5884.477751,-5884.469216,-5885.666006,-5888.190217
-6008.764702,-6008.707159,-6009.570548,-6011.843308
-5962.675999,-5962.185488,-5962.335127,-5962.335127
-5990.122533,-5990.122533,-5991.000197,-5992.365142
-5887.253187,-5887.253187,-5889.809353,-5893.600517
-6019.602253,-6019.602253,-6019.836642,-6020.878468
-6061.637921,-6061.637921,-6062.304117,-6064.209510
-5984.880152,-5984.834499,-5985.830660,-5988.665651
-5948.078624,-5947.741289,-5948.470273,-5948.847402
-5915.017268,-5915.017268,-5917.962005,-5924.475848
-5962.313755,-5962.313755,-5963.047626,-5964.932151
-5945.199165,-5945.195396,-5945.324093,-5945.772588
-6013.473821,-6013.473821,-6015.899076,-6017.635077
-5865.746589,-5865.746589,-5867.228704,-5867.228704
-5866.367025,-5866.367025,-5866.753807,-5868.030840
-5959.238296,-5959.214936,-5959.599920,-5961.495698
-5864.087955,-5862.753041,-5863.653511,-5863.653511
-5899.064843,-5899.064843,-5900.736287,-5904.435513
-5940.808641,-5940.373187,-5942.019746,-5942.019746
-6001.935331,-6001.935331,-6002.624110,-6004.067231
-5949.076493,-5949.076493,-5950.037228,-5950.037228
-5855.905611,-5855.905611,-5856.182828,-5857.777947
-6031.309631,-6031.309631,-6033.032163,-6036.954818
-5889.325355,-5889.325101,-5890.545847,-5893.360276
-6016.164850,-6016.164850,-6017.683019,-6018.847041
-6063.649937,-6063.649937,-6064.008542,-6065.046405
-5984.537285,-5984.537285,-5985.081596,-5985.081596
-5963.599601,-5963.599601,-5964.562053,-5968.467986
-6055.105853,-6055.105853,-6057.046312,-6058.432390
-5914.307761,-5914.307761,-5914.423773,-5914.423773
-5868.765837,-5868.730631,-5869.257888,-5871.370795
-6070.944222,-6070.713088,-6071.303989,-6072.664201
-5938.901155,-5938.901155,-5939.031972,-5939.031972
-5978.770339,-5978.770339,-5979.984489,-5983.295300
-5945.056382,-5945.056382,-5946.634037,-5946.952324
-6005.964832,-6005.964832,-6007.066960,-6010.906211
-5865.920032,-5865.920032,-5867.151824,-5869.712425
-5973.663251,-5973.663251,-5974.892447,-5977.400983
-5991.382080,-5991.382080,-5992.763927,-5994.009604
-6002.684206,-6002.684206,-6003.575183,-6005.161751
-5943.713785,-5943.155021,-5944.630363,-5944.630363
-5941.234127,-5941.234127,-5943.845865,-5948.076437
-5960.434822,-5960.434822,-5960.803066,-5961.968668
-5927.874580,-5927.629844,-5929.073213,-5931.427446
-5900.217999,-5900.217999,-5901.346251,-5904.220107
-6029.873031,-6029.834985,-6030.282684,-6031.217942
-5978.532244,-5975.248928,-5976.561931,-5976.561931
-6036.738500,-6036.738500,-6038.084248,-6040.759430
-5888.292838,-5888.292838,-5888.450968,-5888.927261
-6020.105660,-6020.105660,-6022.450673,-6024.874722
-5916.249940,-5915.979059,-5917.269879,-5919.396398
-5926.270571,-5926.270571,-5926.757444,-5926.757444
-5815.588963,-5815.588963,-5816.102877,-5816.102877
-5989.638785,-5989.638785,-5991.207559,-5992.587373
-5916.403813,-5916.403813,-5917.799568,-5917.799568
-5994.313733,-5994.313733,-5995.150396,-5997.313578
-6049.656144,-6048.690181,-6050.184919,-6052.601736
-6051.156984,-6051.156984,-6051.649812,-6051.649812
-5970.756911,-5970.756911,-5971.012535,-5971.012535
-6000.278417,-6000.278417,-6002.710672,-6006.356499
-5830.877279,-5830.877279,-5831.077238,-5831.682377
-5890.876563,-5890.876563,-5893.027018,-5894.209532
-5956.053342,-5954.942766,-5957.469953,-5961.410706
-5962.599186,-5962.599186,-5964.312235,-5966.162379
-5902.725398,-5902.725398,-5903.943060,-5906.071909
-6095.190580,-6095.190580,-6096.266115,-6096.266115
-6007.841644,-6007.841644,-6009.372869,-6011.754053
-5984.437570,-5984.437570,-5986.686545,-5991.272659
-5864.360416,-5864.360416,-5865.993800,-5866.977266
-6013.075922,-6013.075922,-6013.912416,-6013.912416
-5967.939201,-5967.939201,-5968.866662,-5968.866662
-5985.792935,-5985.792935,-5986.077939,-5987.040598
-6146.665121,-6146.665121,-6147.484652,-6148.211261
-5917.736204,-5917.676116,-5918.067056,-5919.397251
-5979.888372,-5979.888372,-5980.738080,-5983.281822
-6015.047162,-6014.665112,-6015.529753,-6017.726278
-6041.878549,-6041.097760,-6041.330796,-6041.330796
-6001.678316,-6001.678316,-6002.881638,-6002.881638
-6050.452824,-6050.452824,-6050.843301,-6051.649952
-6072.951373,-6072.920791,-6073.563480,-6075.356916
-5988.127657,-5988.127657,-5990.181981,-5994.030238
-5951.017623,-5950.802717,-5952.411972,-5956.114311
-5945.589171,-5945.589171,-5945.797568,-5947.112165
-5924.305923,-5924.305923,-5925.545391,-5926.539830
-5884.530856,-5883.784829,-5885.512369,-5888.853749
-5992.266092,-5992.266092,-5992.688037,-5993.311676
-5972.958029,-5972.958029,-5973.009514,-5973.009514
-5969.523802,-5969.523802,-5970.709386,-5972.173892
-5958.180938,-5958.153769,-5958.640706,-5958.640706
-5928.768813,-5928.456284,-5929.176920,-5930.995260
-5986.621705,-5986.621705,-5988.100058,-5992.368642
-6076.027240,-6076.027240,-6078.024713,-6080.327142
-6064.547994,-6064.062191,-6065.290017,-6065.636559
-5886.195364,-5885.366438,-5885.670328,-5885.670328
-5990.354474,-5990.354474,-5991.352701,-5993.984948
-5956.569567,-5956.569567,-5957.421272,-5958.700839
-5828.172995,-5828.172995,-5828.172995,-5828.172995
-6054.286355,-6054.231772,-6054.313642,-6054.313642
-5991.591490,-5991.591490,-5993.578183,-5994.804239
-6083.193900,-6083.193900,-6084.149376,-6084.149376
-5980.698243,-5980.698243,-5982.209053,-5983.240174
-5947.626151,-5947.626151,-5948.843650,-5951.561782
-5963.845723,-5963.845723,-5965.681944,-5966.617938
-6092.049411,-6092.049411,-6092.767876,-6095.528666
-5951.853291,-5951.853291,-5952.541769,-5954.465574
-6025.040003,-6024.877801,-6025.764259,-6028.347120
-5966.967609,-5966.644607,-5967.196368,-5968.464473
-6082.628366,-6082.628366,-6083.453130,-6085.916033
-5891.341326,-5891.341326,-5891.985729,-5893.862631
-6071.486569,-6071.486569,-6073.543791,-6075.159043
-6020.380888,-6019.214437,-6021.363412,-6021.363412
-5869.704571,-5869.704571,-5869.704571,-5869.704571
-6099.658635,-6099.654446,-6100.594289,-6102.344278
-6059.845833,-6059.765403,-6060.083230,-6060.083230
-6028.819237,-6028.819237,-6029.870031,-6029.870031
-5956.998483,-5956.655748,-5957.009137,-5957.505154
-5978.969004,-5978.961416,-5979.754726,-5981.452284
-6014.495368,-6014.413623,-6015.257502,-6016.883361
-5965.073090,-5965.073090,-5966.572103,-5966.572103
-5967.548900,-5967.548900,-5969.339944,-5970.020652
-6027.698300,-6027.738983,-6028.131266,-6028.705536
-5991.363285,-5991.363285,-5992.653367,-5993.912471
-6072.252862,-6072.252862,-6074.081430,-6078.680207
-6003.983478,-6003.983478,-6006.266951,-6006.904909
-6004.886213,-6004.651246,-6006.248290,-6009.436815
-6043.221027,-6043.069865,-6043.069865,-6043.069865
-5964.717906,-5964.688812,-5965.708170,-5967.933487
-5992.716875,-5992.716875,-5994.343925,-5995.606800
-6079.853029,-6079.853029,-6082.602687,-6087.345636
-5969.391237,-5969.391237,-5971.516702,-5975.819701
-5886.610439,-5886.610439,-5886.837130,-5887.786832
-5895.408151,-5895.408151,-5896.501304,-5898.355131
-6008.041130,-6008.041130,-6010.294902,-6012.218581
-5941.580211,-5941.580211,-5942.597859,-5942.597859
-5959.837531,-5959.837531,-5961.470861,-5963.913960
-5929.188645,-5929.188645,-5931.665621,-5936.242537
-6047.506108,-6047.506108,-6047.819478,-6048.745658
-5969.643311,-5969.643311,-5971.660375,-5971.660375
-6008.869835,-6008.869835,-6009.993542,-6009.993542
-6016.700856,-6016.700856,-6017.505861,-6019.312793
-6012.446273,-6012.446273,-6014.487068,-6017.939566
-5974.450416,-5974.450416,-5975.188677,-5977.618037
-5990.333262,-5990.333262,-5990.834054,-5990.834054
-5961.155551,-5961.155551,-5961.623644,-5963.239703
-5881.418652,-5879.958742,-5882.205327,-5883.604630
-6057.585192,-6057.193705,-6058.502616,-6058.718644
-5974.771222,-5974.771222,-5976.047159,-5978.269325
-5953.100978,-5953.100978,-5954.798492,-5956.531956
-5953.573828,-5953.573828,-5954.340006,-5954.340006
-6096.343399,-6095.591534,-6096.913598,-6098.391924
-5883.727956,-5883.727956,-5885.399104,-5889.047949
-5889.440541,-5889.440541,-5891.681247,-5895.365610
-5981.895720,-5981.895720,-5983.867506,-5986.570899
-6036.304747,-6036.304747,-6038.106309,-6038.106309
-6002.512680,-6002.243187,-6003.618211,-6004.886291
-6048.881049,-6048.881049,-6050.548955,-6055.302055
-5991.766586,-5990.835433,-5991.730902,-5991.730902
-6030.746689,-6029.776890,-6030.976101,-6032.500487
-6044.702512,-6044.350380,-6045.014319,-6045.014319
-5933.672182,-5933.672182,-5933.693375,-5933.918789
-6021.102277,-6021.102277,-6021.935801,-6024.105208
-5955.399156,-5955.399156,-5957.260203,-5960.047143
-6016.358489,-6015.545640,-6017.063088,-6018.208662
-5981.845854,-5981.845854,-5983.910507,-5987.749380
-6057.846184,-6057.846184,-6058.358537,-6059.044944
-6036.784413,-6034.696119,-6038.354285,-6041.804758
-6078.824373,-6078.824373,-6079.802505,-6082.645284
-6000.828794,-6000.828794,-6002.543207,-6003.572563
-5891.783976,-5891.779211,-5892.453344,-5894.652385
-5874.346268,-5874.346268,-5874.457608,-5875.029276
-6055.296814,-6055.296814,-6056.860710,-6058.418195
-6107.794972,-6107.794972,-6109.485495,-6113.677627
-5895.398770,-5895.398770,-5897.475408,-5897.475408
-5926.234552,-5926.234552,-5927.182530,-5930.421460
-5984.341393,-5984.341393,-5985.411839,-5987.006877
-5934.415094,-5934.415094,-5936.616537,-5936.616537
-5988.164624,-5987.847689,-5988.812126,-5991.660282
-5958.656341,-5957.507636,-5957.507272,-5957.507636
-6003.810245,-6003.810245,-6006.433143,-6006.433143
-5903.728926,-5903.728926,-5906.826807,-5912.329885
-5915.376011,-5915.008537,-5916.470510,-5918.345092
-5974.835607,-5974.835607,-5975.481723,-5978.281946
-6002.178987,-6002.168149,-6003.028313,-6005.660688
-5898.628329,-5898.628329,-5899.264173,-5899.264173
-5961.802650,-5960.965898,-5961.160253,-5961.160253
-6070.414041,-6070.404212,-6071.223159,-6072.457151
-5946.372433,-5946.372433,-5948.443045,-5948.443045
-6072.376106,-6072.376106,-6073.881432,-6077.310369
-5996.416554,-5996.328263,-5997.374211,-5998.638882
-5998.453063,-5997.653825,-5998.209626,-5998.209626
-5936.879035,-5936.879035,-5937.297377,-5939.035772
-5889.169063,-5888.099299,-5889.872633,-5892.425393
-5974.790958,-5974.790958,-5976.400878,-5974.836750
-5917.619520,-5917.619520,-5920.529486,-5924.784064
-5953.742595,-5950.798525,-5954.512441,-5952.288485
-6100.369786,-6100.010877,-6100.080919,-6100.080919
-5891.308344,-5891.308344,-5892.587405,-5896.157520
-6025.913390,-6025.913390,-6027.340070,-6030.192775
-6052.581558,-6052.504261,-6053.321854,-6053.321854
-5967.976438,-5967.976438,-5968.852539,-5970.582741
-5888.346107,-5887.096460,-5888.538630,-5888.538630
-5896.890520,-5896.890520,-5897.064799,-5897.347055
-6013.543106,-6013.543106,-6015.442629,-6017.026851
-5797.224832,-5797.224832,-5798.310967,-5798.310967
-5995.461973,-5995.461973,-5997.144692,-5998.309631
-6018.082251,-6018.082251,-6018.561292,-6018.561292
-5992.812559,-5992.195553,-5993.781126,-5995.625417
-5936.136066,-5936.136066,-5938.479490,-5938.479490
-6004.252692,-6004.252692,-6006.364767,-6007.305021
-6007.367264,-6007.367264,-6009.087224,-6013.420418
-5881.084712,-5881.084712,-5882.805762,-5884.584884
-5914.662760,-5914.662760,-5914.791526,-5915.080657
-5970.767018,-5970.767018,-5971.522440,-5972.730797
-5994.829220,-5994.829220,-5995.477881,-5998.084445
-5958.577633,-5958.577633,-5958.666573,-5959.365265
-5937.638126,-5937.638126,-5940.235206,-5941.997865
-5858.488896,-5858.488896,-5859.783934,-5862.417085
-5855.534412,-5855.443768,-5855.985172,-5857.134285
-5928.825833,-5928.825833,-5930.882838,-5935.350095
-5905.658022,-5905.568607,-5906.531116,-5907.696741
-6126.630278,-6126.630278,-6129.384275,-6132.930841
-5952.591158,-5951.377947,-5953.174670,-5952.807806
-5839.805008,-5839.805008,-5842.531154,-5847.418986
-6034.477886,-6034.477886,-6034.743889,-6035.313677
-5948.774925,-5948.774925,-5949.607215,-5951.867363
-5903.704769,-5903.704769,-5905.224732,-5905.224732
-5900.340900,-5900.340900,-5901.385730,-5904.924289
-5939.479470,-5939.189464,-5940.024867,-5942.137012
-6046.501065,-6046.501065,-6048.387212,-6051.816038
-5934.934855,-5934.934855,-5936.596596,-5938.563314
-5929.781818,-5929.757093,-5930.187965,-5930.187965
-5950.093105,-5950.093105,-5951.140933,-5953.229176
-5979.800952,-5979.800952,-5981.385320,-5981.385320
-5769.776602,-5768.969396,-5769.943400,-5771.074238
-5937.657076,-5937.657076,-5938.917475,-5939.666902
-5824.878762,-5824.317386,-5825.266119,-5824.942461
-5968.219764,-5968.219764,-5968.219764,-5968.219764
-5939.231364,-5939.231364,-5939.288200,-5939.288200
-5991.487875,-5991.487875,-5991.994550,-5993.219615
-5906.172274,-5906.172274,-5906.629171,-5907.896138
-6106.661170,-6106.661170,-6108.065969,-6107.877409
-6063.954923,-6063.713498,-6064.686336,-6066.864754
-6035.467538,-6035.467538,-6036.079686,-6037.659690
-5931.553385,-5931.553385,-5931.686666,-5932.491240
-6044.765803,-6044.765803,-6045.928337,-6048.642094
-5979.764034,-5979.764034,-5981.563529,-5985.491471
