null,c0,c5,c25
-5938.049049,-5938.000065,-5939.318622,-5942.741295
-5908.328131,-5908.084866,-5908.324934,-5908.796793
-5946.561962,-5946.561962,-5946.879902,-5948.368429
-5978.029400,-5978.029400,-5978.135482,-5978.135482
-5994.002648,-5993.926448,-5994.304116,-5995.487761
-6017.649091,-6017.624438,-6018.245469,-6020.456338
-5909.696412,-5909.696412,-5910.234035,-5912.475254
-5958.260177,-5958.260177,-5960.803312,-5962.888000
-5855.930342,-5855.930342,-5858.056992,-5861.631883
-5949.015211,-5948.742764,-5948.852365,-5948.852365
-6004.530267,-6004.530267,-6005.523298,-6008.331114
-6081.957032,-6081.957032,-6082.740498,-6084.325898
-5840.715842,-5840.715842,-5841.861783,-5844.401258
-5917.920468,-5917.456945,-5918.398105,-5918.509362
-5906.967612,-5906.967612,-5907.233514,-5907.928275
-5919.850208,-5917.615922,-5918.115601,-5918.115601
-5981.128878,-5981.097233,-5981.448702,-5983.054237
-5996.016623,-5996.016623,-5998.579559,-6003.288378
-5981.382047,-5981.382047,-5982.907201,-5982.907201
-6113.840242,-6113.840242,-6114.964218,-6117.705719
-6089.231601,-6088.974569,-6089.539608,-6091.017825
-6070.352115,-6070.352115,-6070.551170,-6070.971512
-5984.987907,-5984.987907,-5985.280014,-5987.057287
-5994.928208,-5994.928208,-5995.471454,-5995.471454
-5991.104293,-5991.104293,-5993.623483,-5993.623483
-6040.266150,-6040.266150,-6040.604998,-6040.604998
-5997.629150,-5997.629150,-5998.500175,-5998.500175
-6001.751359,-6001.630344,-6002.173505,-6003.303785
-6049.363089,-6049.363089,-6050.879452,-6052.080353
-5984.438940,-5984.438940,-5986.121979,-5986.121979
-5937.683302,-5937.681269,-5938.056136,-5939.323045
-6111.775729,-6108.789247,-6112.859130,-6112.696792
-5928.206300,-5928.206300,-5929.884160,-5933.300205
-5809.731380,-5809.731380,-5811.341301,-5811.341301
-5945.935200,-5945.935200,-5946.142760,-5946.596758
-5805.330791,-5805.232216,-5806.588103,-5809.753256
-5924.830569,-5924.390459,-5924.505462,-5924.505462
-5840.493691,-5839.654302,-5839.964862,-5839.964862
-5982.762248,-5982.762248,-5983.312704,-5985.258366
-6017.690034,-6017.555354,-6017.893738,-6019.170919
-6001.493452,-6001.493452,-6003.185874,-6006.505612
-6049.192231,-6049.161403,-6049.863882,-6050.833352
-6010.551502,-6010.551295,-6011.157094,-6012.488012
-5938.675483,-5938.675483,-5941.348505,-5946.153017
-5921.059315,-5920.476320,-5921.861726,-5924.366111
-5915.749315,-5915.731476,-5916.266266,-5918.187292
-5943.080032,-5943.080032,-5944.164917,-5944.164917
-5865.776510,-5865.776510,-5866.087462,-5866.087462
-5913.872756,-5913.860256,-5914.317967,-5915.306898
-5977.932562,-5977.932562,-5979.156287,-5981.740598
-5915.196214,-5915.196214,-5915.447356,-5915.965390
-6011.905213,-6011.905213,-6013.621032,-6016.974278
-5981.849268,-5981.849268,-5983.061325,-5983.061325
-5788.545234,-5788.545234,-5789.991678,-5790.209394
-5912.885773,-5912.885773,-5914.662960,-5917.112500
-5911.676991,-5911.676991,-5911.890007,-5912.971586
-5885.319574,-5885.319574,-5885.378246,-5885.606792
-5903.565630,-5903.565630,-5905.260317,-5908.530266
-5978.766996,-5978.766996,-5979.470961,-5979.470961
-6021.557957,-6021.557957,-6022.785970,-6022.785970
-6117.002484,-6117.002484,-6117.279353,-6117.279353
-6083.153676,-6083.137448,-6084.003615,-6085.951254
-5868.647700,-5868.647700,-5869.812305,-5870.748636
-5822.415182,-5822.415182,-5822.720081,-5824.025149
-6021.645197,-6021.645197,-6021.813151,-6021.851609
-5989.611006,-5989.611006,-5989.960840,-5990.956517
-5956.251504,-5956.142111,-5957.091524,-5959.288758
-5888.500678,-5888.398651,-5889.591503,-5892.528305
-6020.862631,-6020.862631,-6022.394835,-6025.412769
-5880.115750,-5880.115750,-5881.064739,-5882.499610
-6088.214249,-6087.577017,-6088.201013,-6089.632544
-5887.445805,-5887.445805,-5887.535810,-5887.671944
-6013.782179,-6012.736570,-6014.217244,-6015.945208
-5959.003090,-5958.275367,-5958.618324,-5958.618324
-5963.633133,-5963.633133,-5965.487577,-5968.845381
-6112.043808,-6112.043808,-6113.927384,-6117.359056
-5972.431398,-5972.431398,-5974.916518,-5978.912121
-6005.775597,-6005.775597,-6007.126815,-6007.690638
-5878.582728,-5875.165184,-5876.500922,-5876.500922
-5930.015226,-5929.897375,-5930.973328,-5934.316666
-5957.201742,-5957.201742,-5958.264084,-5960.640718
-5930.280688,-5929.268887,-5930.312766,-5930.312766
-5997.995663,-5997.995663,-6000.345597,-6002.166905
-5861.499955,-5861.499955,-5863.207501,-5867.023328
-5890.920027,-5888.228424,-5888.374727,-5888.374727
-6043.023203,-6043.023203,-6044.456211,-6047.064896
-5901.187466,-5901.081714,-5901.573320,-5903.073993
-5822.345089,-5822.345089,-5824.145765,-5825.918850
-5996.904325,-5996.904325,-5998.336617,-6001.290055
-6052.668519,-6052.663923,-6053.126411,-6053.126411
-6036.396956,-6036.396956,-6037.905302,-6041.151298
-6040.092821,-6040.092821,-6041.456679,-6043.917067
-6050.232285,-6050.172671,-6050.376335,-6050.404398
-5999.624186,-5999.624186,-6000.249947,-6000.249947
-5997.679602,-5997.679602,-5999.069242,-6000.064713
-5974.959180,-5974.578400,-5975.290627,-5975.290627
-5935.287279,-5935.287279,-5937.133502,-5940.387469
-5976.148621,-5976.148621,-5978.172853,-5982.945329
-5954.946602,-5954.946602,-5956.072162,-5957.857576
-6039.922814,-6039.766052,-6040.154324,-6040.485908
-5983.703618,-5983.703618,-5984.970689,-5986.509882
-6030.301145,-6030.301145,-6031.193205,-6033.501375
-5973.338093,-5973.338093,-5974.096201,-5976.347809
-6038.781293,-6038.629348,-6039.521921,-6041.716959
-6000.976173,-6000.976173,-6001.317537,-6002.727418
-6056.576346,-6055.510748,-6057.868846,-6058.760965
-5918.411681,-5918.358028,-5919.851961,-5922.957423
-6032.789653,-6032.789653,-6033.844142,-6036.158768
-6003.153676,-6002.645168,-6004.042495,-6004.082160
-5984.757788,-5984.739146,-5985.036498,-5985.885909
-6060.405556,-6060.405556,-6061.947655,-6065.530770
-5941.257448,-5941.257448,-5943.469350,-5945.883486
-5856.102954,-5856.163025,-5856.163025,-5856.163025
-5880.628421,-5880.628421,-5881.814465,-5883.484317
-5982.660863,-5982.660863,-5982.721515,-5983.088539
-6167.618606,-6167.618606,-6168.388536,-6168.874707
-5986.240211,-5986.240211,-5988.377632,-5989.554840
-5853.111787,-5853.111787,-5853.577050,-5855.751605
-5928.673871,-5928.673871,-5930.394666,-5931.417678
-5905.656716,-5905.656716,-5907.175840,-5910.310422
-6036.174813,-6036.174813,-6038.801747,-6044.042553
-6086.159772,-6086.159772,-6088.357166,-6089.844131
-6042.306434,-6042.306434,-6043.003997,-6045.625449
-5985.395691,-5985.395691,-5988.240296,-5993.049457
-5986.323599,-5986.323599,-5988.570687,-5992.296383
-5961.597640,-5961.597640,-5962.953755,-5962.953754
-5928.031363,-5928.031363,-5930.100308,-5933.873691
-6091.799910,-6091.757180,-6092.495310,-6094.034182
-5961.670562,-5961.670562,-5962.926010,-5964.046238
-5988.517547,-5986.437818,-5989.703421,-5990.305779
-5927.296636,-5927.296636,-5928.471603,-5931.058513
-5909.530964,-5909.530964,-5911.062018,-5913.667794
-5956.676425,-5956.676425,-5956.790269,-5957.247338
-6021.633618,-6021.587402,-6022.280386,-6022.280386
-6040.721022,-6040.721022,-6042.331238,-6042.742542
-5990.914930,-5990.827606,-5992.008549,-5992.008549
-6016.581085,-6016.576341,-6017.235127,-6019.439241
-5949.002962,-5949.002962,-5950.840797,-5953.430446
-5829.577977,-5829.577977,-5830.554709,-5832.692215
-5890.346102,-5890.296206,-5890.455706,-5891.045706
-5992.118611,-5992.118611,-5994.437080,-5996.904954
-6017.597472,-6017.597472,-6018.490648,-6022.398107
-5994.943469,-5993.907677,-5995.334734,-5997.002363
-5947.232264,-5946.768689,-5947.737685,-5950.349732
-5937.373624,-5934.233986,-5934.854222,-5934.854222
-5942.687074,-5942.687074,-5943.563560,-5946.031163
-6089.159462,-6089.159462,-6089.455628,-6089.975572
-6122.843129,-6122.843129,-6123.979295,-6125.057287
-5976.002723,-5976.002723,-5978.686302,-5983.039687
-5892.088196,-5892.072225,-5892.530736,-5894.357210
-5882.013390,-5882.013390,-5882.567342,-5884.777432
-5982.250307,-5982.250307,-5983.334734,-5985.188446
-5953.368835,-5953.368835,-5955.009619,-5958.274978
-5980.579913,-5980.541137,-5981.024660,-5982.529588
-5974.436512,-5973.412069,-5975.531118,-5976.211921
-6049.448084,-6049.389469,-6050.399463,-6052.317946
-5826.850039,-5825.878958,-5827.063156,-5828.386239
-6114.096624,-6114.096624,-6114.757569,-6117.021334
-6127.211190,-6127.211190,-6128.017430,-6128.017430
-5960.489422,-5960.489422,-5960.776302,-5960.776302
-5977.027860,-5977.027860,-5978.618251,-5980.328903
-6016.066367,-6016.066367,-6017.997467,-6022.353015
-5919.025015,-5919.025015,-5919.578265,-5919.578265
-6109.909708,-6109.247007,-6111.173142,-6111.891705
-6084.528917,-6084.528917,-6085.810810,-6087.382058
-5948.729574,-5948.729574,-5949.790042,-5950.557334
-5973.571260,-5973.570120,-5974.119782,-5974.827302
-5879.225254,-5879.225254,-5880.373400,-5881.156512
-6007.453882,-6006.324577,-6007.859861,-6008.810351
-5869.258279,-5869.258279,-5872.324974,-5874.030689
-6003.511056,-6003.511056,-6004.806842,-6007.521111
-6026.530023,-6026.185204,-6027.215424,-6027.464396
-6051.307142,-6051.307142,-6052.211609,-6054.558081
-5948.855178,-5948.855178,-5949.961145,-5952.208987
-5967.838199,-5967.838199,-5969.860537,-5972.036189
-5988.133944,-5988.133944,-5990.664125,-5994.523084
-5944.446459,-5944.446459,-5945.150139,-5947.897026
-6008.344132,-6008.344132,-6010.347197,-6011.453309
-5960.769255,-5960.465995,-5960.648879,-5961.194848
-5882.845787,-5882.845787,-5883.478684,-5883.478684
-5953.183213,-5953.142794,-5954.211339,-5955.380178
-5993.108603,-5993.108603,-5993.412299,-5993.412299
-5862.713848,-5862.713848,-5863.910575,-5867.221328
-5970.580149,-5970.580149,-5972.745035,-5977.221446
-6063.339704,-6063.339704,-6063.353564,-6063.353564
-5887.500135,-5887.500135,-5887.887132,-5889.389381
-6200.479966,-6200.479966,-6200.703438,-6200.703438
-5923.836164,-5923.836164,-5924.016130,-5924.750439
-5882.054793,-5882.054793,-5882.358732,-5882.358732
-5949.244102,-5948.998454,-5950.117920,-5951.619393
