k,p0,p1,p2a,p2b,w0,w2
1.987360,0.855060,0.025880,0.115560,0.003500,0.023300,999.000000
1.973490,0.889980,0.019030,0.089080,0.001910,0.022410,999.000000
1.874100,0.860400,0.019270,0.117690,0.002640,0.025200,999.000000
1.937160,0.881350,0.021550,0.094780,0.002320,0.022880,999.000000
1.957010,0.860770,0.019120,0.117500,0.002610,0.022830,999.000000
2.050070,0.870660,0.023180,0.103420,0.002750,0.023890,999.000000
2.004640,0.837320,0.014260,0.145940,0.002490,0.021440,999.000000
1.853660,0.860640,0.022040,0.114390,0.002930,0.021440,999.000000
1.915900,0.889870,0.016180,0.092270,0.001680,0.022190,999.000000
1.909430,0.887680,0.017490,0.092990,0.001830,0.022610,999.000000
