k,p0,p1,p2a,p2b,w0,w2
1.852920,0.845600,0.017630,0.133980,0.002790,0.022830,3.799430
1.826130,0.858340,0.020600,0.118220,0.002840,0.022670,7.472860
1.841180,0.839720,0.018270,0.138990,0.003020,0.022840,9.228780
2.039960,0.873870,0.024230,0.099140,0.002750,0.023430,4.230350
1.848130,0.874490,0.020900,0.102170,0.002440,0.022280,2.735850
1.883130,0.857250,0.022500,0.117170,0.003080,0.022850,4.995420
1.872000,0.861560,0.017700,0.118310,0.002430,0.023300,3.976760
1.902520,0.842520,0.019970,0.134320,0.003180,0.023450,999.000000
1.911760,0.854180,0.019630,0.123350,0.002840,0.021460,7.584600
1.917100,0.861120,0.017700,0.118750,0.002440,0.022490,4.149770
