null1,null2,bsA
-76679.161641,-76676.740317,-76676.740317
-76922.688943,-76916.984837,-76916.984837
-77037.247289,-77035.961513,-77035.961513
-76177.884366,-76173.926767,-76173.926767
-77650.454320,-77644.369785,-77644.369785
-77347.489059,-77343.783048,-77343.783048
-77046.996754,-77042.969655,-77042.969655
-77142.771062,-77139.089190,-77139.089190
-77698.077195,-77695.359051,-77695.359051
-77514.578228,-77513.872755,-77513.872755
-76495.923831,-76493.293553,-76493.293553
-76924.144626,-76918.583306,-76918.583306
-77083.374114,-77083.135258,-77083.135258
-77164.818947,-77164.800603,-77164.800603
-76314.076651,-76312.477938,-76312.477938
-77641.732485,-77641.457223,-77641.457223
-77176.039977,-77175.630177,-77175.630177
-77447.731800,-77441.386786,-77441.386786
-77158.012865,-77158.012865,-77158.012865
-77378.985691,-77375.316968,-77375.316968
-76692.198494,-76690.948921,-76690.948921
-77514.253513,-77512.914298,-77512.914298
-77745.042821,-77744.526779,-77744.526779
-76515.204237,-76510.051906,-76510.051906
-76760.411918,-76755.845286,-76755.845286
-77138.291725,-77135.756221,-77135.756221
-76337.491376,-76336.073340,-76336.073340
-77774.190849,-77770.164578,-77770.164578
-76877.955412,-76877.228067,-76877.228067
-77329.313119,-77326.413691,-77326.413691
-76202.648254,-76200.432562,-76200.559801
-77873.993529,-77871.758405,-77871.758405
-76505.880619,-76497.864771,-76497.864771
-77210.578281,-77207.433265,-77207.433265
-77279.195063,-77274.538092,-77274.538092
-76516.397347,-76511.856205,-76511.856205
-76861.811064,-76860.113895,-76860.113895
-76812.110452,-76803.196897,-76803.196897
-77067.511224,-77066.536487,-77066.536487
-76945.355165,-76939.232582,-76939.232582
-76927.696743,-76923.547082,-76923.547082
-77001.353163,-76999.083660,-76999.083660
-77714.777327,-77711.323324,-77711.323324
-77165.535113,-77154.243702,-77154.243702
-77131.544198,-77129.552417,-77129.552417
-77395.011033,-77390.483194,-77390.483194
-76991.594672,-76989.754006,-76989.754006
-77000.781361,-77000.314456,-77000.314456
-76676.492861,-76674.757694,-76674.757694
-76333.818140,-76329.851385,-76329.851385
-77402.000774,-77400.156745,-77400.156745
-77228.024301,-77226.186676,-77226.186676
-77547.926202,-77543.625468,-77543.625468
-76307.531997,-76303.853086,-76303.853086
-76660.120800,-76660.120800,-76660.120800
-77006.029434,-77005.599701,-77005.599701
-76463.454085,-76462.820803,-76462.820803
-75807.062235,-75805.377756,-75805.377756
-77195.026772,-77192.848751,-77192.848751
-76791.472929,-76789.857811,-76789.857811
-77085.701366,-77082.595683,-77082.595683
-77409.058145,-77406.115857,-77406.115857
-77237.390733,-77237.013549,-77237.013549
-76974.608122,-76973.241355,-76973.241355
-77596.451351,-77595.653510,-77595.653510
-76323.155866,-76320.370289,-76320.370289
-77030.859478,-77028.437049,-77028.437049
-77564.700559,-77560.283893,-77560.283893
-76820.789766,-76820.738643,-76820.738643
-76534.244139,-76532.687902,-76532.687902
-77742.804344,-77739.127672,-77739.127672
-77398.788357,-77397.205100,-77397.205100
-76528.506069,-76527.557778,-76527.557778
-76594.315905,-76587.323117,-76587.323117
-76502.241281,-76497.481219,-76497.481219
-77613.179017,-77612.541614,-77612.541614
-76690.911498,-76688.345303,-76688.345303
-76830.037952,-76828.740441,-76828.740441
-76789.060031,-76788.873536,-76788.873536
-77579.440630,-77573.970518,-77573.970518
-77121.867393,-77119.797453,-77119.797453
-77131.312162,-77128.589029,-77128.589029
-76942.480168,-76941.658270,-76941.658270
-76168.546403,-76166.412339,-76166.412339
-77086.669230,-77082.833494,-77082.833494
-77074.082178,-77071.929358,-77071.929358
-76673.198011,-76667.950649,-76667.950649
-77108.025097,-77102.951488,-77102.951488
-77243.994330,-77242.490638,-77242.490638
-77050.854838,-77045.007813,-77045.007813
-77274.919641,-77269.494843,-77269.494843
-77533.903174,-77529.341983,-77529.341983
-76458.407890,-76454.371225,-76454.371225
-77952.833702,-77951.318602,-77951.318602
-76493.530132,-76492.575574,-76492.575574
-76892.041325,-76890.344929,-76890.344929
-77154.600495,-77152.482317,-77152.482317
-76299.591586,-76297.474036,-76297.474036
-77071.887938,-77063.432312,-77063.432312
-77147.155477,-77145.033946,-77145.033946
-76559.686193,-76559.015575,-76559.015575
-76710.271289,-76705.513157,-76705.513157
-77658.422224,-77654.903373,-77654.903373
-77836.064550,-77835.566355,-77835.566355
-76370.764945,-76369.795101,-76369.795101
-76457.229844,-76457.229844,-76457.229844
-77229.350037,-77224.485246,-77224.485246
-77146.783006,-77144.822944,-77144.822944
-76305.908275,-76302.040973,-76302.040973
-77526.689739,-77524.291025,-77524.291025
-77030.542803,-77029.190892,-77029.190892
-77266.667158,-77261.404982,-77261.404982
-77175.715131,-77173.106947,-77173.106947
-76805.455075,-76804.416481,-76804.416481
-76657.435698,-76654.869236,-76654.869236
-76894.871898,-76892.843683,-76892.843683
-76881.421589,-76877.251013,-76877.251013
-77072.605904,-77071.655092,-77071.655092
-77868.275137,-77868.028629,-77868.028629
-76901.350364,-76899.852733,-76899.852733
-76576.039622,-76573.792928,-76573.792928
-77737.766241,-77733.535249,-77733.535249
-77307.192285,-77304.574377,-77304.574377
-77160.154446,-77157.630722,-77157.630722
-77284.183982,-77281.467548,-77281.467548
-76415.956064,-76409.723581,-76409.723581
-77090.354655,-77089.549692,-77089.549692
-76655.048358,-76650.670378,-76650.670378
-77643.788605,-77639.190963,-77639.190963
-77108.028117,-77106.471619,-77106.471619
-77424.007253,-77420.221227,-77420.221227
-76613.040310,-76608.891106,-76608.891106
-76368.258265,-76367.631144,-76367.631144
-77222.273990,-77215.395942,-77215.395942
-77210.584345,-77209.663654,-77209.663654
-76498.167668,-76495.560765,-76495.560765
-76612.218605,-76610.781394,-76610.781403
-77335.171020,-77334.938179,-77334.938179
-76829.515033,-76829.404315,-76829.404315
-77244.149230,-77239.384736,-77239.384736
-77208.800817,-77205.679069,-77205.679069
-77550.878766,-77542.119074,-77542.119074
-77206.572326,-77203.314236,-77203.314236
-77234.383709,-77230.914458,-77230.914458
-77188.332316,-77184.721560,-77184.721560
-76864.329931,-76861.653575,-76861.653575
-76411.265976,-76409.383590,-76409.383590
-75892.644899,-75889.435160,-75889.435160
-76307.663956,-76299.679501,-76299.679501
-77011.421079,-77009.564009,-77009.564591
-77100.507150,-77098.179422,-77098.179422
-77445.919165,-77444.902562,-77444.902562
-77035.949987,-77027.676651,-77027.676651
-76696.324675,-76694.689099,-76694.689099
-77162.163426,-77161.296035,-77161.296035
-77056.321990,-77053.660720,-77053.660720
-77574.208314,-77571.994048,-77571.994048
-76763.350523,-76761.551596,-76761.551596
-77246.762059,-77246.762059,-77246.762059
-78070.332203,-78067.979147,-78067.979147
-76804.346777,-76802.422308,-76802.422208
-76964.560523,-76957.786538,-76957.786538
-77239.629466,-77234.021432,-77234.021432
-77161.317650,-77159.302310,-77159.302310
-76731.083007,-76730.992318,-76730.992318
-76852.698679,-76850.333607,-76850.333607
-76447.699949,-76444.405877,-76444.405877
-77179.731864,-77177.119706,-77177.119706
-77236.490588,-77230.565623,-77230.565623
-77182.195122,-77180.160668,-77180.160668
-77373.253470,-77371.654821,-77371.654821
-77033.024829,-77030.061662,-77030.061662
-76947.762679,-76942.103192,-76942.103192
-76460.221264,-76460.221264,-76460.221264
-77133.961854,-77130.774733,-77130.774733
-76346.327697,-76340.290799,-76340.290799
-76273.425197,-76268.949961,-76268.949961
-76478.398108,-76474.721539,-76474.721539
-77388.582269,-77385.737271,-77385.737271
-77178.569693,-77176.013182,-77176.013182
-77061.372761,-77058.283787,-77058.283787
-77317.074153,-77317.072652,-77317.072652
-76983.018789,-76976.073216,-76976.073216
-77586.575453,-77585.273727,-77585.273727
-77740.401452,-77734.601739,-77734.601739
-77662.042462,-77656.362679,-77656.362679
-76940.246392,-76939.521514,-76939.521514
-77119.329833,-77118.229962,-77118.229962
-77182.609882,-77175.335288,-77175.335288
-77067.374891,-77067.217820,-77067.217820
-77342.969998,-77342.253292,-77342.253292
-77604.785707,-77603.404109,-77603.404109
-76869.914973,-76863.829298,-76863.829298
-77261.018260,-77259.510592,-77259.510592
-76894.601105,-76887.125194,-76887.125194
-77438.716466,-77438.676387,-77438.676387
-77036.070820,-77034.516293,-77034.516293
-76561.055233,-76559.770569,-76559.770569
-76544.394808,-76543.282773,-76543.282773
-76648.266201,-76645.801943,-76645.801943
-77886.041001,-77882.354253,-77882.354253
-77083.702782,-77078.953984,-77078.953984
-76326.355483,-76324.543806,-76324.543806
-76955.498716,-76954.111864,-76954.111864
-76544.536166,-76535.238134,-76535.238134
-76828.286068,-76826.941036,-76826.941036
-77016.680615,-77016.185988,-77016.185988
-76760.217728,-76756.588672,-76756.588672
-76901.434610,-76898.089065,-76898.089065
-77355.855741,-77349.584671,-77349.584671
-77224.594020,-77224.379807,-77224.379807
-77687.297755,-77685.364285,-77685.364285
-77867.737326,-77866.313452,-77866.313452
-76348.649082,-76348.224187,-76348.224187
-77658.885550,-77657.232885,-77657.232885
-76897.429551,-76892.314190,-76892.314190
-75942.939847,-75941.039280,-75941.039280
-76913.596552,-76911.583274,-76911.583274
-76475.104904,-76473.697444,-76473.697444
-76626.523595,-76619.853009,-76619.868760
-77030.250820,-77023.863857,-77023.863857
-77709.006991,-77704.529253,-77704.529253
-77374.914555,-77374.725676,-77374.725745
-77022.075230,-77020.075720,-77020.075720
-76900.679442,-76897.934546,-76897.934546
-76907.394092,-76906.984700,-76906.984700
-77141.693208,-77138.847516,-77138.847516
-77021.788045,-77020.500674,-77020.500674
-76737.544430,-76730.806593,-76730.806593
-76837.237002,-76828.483712,-76828.483712
-77044.091079,-77041.103112,-77041.103112
-76947.492512,-76947.365028,-76947.365028
-76911.299045,-76905.481320,-76905.481320
-76827.512643,-76826.957177,-76826.957177
-77861.838603,-77856.097236,-77856.097236
-76965.610675,-76954.635513,-76954.635513
-76732.506708,-76729.684206,-76729.684206
-77705.571176,-77703.266050,-77703.266050
-77215.166812,-77214.497493,-77214.497493
-76665.131743,-76663.120403,-76663.120403
-77009.714863,-77001.619935,-77001.619935
-77014.562150,-77005.601515,-77005.601515
-77470.114610,-77467.825061,-77467.825061
-77209.736100,-77208.254802,-77208.254802
-75970.362974,-75964.896216,-75964.896216
-76410.859297,-76407.539275,-76407.539275
-77536.447994,-77533.276702,-77533.276702
-76880.525599,-76876.906056,-76876.906056
-77159.894550,-77158.362452,-77158.362452
-77608.219764,-77606.716675,-77606.716675
-76599.226551,-76598.307220,-76598.307220
-76740.423263,-76739.634748,-76739.634748
-77097.985638,-77094.632919,-77094.632919
-77080.101262,-77078.641878,-77078.641878
-76607.469444,-76604.218396,-76604.218396
-76278.017438,-76276.572167,-76276.572167
-76684.927331,-76683.764597,-76683.764597
-76644.814297,-76643.611743,-76643.611743
-77139.738856,-77129.831573,-77129.831573
-77071.591015,-77071.584108,-77071.584035
-78210.351700,-78202.502764,-78202.502764
-76739.597985,-76735.096654,-76735.096654
