null1,null2,bsA
-76851.500407,-76850.464065,-76850.464065
-77104.154104,-77104.154104,-77104.154104
-77608.109841,-77608.022218,-77608.022218
-76897.734727,-76897.301275,-76897.301275
-78180.048928,-78177.617237,-78177.617237
-77631.370815,-77629.722190,-77629.130427
-77533.561901,-77533.000926,-77533.000926
-77681.436618,-77679.281124,-77679.281124
-78165.715926,-78165.273075,-78165.273075
-77920.945243,-77920.945244,-77920.945243
-77288.417529,-77286.534660,-77286.534660
-77467.519501,-77464.880690,-77464.880690
-77689.337744,-77689.343668,-77689.337744
-77178.898971,-77178.703265,-77178.703265
-76966.122936,-76966.097250,-76965.725175
-78294.493867,-78294.493867,-78294.493867
-77727.438522,-77727.438522,-77727.438522
-77857.806303,-77855.725525,-77854.359724
-77797.350167,-77797.350167,-77797.350167
-77648.638044,-77648.638044,-77648.638045
-77137.112936,-77137.112936,-77137.112941
-77936.155625,-77935.628211,-77935.628211
-78007.454058,-78006.829796,-78006.829796
-76982.125862,-76981.679600,-76981.679600
-77217.831224,-77217.426092,-77217.426092
-77579.127832,-77579.127832,-77579.128073
-76970.776809,-76970.696519,-76970.696519
-78218.996532,-78218.455169,-78218.455169
-77190.553565,-77190.390604,-77190.390604
-77932.263644,-77928.959243,-77928.959243
-76899.269631,-76897.768717,-76897.750706
-78466.579220,-78466.522193,-78465.836507
-77138.842710,-77136.155849,-77136.155849
-77584.731101,-77582.881192,-77582.881192
-77878.294014,-77877.412107,-77877.412107
-76947.553313,-76947.546436,-76947.546444
-77182.269471,-77181.476068,-77181.476068
-77420.362420,-77418.424946,-77418.424946
-77634.159590,-77633.799741,-77633.799741
-77273.627153,-77270.556206,-77270.556206
-77529.363077,-77529.241086,-77529.241086
-77231.486845,-77230.638790,-77230.638790
-78235.807023,-78234.925871,-78234.925871
-77588.909512,-77583.040349,-77583.039269
-77628.944135,-77628.944135,-77628.944135
-78098.659783,-78095.078781,-78095.078781
-77380.021882,-77379.353395,-77379.353395
-77284.517493,-77284.514201,-77284.514201
-77032.540588,-77032.311780,-77032.311780
-76609.524204,-76608.062804,-76608.062804
-77387.753662,-77386.565337,-77386.565337
-77319.076197,-77319.069477,-77319.070540
-78105.099241,-78103.802049,-78103.802049
-77095.818974,-77095.118789,-77095.118789
-77242.144496,-77242.144434,-77242.144434
-77414.862541,-77414.655105,-77414.655105
-77099.879287,-77099.879287,-77099.879287
-76491.636509,-76491.636509,-76491.636509
-77665.016933,-77664.948758,-77664.948758
-76900.294578,-76900.017891,-76900.017891
-78123.258172,-78122.378818,-78122.378818
-77894.759878,-77893.394951,-77893.394951
-77964.111261,-77964.111261,-77964.111261
-77406.064853,-77405.286286,-77405.286286
-77755.961087,-77755.892367,-77755.892367
-76700.504662,-76700.056803,-76700.056842
-77301.871789,-77301.684297,-77301.684297
-77886.089468,-77882.641561,-77882.641561
-76989.750374,-76989.750374,-76989.750375
-76938.063393,-76936.600915,-76936.600915
-78033.244891,-78031.517206,-78031.517206
-77696.680510,-77695.106133,-77694.848489
-77061.875533,-77061.875533,-77061.875533
-76814.809362,-76813.071789,-76812.980573
-76903.761667,-76903.760580,-76903.760615
-77896.295708,-77895.880513,-77895.880513
-77295.882296,-77295.615307,-77295.615307
-77126.947145,-77126.947145,-77126.947145
-77201.122594,-77200.990026,-77200.990026
-78001.597552,-78000.204475,-78000.204475
-77831.956673,-77831.357243,-77831.357243
-78042.551506,-78040.756159,-78040.756159
-77358.843916,-77357.897911,-77357.897911
-76456.784589,-76453.267965,-76453.267965
-77524.577705,-77520.753895,-77520.753895
-77345.650373,-77345.633841,-77345.633841
-76838.187227,-76833.923769,-76833.923769
-77547.034196,-77544.462179,-77544.462179
-77919.482638,-77918.729235,-77918.729235
-77502.688683,-77502.580244,-77502.580244
-77533.361679,-77533.252869,-77533.252869
-78106.327522,-78105.354068,-78105.354068
-77210.376286,-77210.376286,-77210.300877
-78341.785268,-78341.785268,-78341.785268
-77002.100563,-77001.528979,-77001.528979
-77240.453220,-77240.453228,-77240.453220
-77519.328614,-77518.685436,-77518.685436
-76183.467951,-76182.107603,-76182.107603
-77542.775048,-77540.195476,-77540.195476
-77665.188881,-77664.821554,-77664.821554
-76752.376800,-76752.341451,-76752.341451
-77246.596168,-77244.611877,-77244.611877
-77976.360200,-77973.636523,-77973.636523
-78144.570424,-78143.176761,-78143.176761
-76869.014655,-76869.014655,-76869.014655
-76866.966995,-76866.966995,-76866.966995
-77669.355921,-77668.882442,-77668.882442
-77437.612626,-77435.684271,-77435.684271
-76855.562210,-76855.549524,-76855.549524
-78030.108912,-78029.162703,-78029.162703
-77287.558858,-77286.247781,-77286.247781
-77832.780900,-77830.345047,-77830.345047
-77564.064057,-77563.897579,-77563.353523
-77354.686472,-77354.659766,-77354.659766
-77339.457619,-77338.128393,-77338.128393
-77085.717908,-77085.717151,-77085.717151
-77446.047287,-77445.719343,-77445.715401
-77544.867397,-77544.760511,-77544.760511
-78463.099199,-78463.079103,-78463.079103
-77353.951653,-77353.951653,-77353.951653
-77185.360450,-77185.285679,-77185.285681
-78267.455765,-78262.157775,-78262.157775
-77865.621468,-77865.180645,-77865.099381
-77534.506788,-77534.362390,-77534.362390
-77684.897195,-77682.780966,-77682.780966
-76708.221558,-76706.597929,-76706.597929
-77700.247165,-77700.247165,-77700.263269
-77297.784966,-77295.619427,-77295.619427
-77968.796764,-77967.561145,-77967.561145
-77748.660238,-77745.991273,-77745.991273
-77795.466374,-77794.440985,-77794.440985
-77271.273550,-77269.845022,-77269.845022
-76715.729997,-76714.808705,-76714.808705
-77685.295485,-77684.978449,-77684.978449
-77849.335040,-77849.200067,-77849.200067
-76809.425693,-76808.278743,-76808.278743
-77150.479299,-77150.406352,-77150.406352
-77723.126594,-77722.958852,-77722.958852
-77550.933385,-77550.933385,-77550.934178
-77460.879823,-77459.895543,-77459.895543
-77869.347946,-77868.831252,-77868.831252
-77834.510503,-77831.772953,-77831.772953
-77781.033941,-77776.824515,-77776.824515
-77597.370899,-77596.966773,-77596.966773
-77433.282783,-77433.282784,-77433.282783
-77371.775009,-77371.753111,-77371.753111
-76547.045369,-76547.045369,-76547.045369
-76652.684536,-76651.221552,-76651.221552
-77114.503283,-77113.279265,-77113.279265
-77729.903722,-77726.857965,-77726.856492
-77670.609040,-77670.611145,-77670.609040
-77705.046767,-77705.046767,-77705.046767
-77579.446895,-77578.411997,-77578.317352
-77299.784880,-77297.690889,-77297.690889
-77484.721701,-77484.721452,-77484.721701
-77226.966980,-77225.670986,-77225.670986
-78089.207886,-78088.862054,-78088.862054
-77073.868373,-77073.833730,-77073.833730
-77484.555644,-77484.555644,-77484.555660
-78208.683656,-78206.721824,-78206.722288
