p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.531160,0.434190,0.019070,0.015590,0.154030,1.000000,0.154030,1.000000,0.154030,1.000000,1.000000,1.000000
0.549530,0.450470,0.000000,0.000000,0.172720,1.000000,0.172720,1.000000,0.172720,1.000000,1.000000,1.000000
0.496310,0.480170,0.011950,0.011560,0.139420,1.000000,0.139420,1.000000,0.139420,1.000000,1.000000,1.000000
0.514130,0.475800,0.005230,0.004840,0.144940,1.000000,0.144940,1.000000,0.144940,1.000000,1.000000,1.000000
0.496140,0.496930,0.003460,0.003470,0.141350,1.000000,0.141350,1.000000,0.141350,1.000000,1.000000,1.000000
0.496010,0.451560,0.027440,0.024980,0.133360,1.000000,0.133360,1.000000,0.133360,1.000000,1.000000,1.000000
0.492940,0.443300,0.033570,0.030190,0.149280,1.000000,0.149280,1.000000,0.149280,1.000000,1.000000,1.000000
0.471290,0.482690,0.022730,0.023280,0.135120,1.000000,0.135120,1.000000,0.135120,1.000000,1.000000,1.000000
0.522350,0.477650,0.000000,0.000000,0.145380,1.000000,0.145380,1.000000,0.145380,1.000000,1.000000,1.000000
0.526570,0.473430,0.000000,0.000000,0.143630,1.000000,0.143630,1.000000,0.143630,1.000000,1.000000,1.000000
0.521890,0.453040,0.013420,0.011650,0.149260,1.000000,0.149260,1.000000,0.149260,1.000000,1.000000,1.000000
0.496920,0.448900,0.028470,0.025720,0.142060,1.000000,0.142060,1.000000,0.142060,1.000000,1.000000,1.000000
0.523550,0.472590,0.002030,0.001830,0.140810,1.000000,0.140810,1.000000,0.140810,1.000000,1.000000,1.000000
0.512140,0.439720,0.025900,0.022240,0.146360,1.000000,0.146360,1.000000,0.146360,1.000000,1.000000,1.000000
0.507440,0.455200,0.019690,0.017660,0.153770,1.000000,0.153770,1.000000,0.153770,1.000000,1.000000,1.000000
0.513330,0.445320,0.022140,0.019210,0.150140,1.000000,0.150140,1.000000,0.150140,1.000000,1.000000,1.000000
0.496110,0.444500,0.031320,0.028070,0.148010,1.000000,0.148010,1.000000,0.148010,1.000000,1.000000,1.000000
0.530240,0.456550,0.007100,0.006110,0.155530,1.000000,0.155530,1.000000,0.155530,1.000000,1.000000,1.000000
0.490120,0.503650,0.003070,0.003160,0.141550,1.000000,0.141550,1.000000,0.141550,1.000000,1.000000,1.000000
0.528880,0.426520,0.024690,0.019910,0.157040,1.000000,0.157040,1.000000,0.157040,1.000000,1.000000,1.000000
0.510420,0.488520,0.000540,0.000520,0.154390,1.000000,0.154390,1.000000,0.154390,1.000000,1.000000,1.000000
0.513970,0.464060,0.011550,0.010430,0.146120,1.000000,0.146120,1.000000,0.146120,1.000000,1.000000,1.000000
0.535770,0.452880,0.006150,0.005200,0.156220,1.000000,0.156220,1.000000,0.156220,1.000000,1.000000,1.000000
0.519500,0.475490,0.002620,0.002400,0.151850,1.000000,0.151850,1.000000,0.151850,1.000000,1.000000,1.000000
0.501100,0.440360,0.031160,0.027380,0.135490,1.000000,0.135490,1.000000,0.135490,1.000000,1.000000,1.000000
0.520620,0.479380,0.000000,0.000000,0.153830,1.000000,0.153830,1.000000,0.153830,1.000000,1.000000,1.000000
0.523690,0.466130,0.005390,0.004790,0.153100,1.000000,0.153100,1.000000,0.153100,1.000000,1.000000,1.000000
0.486000,0.423990,0.048070,0.041940,0.146190,1.000000,0.146190,1.000000,0.146190,1.000000,1.000000,1.000000
0.511800,0.460550,0.014550,0.013100,0.144160,1.000000,0.144160,1.000000,0.144160,1.000000,1.000000,1.000000
0.510730,0.475470,0.007150,0.006650,0.156230,1.000000,0.156230,1.000000,0.156230,1.000000,1.000000,1.000000
0.500850,0.445190,0.028570,0.025390,0.140990,1.000000,0.140990,1.000000,0.140990,1.000000,1.000000,1.000000
0.488740,0.461790,0.025440,0.024040,0.130270,1.000000,0.130270,1.000000,0.130270,1.000000,1.000000,1.000000
0.524250,0.475750,0.000000,0.000000,0.154210,1.000000,0.154210,1.000000,0.154210,1.000000,1.000000,1.000000
0.486620,0.457920,0.028570,0.026890,0.134290,1.000000,0.134290,1.000000,0.134290,1.000000,1.000000,1.000000
0.493310,0.461090,0.023570,0.022030,0.147230,1.000000,0.147230,1.000000,0.147230,1.000000,1.000000,1.000000
0.508710,0.490450,0.000420,0.000410,0.150230,1.000000,0.150230,1.000000,0.150230,1.000000,1.000000,1.000000
0.494370,0.447140,0.030710,0.027780,0.150440,1.000000,0.150440,1.000000,0.150440,1.000000,1.000000,1.000000
0.513450,0.451030,0.018910,0.016610,0.141970,1.000000,0.141970,1.000000,0.141970,1.000000,1.000000,1.000000
0.505500,0.446770,0.025330,0.022390,0.155370,1.000000,0.155370,1.000000,0.155370,1.000000,1.000000,1.000000
0.516160,0.450150,0.018000,0.015700,0.152650,1.000000,0.152650,1.000000,0.152650,1.000000,1.000000,1.000000
0.515520,0.463220,0.011200,0.010060,0.156560,1.000000,0.156560,1.000000,0.156560,1.000000,1.000000,1.000000
0.514410,0.471790,0.007200,0.006600,0.143940,1.000000,0.143940,1.000000,0.143940,1.000000,1.000000,1.000000
