null1,null2,bsA
-77417.189766,-77411.379892,-77411.379892
-76876.083987,-76871.207080,-76871.052243
-77851.706482,-77848.381342,-77848.174378
-77402.913275,-77398.248598,-77398.248598
-78239.172539,-78235.603907,-78235.603907
-78266.135278,-78263.408089,-78262.673760
-77933.385015,-77932.820792,-77930.245919
-77525.306201,-77522.967804,-77521.522408
-77831.854849,-77829.758992,-77829.747509
-78193.162228,-78192.290709,-78192.290709
-77488.977733,-77488.482738,-77488.482738
-77417.792175,-77414.283051,-77413.901935
-77975.174105,-77972.667473,-77972.667473
-77221.860285,-77217.716021,-77217.390158
-76880.182505,-76876.647394,-76876.647394
-78361.273262,-78360.549223,-78360.549223
-77456.187324,-77455.820161,-77455.820161
-78099.690115,-78095.200964,-78095.200964
-77975.186772,-77972.987993,-77972.987993
-77626.245166,-77622.021123,-77619.464405
-77406.375325,-77403.465772,-77403.465772
-77883.128715,-77879.043070,-77878.707103
-77758.016586,-77758.014792,-77758.014792
-77474.395061,-77470.039032,-77469.498967
-78196.122726,-78190.725465,-78190.173069
-77928.022567,-77927.987283,-77927.985833
-77718.028923,-77716.225947,-77714.219808
-77969.996625,-77967.978194,-77967.795708
-77907.438205,-77906.808989,-77906.808989
-77887.452279,-77880.636490,-77880.482688
-77499.464090,-77497.500208,-77497.500208
-78359.174464,-78355.878311,-78355.878311
-77439.953753,-77438.772830,-77438.772830
-77572.934164,-77570.495588,-77570.495588
-78414.762664,-78409.968446,-78409.940720
-77352.848974,-77351.842786,-77351.842733
-77481.623699,-77475.899671,-77475.899671
-77863.678773,-77857.023820,-77857.023820
-77640.162275,-77635.272141,-77634.860901
-77884.421339,-77882.994648,-77882.994648
-77951.309703,-77950.704517,-77950.704517
-78416.054582,-78412.625669,-78412.598944
-78001.955192,-78000.650538,-78000.650538
-78046.502476,-78040.360903,-78039.958366
-78347.762821,-78346.217707,-78346.217707
-78348.952315,-78346.284296,-78346.284296
-77931.359124,-77926.682925,-77926.682925
-77643.928780,-77640.980425,-77640.949594
-77473.211682,-77470.238062,-77470.092976
-76807.251426,-76801.792576,-76801.742365
-78102.556503,-78098.725051,-78098.725051
-77320.915706,-77318.321081,-77317.199124
-78413.494125,-78408.341192,-78408.341192
-77307.001650,-77302.702041,-77302.561278
-77560.527925,-77555.160870,-77555.160870
-77571.473535,-77565.252912,-77565.252912
-77525.070774,-77520.892748,-77520.892748
-77038.732353,-77033.898102,-77033.898102
-77815.446072,-77812.517303,-77812.410050
-77717.614101,-77711.365893,-77711.315572
-77946.401139,-77941.741913,-77938.907719
-78163.160960,-78161.546882,-78161.478580
-78083.713084,-78078.139668,-78077.153362
-77318.820475,-77318.328853,-77318.328853
-78359.999607,-78356.280014,-78356.280014
-77029.620363,-77027.337077,-77027.333367
-77771.496906,-77765.515675,-77765.515675
-78133.603605,-78131.817944,-78131.714497
-77972.859894,-77970.862421,-77970.715124
-77079.270063,-77074.091034,-77073.056691
-78269.795873,-78269.795873,-78269.795873
-77851.308078,-77845.682513,-77845.682513
-77721.965866,-77718.597667,-77717.821434
-76872.853026,-76863.228673,-76863.228673
-77406.070022,-77405.423152,-77405.398019
-77302.104961,-77299.579313,-77299.358760
-77532.872424,-77530.763224,-77530.697415
-76965.107667,-76959.152209,-76959.152210
-77741.572577,-77740.986481,-77740.986481
-78038.280905,-78033.579155,-78033.579155
-77466.295204,-77464.194364,-77464.194364
-78023.943655,-78016.668800,-78016.603561
-77330.381869,-77329.310863,-77329.289271
-77287.317179,-77280.741940,-77280.738280
-77655.293728,-77653.043087,-77653.034195
-77906.409670,-77905.783280,-77905.323312
-77714.406147,-77710.377026,-77710.322310
-78194.069102,-78189.104815,-78188.649023
-77748.462603,-77748.413873,-77748.337614
-78079.790926,-78073.407788,-78073.324144
-77689.956638,-77689.908458,-77689.908259
-78169.990091,-78169.945105,-78169.911749
-77756.712770,-77756.259804,-77756.189515
-78696.443722,-78694.106862,-78694.091849
-76986.466860,-76983.179988,-76982.669895
-77737.290358,-77736.639773,-77736.639773
-77765.293433,-77754.128997,-77754.128997
-76888.728519,-76885.186319,-76885.134600
-78393.490566,-78390.416759,-78390.416759
-77548.148937,-77546.703486,-77546.703486
-77579.991376,-77575.971495,-77575.971495
-77224.161970,-77221.645586,-77221.645586
-78260.328566,-78255.323148,-78255.323148
-78071.274912,-78069.277218,-78069.277218
-77070.691201,-77069.910523,-77069.723468
-77626.088759,-77622.497352,-77622.068456
-77647.854577,-77641.810280,-77641.796187
-77707.166191,-77704.627336,-77704.467805
-77104.876515,-77101.710653,-77101.710653
-78109.101590,-78109.101591,-78109.101591
-78217.518586,-78212.542644,-78212.542644
-78546.681275,-78546.128676,-78545.321250
-77876.939079,-77876.359423,-77873.557796
-77572.700819,-77572.135733,-77570.634114
-77512.589573,-77511.804650,-77511.399161
-77651.111276,-77650.378146,-77647.323009
-77719.559698,-77713.541105,-77713.541105
-78038.852782,-78033.940756,-78033.073683
-78679.892622,-78678.921310,-78678.921310
-77537.480751,-77533.294880,-77533.294880
-77344.423365,-77338.561995,-77338.260187
-78380.713247,-78376.131106,-78376.131106
-78075.197913,-78069.065535,-78069.065535
-77693.265482,-77687.520956,-77687.516594
-78112.207776,-78108.785295,-78108.785295
-76865.404365,-76861.172379,-76861.142781
-78228.769483,-78228.003655,-78228.003655
-77509.909555,-77504.880056,-77504.880056
-77804.460724,-77793.584900,-77793.484647
-77742.354558,-77737.599946,-77737.599946
-78105.732320,-78103.429099,-78103.417126
-77294.258120,-77287.290593,-77287.290593
-77180.128248,-77176.382397,-77174.673533
-77755.490413,-77751.896546,-77751.879042
-78323.755371,-78322.689198,-78322.674639
-77372.156890,-77372.156890,-77372.156890
-77472.842425,-77469.642979,-77467.511606
-77731.168080,-77719.486262,-77719.478235
-77705.694499,-77698.342963,-77698.342963
-77591.665372,-77586.413997,-77586.413997
-77738.811327,-77733.629362,-77733.384912
-77405.169192,-77404.915949,-77404.915949
-78004.911276,-78000.377583,-78000.377583
-77737.668594,-77733.890290,-77733.865621
-77960.883251,-77956.579281,-77955.146615
-77411.079111,-77407.936814,-77407.910896
-77151.885336,-77151.422244,-77151.422244
-77324.598431,-77323.128948,-77323.040185
-77655.184722,-77652.484422,-77650.084641
-77652.811162,-77647.445562,-77647.441991
-77888.894528,-77884.907032,-77884.655567
-77608.469399,-77604.239713,-77604.239713
-77391.031968,-77390.947624,-77390.947624
-77447.811273,-77443.790070,-77443.790070
-77628.525573,-77624.774374,-77624.774374
-77713.990763,-77709.634910,-77709.634910
-77991.406781,-77987.859184,-77987.001078
-77043.236219,-77038.313834,-77038.313834
-77772.736061,-77769.615100,-77769.615100
-77788.327720,-77787.016993,-77787.016993
-77214.065146,-77208.167751,-77207.832518
-77445.157008,-77442.266268,-77442.266268
-78228.945994,-78222.031357,-78222.031357
-77858.705119,-77852.607737,-77852.607737
-77842.320364,-77839.386550,-77838.916977
-77425.031231,-77423.208418,-77423.208418
-77809.707012,-77807.671972,-77807.671972
-77228.493294,-77224.264618,-77223.553499
-78010.030860,-78003.671667,-78000.694111
-77838.752628,-77836.916005,-77836.916005
-77714.203294,-77708.933881,-77708.929749
-77622.475168,-77615.115929,-77614.761644
-77940.921525,-77937.601292,-77937.546037
-77635.128821,-77629.963700,-77629.426481
-77576.810810,-77569.254497,-77569.254497
-77063.452116,-77056.812462,-77056.812462
-77608.777819,-77606.612229,-77606.612229
-77343.250008,-77341.480639,-77341.075877
-78047.903623,-78047.305946,-78046.968078
-78153.129716,-78149.229743,-78149.229743
-77726.625883,-77725.305112,-77724.936489
