null1,null2,bsA
-93056.556406,-93056.517776,-93056.494475
-93328.367118,-93328.350534,-93328.350534
-92813.119528,-92813.125679,-92813.318182
-93441.959854,-93441.966615,-93441.968401
-93948.710728,-93948.710728,-93948.710728
-93264.497690,-93264.386703,-93264.382163
-93181.963415,-93180.996409,-93182.158195
-93728.271156,-93728.271156,-93728.271156
-94256.271418,-94252.981439,-94252.981438
-93925.155846,-93925.155846,-93925.155846
-92353.207408,-92353.207408,-92353.207408
-93266.632201,-93266.632201,-93266.632203
-93100.590153,-93100.590155,-93119.169893
-93704.479036,-93704.298254,-93704.281917
-92949.943014,-92949.829404,-92949.829404
-93481.989256,-93481.989256,-93481.989256
-94430.557394,-94430.557394,-94430.574144
-93530.806597,-93530.887161,-93550.234925
-94354.916818,-94354.916820,-94354.916820
-93540.682960,-93540.669415,-93540.669006
-93785.098654,-93784.668874,-93784.668874
-94090.555309,-94090.555310,-94090.555310
-93947.180883,-93947.180883,-93947.180883
-92948.928763,-92948.928773,-92948.928773
-92458.351304,-92458.351304,-92458.351304
-93329.715934,-93329.715935,-93329.715934
-93755.628825,-93755.628826,-93755.628826
-94866.135263,-94866.128239,-94861.643465
-92852.392030,-92852.160814,-92852.150797
-94391.897272,-94391.897273,-94391.897270
-93089.027145,-93089.034885,-93089.030133
-94079.871625,-94079.843011,-94079.842951
-93042.476124,-93040.473397,-93042.474016
-93393.376008,-93393.376010,-93393.376009
-93718.697092,-93718.697092,-93718.697093
-93403.284847,-93403.284846,-93403.284848
-92975.216842,-92975.187356,-92975.169402
-93686.979601,-93686.979603,-93705.173085
-94065.269697,-94065.190807,-94064.964690
-92913.504937,-92913.504938,-92924.189655
-93867.701204,-93867.687400,-93867.686330
-93505.225225,-93505.225226,-93505.225226
-94153.794373,-94153.794374,-94153.794373
-94043.405979,-94043.405979,-94043.405979
-94484.425144,-94484.425145,-94484.425145
-93537.328153,-93537.328153,-93554.243518
-93088.822266,-93088.822266,-93088.822266
-93610.335281,-93609.180585,-93609.180586
-93287.018947,-93287.018948,-93287.018948
-93119.735339,-93119.735340,-93138.782852
-93407.147672,-93406.903188,-93406.903188
-93394.868285,-93394.868285,-93394.868285
-94280.380643,-94290.328081,-94290.330737
-94154.341041,-94154.341041,-94154.341041
-92309.600599,-92309.405109,-92309.405109
-93245.224638,-93245.224638,-93259.652754
-93035.342947,-93034.881328,-93034.881328
-92789.371022,-92789.387806,-92789.369303
-93038.981810,-93037.006380,-93038.897684
-91886.283046,-91884.229998,-91884.229767
