null,c0
-7725.226930,-7725.226930
-7927.391031,-7926.946170
-7864.948997,-7864.948997
-7549.420268,-7549.420268
-7632.408268,-7631.711091
-7733.040767,-7733.040767
-7886.263669,-7886.263669
-7669.934333,-7669.804572
-7735.449043,-7735.449043
-7586.173049,-7586.173049
-7805.084729,-7805.084729
-7423.556943,-7423.556943
-7561.892951,-7561.892951
-7780.684666,-7780.684666
-7809.798246,-7809.798246
-7846.545477,-7846.520056
-7901.567436,-7901.464254
-7787.729475,-7787.729475
-7652.813457,-7652.813457
-7861.487708,-7861.487708
-7611.260984,-7611.260984
-7730.421412,-7730.421412
-7817.079081,-7817.079081
-8077.685474,-8075.081333
-7830.682279,-7829.832116
-7845.065349,-7845.065349
-7875.959341,-7875.959341
-7812.094635,-7812.094635
-7894.615267,-7894.615267
-7711.468164,-7711.468164
-7733.853294,-7733.853294
-7996.228336,-7996.228336
-7852.563636,-7852.247516
-7895.016947,-7895.016947
-7984.318920,-7984.318903
-7807.299176,-7806.528844
-8009.280659,-8009.280659
-7688.447435,-7688.447435
-7494.860804,-7494.860804
-7864.872207,-7864.872207
-7640.558364,-7640.558364
-7699.480094,-7699.480094
-7644.437880,-7644.437880
-7786.384061,-7786.384061
-7710.379331,-7710.379331
-7908.105254,-7908.105254
-7922.445414,-7922.445414
-7965.020208,-7965.020208
-7834.681831,-7834.681831
-7813.482527,-7813.482527
-7796.467633,-7796.467633
-7980.753958,-7980.753958
-7847.183783,-7847.183783
-7666.617026,-7666.617026
-7938.228648,-7938.202650
-7779.746982,-7779.746982
-7665.303972,-7665.303972
-7741.020875,-7741.020875
-8012.434590,-8012.434590
-7791.309650,-7791.309650
-7786.617570,-7786.617570
-7742.696573,-7742.696573
-7614.419623,-7614.419623
-7663.122270,-7662.113831
-7737.966044,-7737.864429
-7889.342464,-7889.342464
-7935.125499,-7935.125499
-7894.574447,-7894.574447
-7825.527463,-7825.525915
-7794.062923,-7792.924667
-7791.982905,-7791.982905
-7816.608522,-7814.997038
-7804.193105,-7804.193105
-7605.846443,-7605.437715
-7597.261418,-7597.261418
-7540.351345,-7539.656796
-7969.783713,-7969.543091
-7731.471446,-7731.471446
-7701.841598,-7701.841598
-7784.025363,-7784.025363
-7817.729861,-7817.636733
-7816.708655,-7816.708655
-7730.321578,-7730.321578
-7640.723583,-7640.723583
-7593.317105,-7593.317105
-7819.795839,-7819.795839
-7926.929029,-7926.915530
-7860.666299,-7860.666299
-7784.292305,-7784.292305
-7771.334919,-7771.334919
