p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.188870,0.567020,0.060990,0.183110,0.289090,1.000000,0.289090,1.000000,0.289090,1.000000,1.000000,1.000000
0.265520,0.552010,0.059260,0.123200,0.377380,1.000000,0.377380,1.000000,0.377380,1.000000,1.057450,1.057450
0.196320,0.746970,0.011800,0.044910,0.243200,1.000000,0.243200,1.000000,0.243200,1.000000,1.000000,1.000000
0.265050,0.734950,0.000000,0.000000,0.319730,1.000000,0.319730,1.000000,0.319730,1.000000,1.000070,1.000070
0.161480,0.629140,0.042760,0.166610,0.263130,1.000000,0.263130,1.000000,0.263130,1.000000,1.000000,1.000000
0.277770,0.717360,0.001360,0.003510,0.309320,1.000000,0.309320,1.000000,0.309320,1.000000,1.000000,1.000000
0.164570,0.498590,0.083590,0.253240,0.314240,1.000000,0.314240,1.000000,0.314240,1.000000,1.029370,1.029370
0.238940,0.761060,0.000000,0.000000,0.307260,1.000000,0.307260,1.000000,0.307260,1.000000,1.000000,1.000000
0.262530,0.737470,0.000000,0.000000,0.319770,1.000000,0.319770,1.000000,0.319770,1.000000,1.000000,1.000000
0.258950,0.741050,0.000000,0.000000,0.296860,1.000000,0.296860,1.000000,0.296860,1.000000,1.000000,1.000000
0.228070,0.636950,0.035590,0.099390,0.296230,1.000000,0.296230,1.000000,0.296230,1.000000,1.626010,1.626010
0.301970,0.682660,0.004710,0.010660,0.333340,1.000000,0.333340,1.000000,0.333340,1.000000,5.436840,5.436840
0.263630,0.656360,0.022930,0.057080,0.290470,1.000000,0.290470,1.000000,0.290470,1.000000,1.658910,1.658910
0.202890,0.644710,0.036480,0.115920,0.264410,1.000000,0.264410,1.000000,0.264410,1.000000,1.000000,1.000000
0.239650,0.760350,0.000000,0.000000,0.281190,1.000000,0.281190,1.000000,0.281190,1.000000,1.000000,1.000000
0.215830,0.784170,0.000000,0.000000,0.254870,1.000000,0.254870,1.000000,0.254870,1.000000,1.000000,1.000000
0.262770,0.737230,0.000000,0.000000,0.340540,1.000000,0.340540,1.000000,0.340540,1.000000,1.000000,1.000000
0.334940,0.644040,0.007190,0.013820,0.384640,1.000000,0.384640,1.000000,0.384640,1.000000,2.422840,2.422840
0.226010,0.646560,0.033010,0.094420,0.326530,1.000000,0.326530,1.000000,0.326530,1.000000,1.000000,1.000000
0.291780,0.694450,0.004070,0.009700,0.365210,1.000000,0.365210,1.000000,0.365210,1.000000,1.976250,1.976250
0.251470,0.748530,0.000000,0.000000,0.310200,1.000000,0.310200,1.000000,0.310200,1.000000,1.000000,1.000000
0.217030,0.673090,0.026790,0.083080,0.300600,1.000000,0.300600,1.000000,0.300600,1.000000,1.000000,1.000000
0.265360,0.734640,0.000000,0.000000,0.339860,1.000000,0.339860,1.000000,0.339860,1.000000,1.000000,1.000000
0.195150,0.684340,0.026740,0.093770,0.268000,1.000000,0.268000,1.000000,0.268000,1.000000,1.119540,1.119540
0.259490,0.740510,0.000000,0.000000,0.278000,1.000000,0.278000,1.000000,0.278000,1.000000,10.310090,10.310090
0.291570,0.708430,0.000000,0.000000,0.336790,1.000000,0.336790,1.000000,0.336790,1.000000,1.000000,1.000000
0.265760,0.734240,0.000000,0.000000,0.299090,1.000000,0.299090,1.000000,0.299090,1.000000,1.000000,1.000000
0.179260,0.556080,0.064520,0.200140,0.316380,1.000000,0.316380,1.000000,0.316380,1.000000,1.000000,1.000000
0.207380,0.792620,0.000000,0.000000,0.247400,1.000000,0.247400,1.000000,0.247400,1.000000,1.000000,1.000000
0.254030,0.679200,0.018170,0.048590,0.321020,1.000000,0.321020,1.000000,0.321020,1.000000,1.087040,1.087040
0.262260,0.737740,0.000000,0.000000,0.321950,1.000000,0.321950,1.000000,0.321950,1.000000,1.000000,1.000000
0.242370,0.757630,0.000000,0.000000,0.241020,1.000000,0.241020,1.000000,0.241020,1.000000,1.000000,1.000000
0.261150,0.738850,0.000000,0.000000,0.318810,1.000000,0.318810,1.000000,0.318810,1.000000,1.000000,1.000000
0.161470,0.598240,0.051070,0.189220,0.259910,1.000000,0.259910,1.000000,0.259910,1.000000,1.000000,1.000000
0.157060,0.571790,0.058430,0.212720,0.252980,1.000000,0.252980,1.000000,0.252980,1.000000,1.000000,1.000000
