null1,null2,bsA
-95836.621860,-95791.470097,-95791.452555
-96636.976540,-96607.908716,-96607.908716
-95441.569304,-95412.059304,-95412.059305
-95556.578904,-95524.921043,-95524.921043
-95710.056166,-95685.298627,-95684.546512
-95966.472143,-95941.116187,-95941.116187
-95726.096172,-95695.598054,-95695.598054
-94452.338448,-94430.968686,-94430.961643
-96752.556595,-96722.225982,-96722.028848
-95626.321846,-95602.578975,-95602.510079
-95602.846615,-95568.106390,-95568.079369
-96548.834653,-96526.183628,-96525.551070
-95670.737472,-95634.522927,-95634.389967
-95344.304813,-95314.387669,-95314.387670
-95912.776850,-95897.372080,-95897.059038
-95459.067715,-95439.214256,-95438.802092
-96479.526417,-96448.276792,-96446.620793
-96284.472362,-96241.858428,-96240.928400
-95717.731513,-95700.975176,-95700.975168
-96625.879840,-96594.277946,-96594.244823
-95820.942572,-95770.561275,-95770.072608
-95808.494928,-95784.259281,-95784.108994
-94433.745893,-94407.720659,-94407.720659
-96507.017937,-96469.990483,-96468.286349
-94773.712651,-94746.178004,-94746.055771
-95501.278959,-95477.006803,-95475.818674
-95090.663260,-95065.797908,-95064.997161
-96236.443961,-96200.374933,-96200.374568
-96358.400167,-96334.706011,-96332.478892
-96720.416758,-96682.955097,-96682.820785
-95594.638478,-95569.302103,-95569.302103
-95169.483712,-95140.424199,-95140.424199
-96549.151868,-96512.105779,-96511.958971
-96639.254282,-96599.022665,-96598.898098
-96657.499142,-96627.468264,-96627.263603
-96394.927429,-96370.751226,-96370.751226
-96017.310820,-95989.369316,-95989.369316
-95371.526414,-95358.106367,-95356.322322
-96370.711232,-96332.662374,-96332.662374
-96570.981305,-96542.789881,-96542.789881
-96940.837702,-96927.724063,-96927.705144
-95829.249253,-95799.409848,-95795.900499
-95971.433553,-95951.339442,-95946.807208
-95477.306669,-95448.568389,-95446.288491
-96395.756061,-96372.216720,-96372.216720
-96192.003266,-96163.928393,-96163.928393
-94984.553636,-94963.570731,-94963.570731
-96520.315152,-96496.553483,-96496.470911
-96429.800497,-96410.288786,-96410.288786
-96474.991887,-96448.781812,-96448.471746
-95909.884555,-95881.226741,-95880.015058
-95378.170640,-95342.421847,-95342.421847
-96249.641903,-96239.527973,-96239.295050
-94786.465375,-94752.096625,-94751.949334
-95604.421646,-95578.177074,-95578.020938
-96223.232523,-96191.902425,-96191.902425
-96219.972969,-96193.434069,-96190.831048
-94986.411538,-94962.043002,-94961.779837
-96184.508391,-96151.137417,-96150.810442
-95641.623534,-95625.351307,-95624.768050
-96856.053883,-96812.288819,-96812.288819
-96834.652060,-96809.752753,-96809.579705
-95124.061657,-95104.333922,-95103.662278
-96551.499739,-96507.442442,-96507.442442
-95784.048047,-95756.023523,-95755.732248
-94909.314097,-94885.543930,-94885.543930
-95483.550306,-95458.434491,-95457.446164
-95353.313101,-95338.866279,-95338.866279
-95623.290309,-95579.116532,-95578.849370
-94987.519094,-94950.093541,-94949.981495
-97805.271108,-97768.161624,-97768.148388
-96307.883962,-96270.609868,-96270.609868
-94881.295499,-94867.819192,-94867.819192
-96345.973034,-96323.434570,-96323.409413
-96363.727562,-96334.729333,-96334.469569
-96289.365918,-96250.806950,-96250.806950
-96062.289208,-96039.988954,-96039.988954
-96172.095640,-96145.586413,-96145.586413
-95781.704506,-95750.460098,-95750.313665
-95388.896910,-95348.666412,-95348.666412
-95873.686464,-95842.548232,-95842.455328
-95157.911141,-95135.645695,-95135.645695
-95833.897061,-95798.958562,-95798.778526
-96017.486872,-95989.271579,-95988.952590
-95645.397467,-95616.978151,-95616.978151
-95842.223427,-95814.423570,-95814.366760
-96428.721513,-96409.872639,-96409.224483
-96325.374292,-96282.955012,-96282.955012
-95246.355950,-95215.824660,-95215.866071
-95962.673336,-95934.979776,-95934.979775
-95775.439840,-95753.273905,-95752.808629
-96064.799971,-96039.574039,-96039.574039
-95456.297830,-95422.222350,-95422.222351
-94722.479585,-94697.812369,-94697.399011
-95637.279000,-95596.347423,-95596.347423
-96205.241623,-96178.650711,-96178.370999
-96419.650761,-96394.806715,-96394.806716
-95749.370483,-95707.250414,-95707.227930
-96773.793933,-96743.344996,-96743.344996
-94861.281733,-94846.610521,-94846.469093
-96226.888550,-96197.677246,-96197.230718
-95628.864137,-95609.056633,-95608.617310
-96297.459966,-96258.568968,-96258.568968
-95729.203553,-95718.840899,-95718.873776
-95355.189551,-95329.282840,-95329.282840
-94834.432367,-94805.578414,-94805.578410
-94894.370024,-94868.464481,-94868.325643
-95746.322097,-95714.331346,-95714.331345
-95326.369324,-95289.087280,-95288.399146
-96736.302024,-96709.661115,-96709.661115
-95936.119531,-95906.679268,-95906.679268
-95498.334658,-95471.039445,-95471.031902
-96041.246341,-96018.016574,-96018.016574
-95921.738486,-95881.108988,-95880.183261
-94737.895807,-94718.230125,-94718.230125
-95503.900811,-95455.940438,-95455.940438
-96778.426343,-96742.020147,-96742.020147
-95104.230201,-95089.817742,-95089.817742
-96151.725689,-96117.867858,-96117.708498
-95571.329947,-95535.296994,-95534.550718
-95510.679174,-95480.541316,-95480.508881
-96098.049609,-96077.416789,-96077.375705
-95980.382644,-95968.085059,-95968.085058
-95636.687744,-95595.329960,-95594.802574
-95703.457172,-95662.573531,-95661.853346
-95290.429037,-95261.888128,-95260.946291
-96566.515008,-96534.035208,-96534.035208
-96449.834201,-96432.672500,-96432.672500
-96774.067955,-96745.618622,-96745.618622
-95334.469432,-95309.210071,-95309.210071
-96025.006619,-96005.502248,-96005.607340
-95826.818331,-95796.806659,-95796.797351
-95338.420292,-95308.904349,-95308.718191
-96266.679201,-96234.712682,-96234.712682
-95694.497096,-95662.900376,-95662.726550
-96178.481902,-96153.887584,-96153.878797
-95579.375016,-95538.951830,-95538.945323
-96165.036129,-96126.735739,-96126.660179
-96835.165411,-96797.567212,-96796.873641
-95725.245089,-95703.773347,-95702.742285
-95579.958808,-95546.444352,-95546.390821
-96049.450595,-96018.809184,-96018.777615
-95088.531849,-95066.586012,-95063.770042
-95554.522059,-95530.343886,-95530.343886
-96504.450302,-96482.744887,-96482.523439
-95564.042373,-95533.799752,-95533.799752
-95394.361361,-95367.755571,-95367.755571
-96429.908158,-96406.302938,-96406.302938
-96690.603650,-96669.332637,-96669.332637
-95319.682186,-95292.639224,-95292.551232
-95400.046046,-95371.969220,-95370.971347
-95680.549814,-95655.762473,-95655.718022
-95279.000547,-95259.423582,-95259.423582
-95864.733143,-95843.345850,-95843.191594
-95988.845815,-95950.934944,-95950.934944
-95492.814074,-95455.547246,-95455.538531
-96476.510170,-96443.463443,-96443.463444
-97725.351065,-97693.303937,-97693.303937
-96424.610358,-96394.917205,-96394.902947
-95187.813639,-95159.728736,-95159.728736
-96035.679862,-95998.950957,-95998.950989
-96740.716806,-96713.525733,-96713.525658
-95544.613437,-95501.507766,-95501.186658
-95701.138048,-95673.771277,-95673.771277
-96182.886097,-96153.244671,-96150.864964
-95382.844727,-95358.046022,-95357.374094
-96709.795993,-96683.709974,-96683.689882
-96533.473553,-96490.494193,-96489.980350
-94717.897259,-94685.273876,-94685.273876
-95062.250572,-95031.217568,-95030.198162
-95346.159091,-95327.688938,-95327.688938
-95880.383127,-95855.724190,-95855.724191
-95785.308457,-95754.223187,-95754.170170
-96773.513267,-96726.317766,-96726.302082
-96575.192800,-96540.227094,-96539.146612
-96048.759938,-96012.286370,-96012.286370
-95951.571200,-95929.023482,-95927.585358
-95663.248593,-95649.642836,-95649.642836
-97002.726250,-96974.103057,-96974.103057
-95621.279450,-95581.341895,-95581.337848
-96342.459374,-96305.674524,-96305.466905
-96238.912124,-96200.626500,-96199.947597
-95395.449803,-95369.860945,-95369.860945
-95248.218840,-95233.076889,-95233.076889
-95747.083765,-95728.465057,-95726.063895
-96397.390042,-96364.433331,-96364.433331
-95863.203900,-95820.841963,-95820.794057
-96017.982918,-95976.991841,-95975.163150
-97287.119296,-97257.233158,-97257.212154
-95655.780220,-95628.275787,-95628.275787
-95209.442787,-95176.463215,-95175.396146
-96090.618490,-96064.580059,-96064.567171
-95543.650961,-95510.599361,-95509.955631
-95411.733713,-95373.085281,-95373.085281
-96493.785816,-96460.797506,-96460.326970
-95428.583679,-95401.253115,-95401.253114
-96319.292244,-96287.230361,-96285.873609
-94887.618510,-94860.312755,-94860.233328
-96016.239666,-95998.640245,-95998.640245
-96211.481940,-96174.945889,-96174.702278
-96256.567383,-96222.848231,-96221.878795
-95439.148921,-95401.431490,-95401.255029
-95769.087211,-95743.903719,-95743.903719
-97102.469768,-97082.449515,-97082.345202
-95740.544633,-95698.603194,-95698.590371
-95400.689730,-95375.410526,-95374.407322
-95429.485182,-95398.082622,-95397.183966
-96060.142131,-96027.508385,-96027.508385
-96195.513460,-96158.492748,-96158.001827
-96109.404467,-96070.687655,-96070.687655
-95602.765648,-95568.447838,-95568.449730
-95628.096341,-95603.694413,-95603.602992
-95393.803486,-95378.244872,-95378.048761
-96064.327354,-96033.855992,-96033.923699
-95557.553523,-95517.124440,-95517.124440
-95935.918995,-95905.171678,-95905.171678
-96029.915124,-96011.298800,-96010.651028
-96167.999177,-96135.136754,-96134.417271
-96108.188914,-96095.138479,-96093.960665
-95830.369291,-95800.579151,-95800.579151
-95285.804685,-95260.366542,-95260.359966
-95757.682614,-95718.622657,-95716.462520
-96131.734320,-96101.049493,-96101.049493
-95354.736632,-95330.308883,-95330.308883
-95937.337598,-95901.664580,-95901.405224
-95178.933463,-95145.420633,-95145.420634
-95853.795519,-95826.712835,-95826.712835
-95109.612510,-95089.444531,-95089.411266
-95897.218012,-95868.866645,-95868.866645
-96341.372122,-96316.273713,-96314.826350
-95953.633127,-95925.696133,-95925.696143
-96656.646275,-96628.692381,-96628.664688
-95463.249701,-95419.763157,-95418.242427
-96528.357642,-96509.740402,-96509.738172
-96251.856882,-96229.847564,-96229.847564
-95727.114753,-95690.407540,-95690.271955
-96313.292323,-96274.286503,-96273.375285
-96675.016292,-96649.689993,-96649.676436
-96226.995621,-96191.117020,-96190.320543
-94760.731407,-94719.098872,-94718.339469
-94780.017815,-94748.746287,-94748.746287
-95433.112718,-95396.337502,-95396.258924
-95586.682789,-95552.101054,-95551.729338
-96449.862517,-96404.220264,-96404.220264
-96365.486042,-96346.860150,-96346.030588
-94990.679765,-94959.389950,-94959.253341
-95528.226292,-95513.268062,-95510.187597
-96895.665178,-96863.619090,-96863.553897
-96690.199517,-96677.351562,-96677.351562
-95520.543093,-95488.180889,-95488.136854
-95866.703961,-95833.686373,-95833.686373
-95570.929537,-95548.374212,-95547.784828
-96390.167387,-96358.921524,-96358.921524
-96476.785560,-96453.179406,-96453.179406
-95507.309740,-95474.408429,-95472.920201
-95852.456766,-95831.715233,-95831.459061
-95568.646120,-95535.778168,-95535.775324
-95939.840317,-95902.283594,-95902.283594
-96294.215366,-96261.234058,-96261.220087
-95786.607241,-95746.825375,-95745.418786
-96385.979446,-96363.748997,-96363.036593
-95733.930398,-95711.990117,-95711.990116
-95366.319573,-95338.946317,-95338.946278
-96509.784309,-96477.161066,-96477.159093
-95966.299572,-95922.427833,-95922.427833
-96301.802609,-96284.957798,-96284.957798
-95819.141505,-95790.345251,-95790.304656
-95408.025384,-95352.866026,-95352.800302
-94927.331056,-94905.523376,-94905.521753
-96603.637314,-96579.043552,-96578.459573
-96615.422835,-96596.408034,-96596.408034
-96770.240581,-96743.030936,-96743.030936
-95907.818576,-95880.362081,-95880.362081
-97165.508924,-97129.462168,-97129.417813
-97166.063204,-97134.022613,-97132.968833
-96684.032488,-96666.653625,-96666.653625
-95309.532349,-95269.642893,-95269.642893
-96142.624878,-96109.300672,-96108.550895
-95659.337074,-95627.458180,-95627.458181
-96220.971541,-96194.092024,-96194.081347
-95862.297950,-95836.052342,-95835.670968
-96611.597771,-96582.003171,-96581.704627
-95457.565796,-95423.676039,-95422.659238
-95793.240771,-95770.103394,-95770.083534
-95651.076481,-95629.741407,-95629.741407
-96294.147110,-96266.140791,-96266.140791
-95269.279528,-95225.875159,-95225.875159
-95631.300597,-95600.651318,-95600.251585
-95443.214578,-95408.775664,-95408.281494
-95159.976710,-95117.931344,-95117.790471
-96670.714955,-96646.940566,-96646.940566
-96123.832383,-96101.196752,-96101.196752
-95034.520244,-95016.526274,-95016.504640
-95869.674832,-95849.260434,-95849.050673
-96177.544708,-96135.806402,-96135.806402
-95600.032542,-95579.303028,-95579.197746
-96180.888181,-96151.289351,-96150.879381
-95765.202015,-95728.196322,-95728.123152
-96154.166642,-96135.573431,-96135.519804
-95838.429982,-95824.336381,-95824.336381
-95638.652437,-95618.718239,-95617.976471
-95912.405664,-95875.757152,-95874.773654
-96374.698668,-96341.113321,-96341.077940
-95586.592536,-95565.085228,-95564.375202
-95753.898855,-95716.792715,-95716.792715
-96883.976107,-96858.025615,-96858.025615
-96780.919409,-96757.556904,-96757.447440
-97599.199590,-97564.687101,-97564.616002
-95519.229061,-95478.540891,-95476.334714
-95966.802134,-95939.930942,-95939.930942
-94994.351547,-94952.192491,-94950.440561
-96456.759147,-96426.443843,-96426.253484
-96800.025595,-96768.590320,-96768.590185
-95480.369502,-95447.935215,-95447.935215
-95767.641420,-95746.602828,-95746.269722
-96520.852662,-96489.672691,-96489.672688
-95486.991935,-95458.765501,-95458.765501
-97141.364510,-97109.008721,-97107.359354
-96389.507639,-96363.375185,-96363.375185
-96214.850093,-96193.254714,-96192.158961
-96205.994286,-96168.764875,-96168.764875
-95379.402337,-95352.547275,-95352.547275
-95445.235501,-95418.449428,-95418.449428
-95923.112372,-95888.765528,-95888.629727
-95813.653006,-95786.524261,-95786.415401
-97028.497846,-96987.693575,-96987.693575
-96871.290098,-96838.855213,-96838.847367
-94739.316021,-94725.814526,-94725.814526
-95948.376412,-95911.792631,-95911.772315
-96282.049658,-96267.190912,-96266.948831
-96694.745888,-96676.258296,-96676.258296
-95993.836955,-95964.780686,-95964.771756
-95102.654269,-95069.926228,-95068.685002
-96073.137774,-96042.291797,-96042.280359
-95834.904735,-95803.013669,-95803.013668
-95413.519954,-95388.585430,-95388.585430
-96831.224633,-96800.189775,-96800.046259
-95221.673325,-95195.157348,-95195.157345
-95397.775031,-95372.332156,-95372.332156
-96402.705661,-96379.868164,-96379.868164
-95224.808148,-95209.423509,-95209.423509
-95230.700420,-95200.826877,-95200.826877
-96140.906475,-96111.898061,-96111.424088
-95370.568722,-95330.291083,-95329.889572
-95827.500527,-95800.313470,-95799.503946
-97206.237528,-97184.922494,-97183.931096
-95800.629879,-95776.247533,-95776.247529
-95656.550077,-95632.409412,-95631.939876
-95278.457806,-95252.338157,-95252.336132
-96904.791738,-96876.787542,-96876.802219
-96891.105212,-96861.845570,-96861.374359
-96095.046055,-96058.474500,-96058.474500
-95813.865157,-95796.363440,-95796.292278
-95698.947374,-95670.265424,-95669.249097
-95330.229120,-95287.808083,-95287.808092
-96146.500410,-96119.239075,-96119.239075
-95717.508816,-95684.393867,-95683.997685
-95781.653718,-95750.112214,-95750.112214
-96759.538563,-96738.997328,-96738.997330
-96123.344686,-96082.318825,-96081.385954
-96258.151659,-96231.518544,-96231.518544
-95056.063290,-95024.947858,-95024.947860
-95521.299672,-95499.667021,-95499.524349
-96650.580846,-96641.481294,-96641.481293
-95930.986994,-95870.519235,-95870.519235
-94925.705512,-94903.438002,-94903.438002
-96152.075887,-96121.450139,-96121.399368
-96327.716273,-96303.408394,-96303.408035
-94745.810507,-94708.540562,-94708.540562
-96866.416066,-96824.682272,-96824.644790
-96238.342421,-96199.598843,-96199.315566
-95317.776398,-95273.584073,-95272.901568
-95760.691879,-95723.788779,-95723.585218
-95598.455321,-95570.758146,-95570.758146
-94333.486465,-94308.910285,-94308.910285
-95962.668861,-95935.727211,-95935.664865
-96139.787973,-96114.969633,-96114.969633
-96217.425517,-96190.194908,-96189.962402
-94541.916357,-94508.534021,-94508.534016
-95589.099339,-95556.473380,-95556.461963
-95404.235709,-95378.400347,-95377.667033
-95904.590194,-95856.684661,-95856.574977
-95792.430105,-95758.060058,-95758.150850
-95330.784189,-95299.652780,-95299.595418
-96517.484825,-96484.127383,-96483.546441
-96231.576436,-96207.975449,-96207.975448
-96082.370302,-96057.948188,-96057.597383
-95184.705241,-95153.044500,-95152.539198
-95862.802275,-95832.041029,-95831.840633
-95397.926819,-95361.266350,-95359.781394
-95631.492934,-95604.151937,-95604.146743
-95229.438113,-95184.400858,-95184.400858
-95846.696382,-95805.114906,-95804.898002
-96412.267461,-96374.338478,-96374.338478
-96151.454167,-96128.238057,-96127.642781
-95852.255952,-95800.739244,-95800.479919
-96047.067274,-96006.629159,-96006.629159
-95085.599554,-95050.512120,-95050.512120
-96072.499413,-96038.864787,-96038.815684
-96221.508569,-96193.938035,-96193.938035
-96001.116816,-95975.893528,-95975.893528
-96261.336346,-96219.862857,-96219.051898
-97820.926401,-97792.593571,-97792.405244
-96696.435792,-96660.208822,-96660.208822
-96447.922205,-96415.596007,-96415.583202
-95942.935653,-95908.936373,-95908.968872
-96006.836500,-95978.434375,-95978.434375
-95592.074850,-95568.709589,-95568.013029
-96389.800955,-96353.508458,-96353.457767
-95724.005908,-95681.539955,-95681.539955
-95798.131651,-95762.890381,-95762.890200
-95890.908987,-95866.790264,-95866.833984
-95923.317002,-95901.053088,-95900.922637
-95988.612707,-95964.153825,-95964.153825
-96412.082199,-96375.572701,-96375.560581
-96245.698026,-96224.079616,-96223.067848
-96760.874067,-96731.131620,-96731.131620
-96564.748183,-96534.138752,-96533.528982
-96600.368594,-96572.817709,-96572.817709
-95997.961537,-95948.699456,-95948.699456
-97234.486497,-97192.622036,-97191.821972
-95951.569422,-95926.686104,-95926.194384
-95156.028211,-95131.667156,-95131.658877
-95392.728742,-95363.760384,-95363.760384
-95740.431730,-95722.645338,-95722.645338
-95347.477637,-95310.591421,-95310.591421
-96640.885486,-96606.631585,-96605.671037
-96296.361617,-96260.226053,-96260.225944
-95542.911215,-95516.042981,-95516.042981
-96855.464365,-96828.798208,-96828.798208
-95486.011170,-95461.794204,-95461.089822
-96094.215470,-96073.942025,-96073.942025
-93831.356121,-93792.503573,-93792.503573
-96236.249799,-96218.602127,-96218.609964
-95912.200418,-95885.794997,-95885.794997
-96570.407086,-96541.195488,-96540.849307
-95824.751716,-95790.928059,-95790.926498
-95807.006434,-95776.732535,-95776.732535
-95924.761196,-95892.805728,-95891.548346
-95201.724320,-95178.364940,-95177.538643
-96043.021829,-95993.143784,-95993.143799
-95544.679991,-95520.943210,-95521.085212
-95190.123981,-95161.678277,-95159.868282
-96524.839461,-96476.935185,-96476.930673
-95521.505533,-95491.137331,-95487.372236
-96693.802282,-96669.332982,-96669.332982
-94218.382200,-94184.215795,-94184.215795
-95991.858781,-95958.655693,-95958.609542
-95804.702797,-95779.970669,-95779.970669
-95631.550069,-95596.385996,-95596.385996
-95815.722708,-95766.185127,-95766.185127
-95472.496199,-95428.514453,-95428.389651
-95541.241580,-95514.136608,-95514.136608
-95368.017375,-95349.779765,-95349.779950
-96324.554783,-96290.178873,-96290.178873
-95688.799220,-95660.632586,-95660.632586
-95972.216061,-95959.555288,-95959.534809
-95950.857741,-95907.400947,-95907.400947
-96731.068396,-96699.405915,-96699.405915
-96227.321023,-96191.103473,-96191.103471
-95776.070701,-95742.955758,-95741.124583
-95895.397699,-95866.577124,-95866.577124
-95471.003124,-95438.000158,-95437.844119
-96807.252537,-96788.552392,-96788.552392
-97053.694676,-97023.262944,-97022.791168
-94897.803447,-94853.978653,-94853.978618
-95899.209682,-95872.665806,-95872.653848
-95857.972602,-95828.412257,-95828.069217
-94812.594222,-94779.086717,-94779.086717
-94969.601983,-94927.253652,-94925.666810
-95648.477955,-95625.213615,-95625.116189
-95093.252617,-95052.468546,-95052.468546
-95976.536376,-95949.710951,-95949.710951
-95927.389865,-95908.361789,-95908.361789
-95451.478247,-95418.191545,-95418.047963
-94868.821640,-94841.747706,-94841.747007
-96639.432700,-96617.670586,-96617.660859
-95469.072302,-95438.784977,-95438.756727
-95416.935871,-95393.031251,-95393.018851
-96827.245387,-96806.270948,-96806.440568
-95402.106982,-95377.173176,-95377.173176
-94737.951491,-94698.403741,-94698.403741
-96092.781232,-96075.694447,-96075.568474
-97075.272611,-97045.382189,-97045.382189
-95953.026635,-95940.941390,-95940.482986
-95324.574557,-95303.542300,-95303.134664
-96291.156303,-96268.175331,-96268.175333
-95997.046099,-95965.138675,-95965.138675
-96561.610759,-96539.201907,-96538.975310
-95448.295127,-95435.153818,-95434.666515
-95592.269566,-95552.899186,-95553.090366
-94632.006325,-94596.358805,-94596.358805
-96876.093270,-96853.624834,-96853.560242
-96809.789753,-96781.693485,-96781.693485
-95554.585712,-95522.723370,-95522.809717
-95334.842216,-95310.455850,-95310.454697
-95030.859648,-95009.032609,-95009.032609
-95273.082938,-95245.486747,-95244.770755
-95725.995730,-95692.806976,-95691.559510
-96017.504012,-95999.348871,-95999.339600
-96734.155540,-96686.578875,-96686.341106
