null,c0
-83751.498793,-83751.498775
-83840.929127,-83841.411279
-83519.292772,-83519.292992
-83563.819352,-83563.265591
-84596.982395,-84596.971445
-84049.410123,-84049.410121
-83493.947955,-83493.795947
-84092.656859,-84092.653002
-84668.494014,-84668.494015
-84038.819340,-84038.821163
-83094.064201,-83094.064201
-83818.146784,-83818.146781
-83790.782870,-83790.447956
-84131.781877,-84131.790943
-83447.754162,-83447.297241
-84311.500941,-84311.500941
-84898.244143,-84898.480197
-83852.924920,-83852.925008
-84571.386805,-84571.383034
-84009.415745,-84009.415745
-83989.158254,-83989.158254
-84256.426159,-84256.429852
-84442.680651,-84442.680647
-83422.831620,-83422.815367
-82811.290796,-82811.290797
-84034.826037,-84034.815854
-84051.982440,-84051.981173
-84838.431261,-84838.428510
-83534.824511,-83534.824951
-84765.921858,-84765.920642
-83459.009620,-83459.009623
-84337.169503,-84337.169504
-83331.415717,-83331.415764
-83902.185092,-83901.553048
-84281.761870,-84281.761835
-83854.926512,-83854.698480
-83243.643991,-83243.643991
-83885.594987,-83885.594286
-84604.470610,-84604.468921
-83411.865300,-83411.758513
-84541.488368,-84541.488962
-84200.564467,-84200.564456
-84609.820239,-84609.647906
-84396.235415,-84396.235374
-84859.585089,-84859.585087
-83935.835237,-83935.837647
-83621.654707,-83621.654702
-84067.587848,-84067.588015
-83890.995491,-83890.995375
-83207.651731,-83207.650499
-84021.613763,-84021.613751
-83855.949146,-83855.948076
-84389.534797,-84389.534932
-84225.549770,-84225.549757
-82961.602991,-82961.602996
-83790.663761,-83790.499438
-83557.857929,-83557.481279
-83130.592313,-83130.592226
-83534.830729,-83534.830730
-82614.855481,-82614.855468
-84948.036702,-84948.039097
-84007.392977,-84007.393053
-84116.504902,-84116.170347
-83624.719934,-83624.720112
-84036.770930,-84036.770938
-83077.965613,-83077.965646
-83985.750834,-83985.750799
-84213.925049,-84213.925049
-83347.813537,-83347.803929
-83579.793172,-83579.787199
-83873.022634,-83873.022587
-84044.092908,-84044.092777
-83631.448067,-83631.299315
-83644.291357,-83644.291400
-83850.190869,-83850.190872
-84939.042455,-84939.042451
-84269.279659,-84269.252942
-83757.655700,-83757.655698
-83872.861338,-83872.861281
-84373.061866,-84373.045546
-83552.736165,-83552.736183
-84037.757004,-84037.756673
-83690.959949,-83690.959950
-82970.469401,-82970.252732
-84269.394486,-84269.394500
-83803.751230,-83803.751386
-83552.369373,-83552.368018
-83610.852628,-83610.722840
-84311.099797,-84311.097941
-84426.768493,-84426.768428
-84345.414376,-84345.414375
-84779.693740,-84779.693732
-83793.645414,-83793.637343
-84827.871253,-84827.869904
-82611.727687,-82611.727685
-83591.974729,-83591.974722
-83699.795308,-83699.785008
-82594.613367,-82594.536371
-84635.890337,-84635.890328
-84250.079712,-84250.481412
-83493.736939,-83493.736862
-83890.990635,-83890.990632
-84164.339044,-84164.339044
-84243.926878,-84243.926877
-83462.816935,-83462.515230
-83550.342030,-83550.341923
-84612.940506,-84612.940483
-83513.873005,-83513.873042
-83617.027671,-83617.027662
-84901.841499,-84901.841516
-84275.105122,-84275.105122
-85007.476897,-85007.476897
-84026.064374,-84025.701118
-83697.203923,-83696.974237
-83176.757893,-83176.757911
-83473.394037,-83473.389536
-84097.675294,-84097.675291
-83669.105713,-83669.062902
-84637.854074,-84637.853383
