p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.508000,0.490740,0.000640,0.000620,0.000450,1.000000,0.000450,1.000000,0.000450,1.000000,9.014410,9.014410
0.500000,0.497570,0.001220,0.001220,0.000250,1.000000,0.000250,1.000000,0.000250,1.000000,1.000000,1.000000
0.509780,0.490220,0.000000,0.000000,0.000360,1.000000,0.000360,1.000000,0.000360,1.000000,1.000000,1.000000
0.500540,0.498350,0.000560,0.000550,0.000010,1.000000,0.000010,1.000000,0.000010,1.000000,1.000000,1.000000
0.491790,0.506320,0.000930,0.000960,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,2.509080,2.509080
0.502240,0.487150,0.005390,0.005230,0.000050,1.000000,0.000050,1.000000,0.000050,1.000000,1.250480,1.250480
0.504920,0.487330,0.003950,0.003810,0.000560,1.000000,0.000560,1.000000,0.000560,1.000000,1.268830,1.268830
0.493630,0.503730,0.001300,0.001330,0.000060,1.000000,0.000060,1.000000,0.000060,1.000000,2.777710,2.777710
0.493030,0.502740,0.002090,0.002130,0.000280,1.000000,0.000280,1.000000,0.000280,1.000000,1.000000,1.000000
0.501240,0.498760,0.000000,0.000000,0.000240,1.000000,0.000240,1.000000,0.000240,1.000000,7.907110,7.907110
0.511410,0.487480,0.000570,0.000540,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,3.062020,3.062020
0.503450,0.492120,0.002240,0.002190,0.000110,1.000000,0.000110,1.000000,0.000110,1.000000,2.695520,2.695520
0.505040,0.494960,0.000000,0.000000,0.000100,1.000000,0.000100,1.000000,0.000100,1.000000,1.000000,1.000000
0.498130,0.500140,0.000860,0.000870,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,214.772850,214.772850
0.504770,0.495230,0.000000,0.000000,0.000320,1.000000,0.000320,1.000000,0.000320,1.000000,1.000000,1.000000
0.498760,0.500190,0.000530,0.000530,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.487950,0.511330,0.000350,0.000370,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,37.211840,37.211840
0.504620,0.493450,0.000980,0.000950,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.294530,1.294530
0.495320,0.504680,0.000000,0.000000,0.000100,1.000000,0.000100,1.000000,0.000100,1.000000,1.000000,1.000000
0.500350,0.498130,0.000760,0.000760,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.845900,1.845900
0.504740,0.494160,0.000560,0.000550,0.000360,1.000000,0.000360,1.000000,0.000360,1.000000,1.000000,1.000000
0.496100,0.502620,0.000640,0.000640,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,164.940710,164.940710
0.495830,0.502910,0.000630,0.000640,0.000120,1.000000,0.000120,1.000000,0.000120,1.000000,11.282960,11.282960
0.509900,0.485900,0.002150,0.002050,0.000400,1.000000,0.000400,1.000000,0.000400,1.000000,2.101020,2.101020
0.515460,0.484540,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,3.213070,3.213070
0.508020,0.489810,0.001110,0.001070,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.023520,1.023520
0.495000,0.504570,0.000210,0.000220,0.000030,1.000000,0.000030,1.000000,0.000030,1.000000,1.000000,1.000000
0.488160,0.505300,0.003210,0.003330,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.505790,0.493970,0.000120,0.000110,0.000520,1.000000,0.000520,1.000000,0.000520,1.000000,1.551760,1.551760
