null1,null2,bsA
-94054.395640,-94054.395642,-94052.955268
-94712.115679,-94711.989539,-94711.989539
-94164.643917,-94164.644765,-94164.643923
-94612.159589,-94612.151979,-94612.153775
-95548.457480,-95548.422147,-95548.194014
-94961.280263,-94959.424860,-94959.346028
-94766.060152,-94765.012621,-94764.945986
-94987.579510,-94987.433866,-94987.215854
-95513.799470,-95513.335046,-95513.335044
-95326.839867,-95326.839867,-95326.839650
-93815.181042,-93815.112229,-93815.026708
-94356.390809,-94356.042997,-94354.926931
-94354.243729,-94354.243726,-94354.243736
-94928.796951,-94928.790638,-94925.960664
-94220.710255,-94220.650929,-94220.710238
-95027.499641,-95027.482496,-95027.482496
-95709.048420,-95709.048420,-95707.463657
-94821.811919,-94821.757270,-94821.737893
-95625.975914,-95625.984544,-95625.975902
-94950.591947,-94950.591947,-94950.484412
-94938.136565,-94938.103210,-94938.103212
-95323.867560,-95323.867560,-95321.379698
-95292.913134,-95293.258883,-95292.111076
-94296.778112,-94296.563101,-94296.088079
-93932.910250,-93932.910251,-93932.910250
-94725.901944,-94725.756479,-94725.755843
-94986.457107,-94986.480088,-94986.463168
-96200.741480,-96199.443643,-96199.443643
-94181.586915,-94181.586920,-94181.585566
-95444.205105,-95444.205105,-95444.045476
-94399.082288,-94397.538397,-94397.538397
-95317.036435,-95316.974439,-95316.653554
-94169.957454,-94168.576567,-94167.423284
-94773.637140,-94773.243263,-94773.227416
-95291.733972,-95290.140749,-95288.550706
-94769.979563,-94768.887897,-94768.814457
-94138.315447,-94137.810378,-94137.810378
-94951.709618,-94949.329832,-94948.191060
-95330.740164,-95330.740165,-95330.740162
-94380.361808,-94380.361808,-94380.361809
-95499.808008,-95497.361056,-95496.121100
-94966.225821,-94965.825571,-94965.825571
-95749.063300,-95749.032613,-95749.032613
-95156.782202,-95156.782202,-95156.782202
-95729.297076,-95729.297076,-95729.297077
-95055.890361,-95055.821945,-95055.821935
-94634.019340,-94634.019340,-94634.019340
-94746.582790,-94746.452824,-94746.452824
-94533.303155,-94533.303155,-94533.303155
-94440.703518,-94440.044438,-94438.018967
-94658.890768,-94658.890768,-94658.890768
-94848.564702,-94848.564701,-94847.905461
-95618.820618,-95618.820619,-95617.823541
-95579.779741,-95579.779741,-95579.856432
-93724.754251,-93724.597978,-93724.595652
-94604.135168,-94604.082959,-94603.377647
-94457.082807,-94456.705897,-94455.723082
-93903.093459,-93903.081691,-93903.074773
-94507.942512,-94507.942507,-94507.943431
-93459.479395,-93459.320581,-93459.320583
-96048.805889,-96048.103796,-96048.103796
-94906.027959,-94906.024912,-94905.936406
-95262.653800,-95262.653802,-95262.366995
-94257.828587,-94257.844204,-94257.388774
-94937.361313,-94937.356682,-94936.943733
-94039.150178,-94039.150178,-94039.150178
-94728.014158,-94727.167407,-94726.938243
-95044.804884,-95044.399211,-95043.594138
-94070.536438,-94070.536438,-94070.455207
-94137.137890,-94137.068870,-94136.965962
-94871.852385,-94871.843475,-94870.664799
-94891.643725,-94891.558550,-94891.558550
-94698.527240,-94698.662760,-94698.527232
-94581.347900,-94581.137420,-94581.136560
-94906.595963,-94906.439617,-94906.060043
-96184.866679,-96181.887181,-96181.887181
-95206.795584,-95206.795584,-95206.795584
-94646.716145,-94646.698391,-94646.644259
-94666.385499,-94666.385499,-94666.385499
-95462.379810,-95461.163373,-95461.162478
-94414.508640,-94414.106591,-94414.504734
-95007.960060,-95007.960060,-95007.960093
-94607.499871,-94607.464648,-94607.464572
-93932.156642,-93932.156643,-93930.780052
-95563.390495,-95563.286287,-95563.286287
-94824.776594,-94824.110351,-94824.110351
-94403.140124,-94403.152815,-94402.139192
-94459.122281,-94459.122281,-94458.903463
-95384.915840,-95384.991515,-95383.714661
-95223.322290,-95223.322290,-95222.246408
-95232.665796,-95232.606458,-95232.606458
-95598.841648,-95598.841649,-95598.841649
-94662.353986,-94660.637766,-94660.637766
-96053.243556,-96053.060662,-96053.060660
-93155.310070,-93154.110439,-93152.770124
-94131.469432,-94131.433814,-94131.433811
-94571.901134,-94571.897885,-94570.985571
-93291.538120,-93291.352810,-93290.351866
-95484.333016,-95484.333013,-95484.333017
-95181.694273,-95181.694274,-95179.652162
-94361.125459,-94361.125459,-94361.134232
-94919.983041,-94919.960542,-94919.960542
-94966.117614,-94964.824569,-94964.816187
-95087.390718,-95087.390720,-95087.262481
-94188.762992,-94188.751419,-94188.662533
-94437.287475,-94437.386546,-94437.291616
-95344.357172,-95344.015856,-95344.019897
-94831.171995,-94831.171995,-94830.104641
-94963.749762,-94963.699635,-94963.699739
-96158.979242,-96158.405983,-96158.407340
-95300.451794,-95299.474594,-95298.234054
-96303.672660,-96303.473264,-96303.525482
-94814.582384,-94814.566856,-94813.252546
-94305.785225,-94305.787760,-94305.785552
-94445.214849,-94443.326177,-94443.326203
-94423.301799,-94423.340452,-94423.278221
-94780.326332,-94780.326331,-94780.326331
-94399.956473,-94399.682387,-94399.680205
-95631.359192,-95631.359192,-95631.357398
-95805.831592,-95805.831592,-95805.750533
-93977.859622,-93977.839492,-93977.172272
-95733.896825,-95733.896826,-95733.898216
-94858.102568,-94857.560315,-94857.051275
-95394.214040,-95394.130523,-95393.560170
-94728.980234,-94728.256572,-94728.256185
-94376.550651,-94376.550652,-94376.550651
-95006.076494,-95005.266787,-95005.266787
-94790.103988,-94789.265527,-94788.917701
-96778.341612,-96778.341612,-96778.341740
-95364.654511,-95364.233883,-95363.130409
-95177.377210,-95177.216901,-95177.216901
-94977.393857,-94976.907356,-94976.828230
-93440.984154,-93439.337232,-93439.336213
-95677.517158,-95677.103652,-95676.961689
-94596.069153,-94595.951356,-94595.843410
-94448.588105,-94448.588106,-94448.329080
-95201.377879,-95201.377183,-95200.648456
-94969.598762,-94969.529490,-94969.180673
-94375.014964,-94374.907441,-94373.745433
-94921.355953,-94921.199840,-94919.985627
-95861.509094,-95861.509098,-95861.390893
-94971.014669,-94970.963423,-94970.343704
-95357.404397,-95357.188874,-95356.498314
-94868.799908,-94867.437810,-94867.429219
-95512.215851,-95511.968386,-95509.986833
-95024.795162,-95024.737831,-95018.966960
-94271.052878,-94271.052879,-94270.926808
-93811.374947,-93810.844149,-93810.844149
-94805.522866,-94805.532847,-94804.442599
-94684.113368,-94683.767993,-94683.255730
-94943.115660,-94942.911532,-94942.843169
-95012.400455,-95012.691874,-95012.026347
-95336.678234,-95336.494976,-95336.495003
-94637.034632,-94637.034632,-94637.034313
-94496.354243,-94496.294913,-94496.294914
-94858.653292,-94858.653292,-94858.247490
-94987.474490,-94987.473754,-94987.473262
-94720.389516,-94720.389516,-94720.297266
-93491.087638,-93491.087645,-93491.087501
-95503.017858,-95502.987107,-95502.987107
-94711.624822,-94711.624822,-94711.624822
-94409.361125,-94409.340979,-94409.340979
-95350.909506,-95350.909509,-95350.863686
