null1,null2,bsA
-78091.463810,-78091.182944,-78091.182944
-77423.354696,-77423.000156,-77422.435501
-77904.957739,-77904.936457,-77902.977062
-77346.918281,-77346.805147,-77346.805147
-78580.263527,-78580.263527,-78580.263527
-78312.436602,-78312.436602,-78312.436603
-78378.540762,-78378.540762,-78378.540762
-77867.768554,-77867.712250,-77867.712250
-78327.720701,-78327.399028,-78327.399028
-78228.457109,-78228.457109,-78228.457110
-77695.531843,-77695.531844,-77695.531844
-77869.272997,-77869.272997,-77869.272997
-78291.580696,-78291.580696,-78291.580696
-77791.330867,-77791.221655,-77791.019484
-77058.929092,-77058.929092,-77058.929092
-78663.429510,-78663.429510,-78663.429510
-77636.304584,-77636.304584,-77636.304584
-78634.909655,-78633.713820,-78633.713820
-78422.894512,-78422.706394,-78422.249674
-77875.376351,-77875.075799,-77875.075799
-77409.123614,-77409.123614,-77409.123614
-78431.161614,-78431.111917,-78431.111917
-78104.507263,-78104.507263,-78104.507263
-77487.651552,-77487.651552,-77487.651552
-78211.284382,-78211.050889,-78211.011570
-78054.316718,-78054.316718,-78054.316718
-77669.986013,-77669.986013,-77669.986014
-78516.587683,-78516.587684,-78516.587684
-77960.261123,-77959.708653,-77959.681603
-78073.936231,-78073.936231,-78073.936231
-77392.510824,-77392.510824,-77392.510824
-78704.643238,-78702.990407,-78702.990407
-77589.091659,-77589.091659,-77589.091659
-77698.132627,-77698.089279,-77698.089279
-78327.675667,-78327.657471,-78327.656950
-77207.652479,-77207.652479,-77207.540664
-77653.303694,-77652.307281,-77652.307281
-77757.583592,-77757.559657,-77757.559657
-77673.423973,-77672.496872,-77672.481304
-77940.714328,-77940.714328,-77940.714328
-78060.950228,-78060.950228,-78060.950228
-77848.450024,-77848.449310,-77847.511052
-78274.188283,-78274.188283,-78274.188283
-78204.003991,-78203.419247,-78200.555235
-78572.439692,-78572.343583,-78572.343583
-78407.915205,-78407.915205,-78407.915205
-77857.078831,-77857.078831,-77857.078831
-77800.513577,-77798.811395,-77797.504643
-77894.278607,-77894.277488,-77894.277488
-77273.199314,-77272.970993,-77272.661557
-78607.080873,-78606.806916,-78606.569806
-77320.747284,-77320.684723,-77320.684723
-78347.895065,-78347.895065,-78347.895065
-77470.950382,-77470.672276,-77470.625088
-77748.420070,-77748.420070,-77748.420070
-77757.033783,-77757.026365,-77757.007195
-77618.249388,-77618.060138,-77618.060138
-76937.583490,-76937.583491,-76937.583490
-78120.329459,-78120.255003,-78120.067732
-77948.256192,-77947.337828,-77947.337828
-77864.500038,-77864.500038,-77864.500038
-78041.995985,-78041.995985,-78041.995985
-78208.598703,-78208.598703,-78208.598703
-77729.911226,-77729.911226,-77729.911226
-78189.261513,-78188.890564,-78188.889827
-77249.980296,-77249.980296,-77249.980296
-77986.551385,-77986.551383,-77986.551383
-78410.521492,-78410.521492,-78410.521492
-78029.117874,-78028.238066,-78028.238066
-77480.413405,-77480.320567,-77480.320567
-78494.421348,-78494.421348,-78494.421348
-78419.538625,-78419.535756,-78419.535756
-77946.449679,-77946.424812,-77945.068978
-77425.009527,-77420.635128,-77420.635128
-77447.175903,-77447.175903,-77447.175903
-77933.099598,-77933.099598,-77933.099599
-77177.260788,-77177.260789,-77177.260788
-77403.559980,-77402.892535,-77402.892329
-77595.748048,-77595.748048,-77595.748048
-78246.742019,-78245.428232,-78245.428232
-77873.696605,-77873.687776,-77873.687776
-78093.631711,-78093.081718,-78092.738254
-77602.197378,-77602.197378,-77602.197378
-77275.461942,-77275.117738,-77275.117738
-77889.403114,-77889.403114,-77889.403114
-78146.999543,-78146.999543,-78146.999543
-78086.641562,-78086.641562,-78086.641562
-78261.388213,-78261.292763,-78261.250445
-78084.414027,-78084.414027,-78084.414028
-78318.292081,-78317.214551,-78316.902373
-78073.019500,-78073.019500,-78073.019500
-78525.274167,-78525.274167,-78525.274167
-77692.068914,-77692.068914,-77692.068914
-79177.682138,-79177.682138,-79177.682138
-77414.358848,-77414.358848,-77414.358848
-77990.735367,-77990.735367,-77990.735367
-78255.416068,-78254.023316,-78254.023316
-77509.492579,-77509.294170,-77508.587214
-78666.742053,-78666.742053,-78666.742053
-77879.335948,-77879.331318,-77879.066739
-77722.990441,-77722.990441,-77722.990441
-77409.344069,-77409.344069,-77409.344069
-78639.680285,-78637.919630,-78637.815572
-78350.880532,-78350.820092,-78350.820092
-77495.973892,-77495.973892,-77495.973892
-77796.596421,-77796.593413,-77796.568482
-77954.967771,-77954.960628,-77954.795488
-78187.432370,-78187.245342,-78187.245342
-77291.332186,-77291.295270,-77291.295270
-78372.758597,-78372.758597,-78372.758598
-78123.931347,-78123.931347,-78123.931347
-78231.989525,-78231.989525,-78231.989526
-77996.503669,-77996.503669,-77996.503669
-77960.937969,-77960.937970,-77960.937969
-77788.480127,-77788.480127,-77788.480127
-77590.338062,-77590.338062,-77590.338062
-77729.126497,-77729.072428,-77729.072428
-78198.683030,-78198.683030,-78198.683030
-78517.269967,-78517.269967,-78517.269967
-77677.577258,-77677.212787,-77677.177819
-77551.392095,-77550.933831,-77550.833837
-78806.219213,-78806.211531,-78806.211531
-78286.073015,-78285.522081,-78285.522081
-78043.121457,-78043.108133,-78042.220223
-78369.264104,-78369.264104,-78369.264104
-77217.796608,-77217.796608,-77217.796608
-78129.243350,-78129.239039,-78127.553853
-77739.333112,-77739.333112,-77739.333112
-78426.461174,-78425.620577,-78425.296227
-77970.301849,-77970.111346,-77970.111346
-78223.195415,-78222.614706,-78221.581774
-77423.088254,-77422.477873,-77421.800546
-77538.000085,-77538.000086,-77538.000085
-77917.475585,-77917.135031,-77916.821681
-78339.886922,-78339.886922,-78339.886922
-77597.220090,-77597.220090,-77597.220090
-77401.941540,-77401.941540,-77401.941540
-78043.674815,-78043.537630,-78043.537630
-77763.848410,-77763.530939,-77763.530939
-77630.407107,-77630.307126,-77630.307126
-77791.031050,-77791.031051,-77791.031051
-78063.046389,-78063.046389,-78063.046389
-78195.312276,-78194.633293,-78194.633293
-77827.454844,-77827.454350,-77827.364144
