null,c0
-86205.256434,-86205.259879
-86850.582277,-86849.907658
-86478.534799,-86478.534800
-86651.475732,-86652.405481
-87369.775924,-87369.497886
-87074.166236,-87074.166383
-86342.437606,-86342.148962
-87058.896003,-87058.879538
-87496.902964,-87494.550121
-86953.566831,-86953.653852
-85867.475315,-85867.225848
-86881.753965,-86881.754011
-86712.810103,-86712.810465
-86712.005071,-86711.951856
-86034.093370,-86034.093370
-87116.712587,-87116.728045
-88063.353934,-88062.911952
-86607.010233,-86607.010619
-87639.897512,-87639.982627
-86964.221875,-86964.226655
-86768.324226,-86768.145752
-87102.468270,-87102.468843
-87260.801688,-87260.326582
-86194.518336,-86194.440898
-85778.594352,-85778.598677
-86885.945415,-86885.952543
-86509.968057,-86509.938448
-87956.362265,-87956.363918
-86265.166584,-86265.067570
-87575.053225,-87575.053799
-86335.325580,-86335.325580
-87133.331748,-87133.331748
-86282.986534,-86282.987023
-86967.143107,-86966.845096
-87278.269745,-87278.171854
-86631.055151,-86631.059302
-86266.743732,-86266.751070
-86741.718121,-86741.718265
-87417.833009,-87417.869451
-86153.282955,-86153.426590
-87159.947126,-87159.947094
-87172.081017,-87171.416405
-87597.862964,-87597.862964
-87167.856470,-87167.856538
-87633.585894,-87633.571503
-86774.431978,-86774.432327
-86567.295692,-86567.295692
-86767.710713,-86767.153334
-86732.871088,-86732.871218
-86284.063542,-86284.063542
-86817.689160,-86817.689383
-86915.789269,-86915.789269
-87579.924714,-87580.196481
-87279.072321,-87278.892344
-85968.825262,-85968.829039
-86689.414453,-86689.414453
-86210.760211,-86210.760781
-86292.326612,-86292.325629
-86533.739700,-86534.230494
-85419.702198,-85419.712043
-87800.936825,-87800.936825
-86772.497353,-86772.497353
-87060.575905,-87060.337929
-86372.218058,-86372.215172
-86937.694659,-86937.465605
-85909.407557,-85909.412656
-86795.024658,-86795.025331
-87195.197940,-87195.198752
-86196.575891,-86196.417311
-86192.108269,-86192.152538
-86710.293417,-86710.293561
-86833.038082,-86833.038514
-86409.847142,-86409.847154
-86439.973475,-86439.973522
-86777.389412,-86777.526859
-87729.704616,-87729.698387
-87116.741809,-87116.741102
-86707.330996,-86707.331058
-86551.672022,-86551.316948
-87611.859403,-87611.628913
-86339.534138,-86339.462173
-87010.303571,-87009.977477
-86443.419346,-86443.426915
-85691.684377,-85691.684377
-87300.503973,-87300.455438
-86545.823824,-86545.637447
-86486.490398,-86485.904844
-86489.855570,-86489.837683
-87185.190298,-87185.190598
-86995.252322,-86995.252719
-87048.202216,-87048.202217
-87791.476244,-87791.476246
-86725.543235,-86725.522599
-87827.715439,-87827.715709
-85318.322947,-85319.354684
-86281.538454,-86281.539692
-86424.705800,-86424.706389
-85439.490325,-85439.731598
-87491.952581,-87491.918501
-87262.073074,-87261.313543
-86476.406704,-86476.407739
-86653.427281,-86653.431559
-86953.677979,-86953.677985
-87127.291633,-87127.349867
-86030.891789,-86030.891844
-86293.540196,-86293.540222
-87494.105597,-87494.095941
-86679.002538,-86679.003034
-86683.766168,-86683.300155
-87845.257444,-87845.257456
-87104.069779,-87104.069779
-87875.619318,-87875.619318
-86988.429808,-86988.429808
-86310.732116,-86310.722898
-86210.999709,-86210.669188
-86273.971650,-86273.957047
-86665.413996,-86665.230928
-86366.915593,-86366.916272
-87526.688904,-87526.688890
-87578.202832,-87578.002377
-86135.399943,-86135.400073
-87770.557923,-87770.644368
-86532.303311,-86532.303670
-87390.694509,-87390.688650
-86984.360208,-86984.337756
-86570.823483,-86570.823550
-87023.721248,-87023.721519
-86857.425010,-86857.425023
-88726.884188,-88726.884187
-87084.758716,-87084.409345
-87213.612336,-87213.613175
-86463.207485,-86463.207689
-85777.609197,-85777.663033
-87457.403965,-87457.404025
-86869.149273,-86869.094138
-86500.374001,-86500.374004
-87363.000885,-87362.747427
-87093.041947,-87093.042459
-86194.839676,-86194.700840
-86568.831308,-86568.831318
