null1,null2,bsA
-95294.315472,-95293.435620,-95293.435668
-95446.294965,-95446.295524,-95446.295366
-95088.524859,-95088.524882,-95088.525072
-95491.568737,-95490.775120,-95490.767110
-96323.275180,-96323.275180,-96323.275184
-95541.629136,-95541.630257,-95541.629134
-95578.478985,-95578.319375,-95578.317948
-95851.732228,-95851.732233,-95851.732127
-96551.949306,-96551.447708,-96551.430437
-96193.206880,-96193.206913,-96193.206902
-94538.793281,-94538.793281,-94538.797850
-95538.105935,-95537.795053,-95537.792125
-95460.634928,-95460.634938,-95460.634967
-95963.070278,-95962.980189,-95963.001937
-95269.575849,-95269.574673,-95269.575054
-95852.118423,-95852.118423,-95852.118470
-96681.894773,-96681.895438,-96681.894775
-95617.473906,-95617.473923,-95617.474237
-96596.672942,-96596.487915,-96596.488306
-95867.283489,-95867.283686,-95867.283795
-95970.150695,-95970.150770,-95970.150926
-96393.266329,-96393.231985,-96393.231984
-96369.603439,-96369.604213,-96369.603930
-95263.395086,-95263.213917,-95263.212801
-94630.552469,-94630.552482,-94630.555154
-95519.061061,-95519.061071,-95519.061787
-96209.368939,-96209.370238,-96209.368942
-97035.785870,-97035.516586,-97035.510372
-95104.007641,-95104.009029,-95104.007729
-96767.836837,-96767.837888,-96767.837060
-95316.308149,-95316.167927,-95316.161931
-96381.433226,-96381.433229,-96381.433227
-95092.546044,-95092.458819,-95092.452011
-95712.472594,-95712.473067,-95712.472594
-96008.264505,-96008.264515,-96008.265136
-95564.967357,-95564.817280,-95564.817328
-95025.209816,-95024.653605,-95024.725395
-95767.155885,-95767.155963,-95767.155885
-96202.009097,-96202.009115,-96202.010299
-95123.051260,-95123.051270,-95123.051262
-96383.404835,-96383.403168,-96383.403207
-95733.062097,-95732.937449,-95732.934613
-96594.250524,-96594.250532,-96594.250524
-96107.446504,-96107.445694,-96107.445808
-96690.539430,-96690.539388,-96690.539423
-95833.328201,-95833.298836,-95833.298781
-95524.680980,-95524.681012,-95524.681026
-95646.103313,-95646.315777,-95646.103323
-95641.461341,-95641.024166,-95640.942845
-95408.642069,-95408.642776,-95408.652019
-95752.904195,-95752.904300,-95752.909269
-95801.465838,-95800.483501,-95800.498389
-96561.304360,-96561.304664,-96561.305260
-96351.266792,-96351.267411,-96351.266835
-94469.023048,-94469.023099,-94469.023060
-95302.841638,-95302.841646,-95302.841644
-95247.126497,-95245.277293,-95245.218701
-94886.555068,-94886.555102,-94886.555324
-95453.793356,-95453.794376,-95453.795720
-94275.763190,-94275.764056,-94275.763235
-96760.446967,-96760.992459,-96760.446969
-95790.507309,-95790.507312,-95790.507351
-96197.183778,-96196.909210,-96196.908943
-95340.707210,-95340.707214,-95340.707211
-95919.585564,-95919.585621,-95919.585577
-95138.614192,-95138.686700,-95138.615421
-95638.929312,-95638.929881,-95638.929319
