k,p0,p1,p2a,p2b,w0,w2
1.894710,0.921870,0.017120,0.059890,0.001110,0.021300,999.000000
1.995180,0.881610,0.021060,0.095060,0.002270,0.024160,999.000000
1.929350,0.849100,0.017160,0.131090,0.002650,0.022960,999.000000
1.792190,0.911250,0.022580,0.064570,0.001600,0.022890,999.000000
1.902640,0.908850,0.020100,0.069510,0.001540,0.023090,999.000000
2.046270,0.908190,0.023450,0.066640,0.001720,0.020780,999.000000
1.994160,0.741990,0.020730,0.230830,0.006450,0.022320,5.303760
1.882170,0.875450,0.019270,0.103010,0.002270,0.022890,999.000000
1.957880,0.892600,0.015940,0.089850,0.001610,0.023790,999.000000
1.952790,0.889070,0.024960,0.083620,0.002350,0.025110,999.000000
