null1,null2,bsA
-73687.909994,-73687.643341,-73687.643344
-74039.545759,-74039.545759,-74039.112008
-74123.534821,-74123.534821,-74123.139284
-73836.389770,-73836.389770,-73836.389770
-74901.610487,-74901.341577,-74901.341577
-74506.679596,-74506.500827,-74505.505221
-74130.559758,-74130.559758,-74130.559817
-74656.175991,-74655.980711,-74655.980711
-75157.078552,-75157.078552,-75157.023946
-74733.233246,-74733.233657,-74733.233247
-73688.107391,-73685.458983,-73685.458983
-74383.026891,-74383.026891,-74381.805516
-74201.042065,-74201.042065,-74201.042065
-74277.772373,-74277.772317,-74277.693794
-73415.804767,-73415.804784,-73415.804767
-74958.393984,-74958.662860,-74957.892368
-74923.204264,-74923.204264,-74923.204264
-74176.494866,-74176.494867,-74174.204850
-74783.405431,-74783.346456,-74783.314866
-74683.764172,-74683.360446,-74683.277617
-74226.109964,-74226.109964,-74226.110228
-74889.589224,-74889.589224,-74889.589224
-74952.368579,-74952.363851,-74952.363851
-74050.473922,-74050.473922,-74050.473922
-73683.088637,-73683.090959,-73683.088836
-74523.948836,-74523.948836,-74523.863071
-74176.505375,-74176.505376,-74176.505376
-75225.007388,-75225.007388,-75225.007388
-73671.400038,-73671.105984,-73671.105984
-75221.439711,-75221.439491,-75217.211460
-73764.093859,-73764.017076,-73762.632778
-75036.166752,-75036.166752,-75035.229858
-73950.325951,-73950.360491,-73950.063743
-74515.299440,-74513.967983,-74513.967983
-74749.322307,-74748.527302,-74748.474774
-73738.088808,-73738.088809,-73738.089563
-73900.469251,-73900.469251,-73900.469251
-74417.091299,-74416.540766,-74415.232625
-74844.958558,-74844.948427,-74845.077617
-73612.174447,-73611.250504,-73611.250504
-74859.951863,-74859.951863,-74859.951863
-74465.986678,-74464.495920,-74464.495920
-75210.256940,-75210.256940,-75210.256940
-74701.786943,-74701.468731,-74699.886873
-75036.907223,-75036.907223,-75036.907223
-74433.245576,-74432.172631,-74431.581185
-73887.777141,-73887.275098,-73887.010215
-74214.852231,-74214.622726,-74214.940832
-74187.110011,-74187.110011,-74187.110011
-73645.960756,-73645.292411,-73645.292411
-74611.248348,-74610.399667,-74610.399667
-74125.982530,-74125.982530,-74125.982530
-75056.712416,-75056.463977,-75056.463977
-74728.054983,-74728.054983,-74727.623544
-73977.295135,-73977.297219,-73977.295135
-74305.664363,-74305.283494,-74305.283494
-74087.039299,-74086.658949,-74086.658950
-73569.049201,-73569.049201,-73567.811339
-73895.247237,-73895.247237,-73895.247237
-73198.120512,-73197.965805,-73197.624187
-75232.654400,-75232.654400,-75232.457702
-74535.825441,-74535.805227,-74535.046492
-74731.595645,-74731.595646,-74731.595645
-74260.043600,-74259.894704,-74259.894188
-74457.419400,-74457.419082,-74457.419082
-73506.376433,-73506.376434,-73506.376433
-74362.397203,-74362.397203,-74362.397215
-74727.667053,-74727.667054,-74727.545940
-73900.404893,-73900.404893,-73900.404893
-73788.960006,-73788.635046,-73788.492511
-74608.328955,-74608.328955,-74608.328955
-74485.812723,-74485.586420,-74485.477947
-74146.260315,-74146.260315,-74146.260315
-74170.456609,-74170.114193,-74170.113812
-74194.153388,-74194.153389,-74194.153388
-75172.258969,-75172.218760,-75172.214830
-74537.572423,-74537.572423,-74537.572423
-73939.002189,-73939.002190,-73939.002189
-74212.905058,-74212.899416,-74212.899417
-74736.109367,-74736.085669,-74736.085676
-74092.347443,-74091.920947,-74091.789333
-74796.185187,-74794.727902,-74794.727902
-74176.324103,-74176.324103,-74176.324103
-73364.186270,-73363.206581,-73362.941397
-74617.313501,-74615.857195,-74615.857195
-73965.080049,-73965.080049,-73965.080049
-73929.248866,-73929.047878,-73928.520113
-74025.688104,-74024.375506,-74024.308313
-74736.492914,-74736.492451,-74734.744861
-74543.985414,-74543.985439,-74542.565651
-74821.985120,-74821.499895,-74820.551911
-75131.147714,-75131.045102,-75131.045102
-74081.187138,-74081.266316,-74081.187138
-75494.437914,-75494.437914,-75494.691676
-73310.105131,-73309.819523,-73309.808982
-73843.083064,-73843.073588,-73843.073588
-74135.580950,-74135.580950,-74135.660067
-73136.208848,-73135.763067,-73135.532343
-74967.101778,-74966.865563,-74965.667488
-74705.771745,-74705.771745,-74705.771759
-73686.698567,-73686.698568,-73686.698567
-74336.512135,-74335.966969,-74335.966969
-74690.383845,-74688.541335,-74686.847386
-74836.118495,-74836.118495,-74836.118495
-73605.359586,-73605.359587,-73605.359587
-73841.504435,-73841.508590,-73841.515577
-74950.363516,-74950.363895,-74950.364883
-74534.590844,-74533.903596,-74533.903596
-73939.118924,-73939.118924,-73939.118924
-75220.359749,-75220.246318,-75220.243911
-74428.025710,-74427.580417,-74425.330701
-75122.361806,-75122.090908,-75120.729248
-74309.963002,-74309.963002,-74309.963002
-73975.460635,-73975.460635,-73975.460635
-73886.872485,-73884.178892,-73884.009118
-74047.221494,-74047.175268,-74047.175268
-74535.483508,-74535.483508,-74535.483508
-73984.636797,-73984.635944,-73984.434958
-74982.530729,-74982.097094,-74982.097094
