p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.606770,0.194650,0.150340,0.048230,0.186140,1.000000,0.186140,1.000000,0.186140,1.000000,1.000000,1.000000
0.625310,0.275000,0.069240,0.030450,0.165090,1.000000,0.165090,1.000000,0.165090,1.000000,1.000000,1.000000
0.697380,0.273100,0.021210,0.008310,0.253610,1.000000,0.253610,1.000000,0.253610,1.000000,1.000000,1.000000
0.639410,0.262360,0.069650,0.028580,0.216130,1.000000,0.216130,1.000000,0.216130,1.000000,1.000000,1.000000
0.680620,0.303650,0.010880,0.004850,0.206510,1.000000,0.206510,1.000000,0.206510,1.000000,1.000000,1.000000
0.685280,0.277570,0.026440,0.010710,0.230860,1.000000,0.230860,1.000000,0.230860,1.000000,1.000000,1.000000
0.596410,0.334850,0.044020,0.024720,0.194750,1.000000,0.194750,1.000000,0.194750,1.000000,1.000000,1.000000
0.703130,0.225890,0.053720,0.017260,0.237460,1.000000,0.237460,1.000000,0.237460,1.000000,1.000000,1.000000
0.699760,0.300240,0.000000,0.000000,0.195910,1.000000,0.195910,1.000000,0.195910,1.000000,1.000000,1.000000
0.555960,0.325600,0.074690,0.043740,0.182680,1.000000,0.182680,1.000000,0.182680,1.000000,1.000000,1.000000
0.630090,0.353150,0.010740,0.006020,0.219170,1.000000,0.219170,1.000000,0.219170,1.000000,1.000000,1.000000
0.685450,0.283070,0.022280,0.009200,0.170590,1.000000,0.170590,1.000000,0.170590,1.000000,1.000000,1.000000
0.656110,0.203630,0.107040,0.033220,0.217590,1.000000,0.217590,1.000000,0.217590,1.000000,1.000000,1.000000
0.750730,0.220780,0.022010,0.006470,0.230380,1.000000,0.230380,1.000000,0.230380,1.000000,1.000000,1.000000
0.654990,0.288570,0.039180,0.017260,0.200630,1.000000,0.200630,1.000000,0.200630,1.000000,1.000000,1.000000
0.648940,0.341470,0.006280,0.003310,0.214830,1.000000,0.214830,1.000000,0.214830,1.000000,1.000000,1.000000
0.697120,0.241390,0.045670,0.015810,0.207000,1.000000,0.207000,1.000000,0.207000,1.000000,1.000000,1.000000
0.750910,0.249090,0.000000,0.000000,0.246460,1.000000,0.246460,1.000000,0.246460,1.000000,1.000000,1.000000
0.684960,0.269570,0.032620,0.012840,0.212280,1.000000,0.212280,1.000000,0.212280,1.000000,1.000000,1.000000
0.621690,0.281830,0.066390,0.030090,0.176380,1.000000,0.176380,1.000000,0.176380,1.000000,1.000000,1.000000
0.685570,0.314430,0.000000,0.000000,0.209100,1.000000,0.209100,1.000000,0.209100,1.000000,1.000000,1.000000
0.661040,0.218920,0.090170,0.029860,0.224670,1.000000,0.224670,1.000000,0.224670,1.000000,1.000000,1.000000
0.632320,0.269230,0.069050,0.029400,0.205050,1.000000,0.205050,1.000000,0.205050,1.000000,1.000000,1.000000
0.546860,0.239850,0.148270,0.065030,0.195160,1.000000,0.195160,1.000000,0.195160,1.000000,1.000000,1.000000
0.664880,0.281050,0.038010,0.016070,0.189700,1.000000,0.189700,1.000000,0.189700,1.000000,1.000000,1.000000
0.668130,0.309930,0.014990,0.006950,0.224620,1.000000,0.224620,1.000000,0.224620,1.000000,1.000000,1.000000
0.756920,0.228570,0.011140,0.003360,0.250770,1.000000,0.250770,1.000000,0.250770,1.000000,1.000000,1.000000
0.671580,0.271840,0.040280,0.016300,0.192210,1.000000,0.192210,1.000000,0.192210,1.000000,1.000000,1.000000
0.727080,0.268760,0.003040,0.001120,0.232990,1.000000,0.232990,1.000000,0.232990,1.000000,1.000000,1.000000
0.700670,0.289870,0.006690,0.002770,0.217820,1.000000,0.217820,1.000000,0.217820,1.000000,1.000000,1.000000
0.730410,0.269590,0.000000,0.000000,0.222660,1.000000,0.222660,1.000000,0.222660,1.000000,1.000000,1.000000
0.717490,0.231890,0.038250,0.012360,0.211100,1.000000,0.211100,1.000000,0.211100,1.000000,1.000000,1.000000
0.654860,0.302830,0.028930,0.013380,0.190730,1.000000,0.190730,1.000000,0.190730,1.000000,1.000000,1.000000
0.728280,0.271720,0.000000,0.000000,0.249590,1.000000,0.249590,1.000000,0.249590,1.000000,1.000000,1.000000
0.727170,0.184310,0.070630,0.017900,0.188930,1.000000,0.188930,1.000000,0.188930,1.000000,1.000000,1.000000
0.708980,0.221900,0.052650,0.016480,0.218990,1.000000,0.218990,1.000000,0.218990,1.000000,1.000000,1.000000
0.764510,0.235490,0.000000,0.000000,0.236470,1.000000,0.236470,1.000000,0.236470,1.000000,1.000000,1.000000
0.679890,0.258570,0.044590,0.016960,0.186940,1.000000,0.186940,1.000000,0.186940,1.000000,1.000000,1.000000
0.729980,0.269950,0.000050,0.000020,0.212590,1.000000,0.212590,1.000000,0.212590,1.000000,1.000000,1.000000
0.679970,0.233470,0.064440,0.022120,0.229920,1.000000,0.229920,1.000000,0.229920,1.000000,1.000000,1.000000
0.576760,0.265830,0.107750,0.049660,0.203760,1.000000,0.203760,1.000000,0.203760,1.000000,1.000000,1.000000
0.652540,0.312150,0.023890,0.011430,0.207110,1.000000,0.207110,1.000000,0.207110,1.000000,1.000000,1.000000
0.647430,0.283570,0.047980,0.021020,0.200670,1.000000,0.200670,1.000000,0.200670,1.000000,1.000000,1.000000
0.592120,0.357350,0.031510,0.019020,0.155360,1.000000,0.155360,1.000000,0.155360,1.000000,1.000000,1.000000
0.579100,0.358210,0.038730,0.023960,0.183990,1.000000,0.183990,1.000000,0.183990,1.000000,1.000000,1.000000
0.631200,0.304190,0.043600,0.021010,0.206360,1.000000,0.206360,1.000000,0.206360,1.000000,1.000000,1.000000
0.701820,0.219860,0.059630,0.018680,0.210690,1.000000,0.210690,1.000000,0.210690,1.000000,1.000000,1.000000
0.688270,0.311730,0.000000,0.000000,0.200180,1.000000,0.200180,1.000000,0.200180,1.000000,1.000000,1.000000
0.709270,0.210080,0.062220,0.018430,0.227180,1.000000,0.227180,1.000000,0.227180,1.000000,1.000000,1.000000
0.728640,0.261200,0.007480,0.002680,0.220420,1.000000,0.220420,1.000000,0.220420,1.000000,1.000000,1.000000
0.589600,0.283350,0.085810,0.041240,0.211320,1.000000,0.211320,1.000000,0.211320,1.000000,1.000000,1.000000
0.742670,0.257330,0.000000,0.000000,0.253560,1.000000,0.253560,1.000000,0.253560,1.000000,1.000000,1.000000
0.699220,0.300780,0.000000,0.000000,0.224120,1.000000,0.224120,1.000000,0.224120,1.000000,1.000000,1.000000
0.709470,0.290530,0.000000,0.000000,0.231390,1.000000,0.231390,1.000000,0.231390,1.000000,1.000000,1.000000
0.721520,0.190510,0.069590,0.018380,0.199020,1.000000,0.199020,1.000000,0.199020,1.000000,1.000000,1.000000
0.554980,0.379230,0.039080,0.026710,0.129970,1.000000,0.129970,1.000000,0.129970,1.000000,1.000000,1.000000
0.634100,0.286810,0.054450,0.024630,0.197340,1.000000,0.197340,1.000000,0.197340,1.000000,1.000000,1.000000
0.650270,0.339240,0.006890,0.003600,0.204120,1.000000,0.204120,1.000000,0.204120,1.000000,1.000000,1.000000
0.630990,0.329320,0.026080,0.013610,0.205450,1.000000,0.205450,1.000000,0.205450,1.000000,1.000000,1.000000
0.632620,0.214450,0.114210,0.038720,0.180430,1.000000,0.180430,1.000000,0.180430,1.000000,1.000000,1.000000
0.671060,0.280350,0.034280,0.014320,0.225670,1.000000,0.225670,1.000000,0.225670,1.000000,1.000000,1.000000
0.614040,0.319500,0.043710,0.022750,0.152200,1.000000,0.152200,1.000000,0.152200,1.000000,1.000000,1.000000
0.645370,0.247500,0.077440,0.029700,0.219300,1.000000,0.219300,1.000000,0.219300,1.000000,1.000000,1.000000
0.706250,0.204090,0.069560,0.020100,0.235020,1.000000,0.235020,1.000000,0.235020,1.000000,1.000000,1.000000
0.538130,0.322740,0.086970,0.052160,0.171140,1.000000,0.171140,1.000000,0.171140,1.000000,1.000000,1.000000
0.735760,0.264240,0.000000,0.000000,0.228430,1.000000,0.228430,1.000000,0.228430,1.000000,1.000000,1.000000
0.545320,0.403400,0.029470,0.021800,0.178010,1.000000,0.178010,1.000000,0.178010,1.000000,1.000000,1.000000
0.621600,0.232520,0.106170,0.039710,0.226160,1.000000,0.226160,1.000000,0.226160,1.000000,1.000000,1.000000
0.612760,0.366070,0.013260,0.007920,0.195800,1.000000,0.195800,1.000000,0.195800,1.000000,1.000000,1.000000
0.687600,0.226330,0.064760,0.021320,0.203610,1.000000,0.203610,1.000000,0.203610,1.000000,1.000000,1.000000
0.718070,0.264310,0.012880,0.004740,0.262240,1.000000,0.262240,1.000000,0.262240,1.000000,1.000000,1.000000
0.614420,0.211300,0.129680,0.044600,0.193000,1.000000,0.193000,1.000000,0.193000,1.000000,1.000000,1.000000
0.674500,0.252890,0.052810,0.019800,0.167050,1.000000,0.167050,1.000000,0.167050,1.000000,1.000000,1.000000
0.637320,0.284580,0.053990,0.024110,0.169960,1.000000,0.169960,1.000000,0.169960,1.000000,1.000000,1.000000
0.537740,0.368920,0.055360,0.037980,0.153420,1.000000,0.153420,1.000000,0.153420,1.000000,1.000000,1.000000
0.615010,0.285190,0.068180,0.031620,0.186340,1.000000,0.186340,1.000000,0.186340,1.000000,1.000000,1.000000
0.615160,0.353620,0.019820,0.011390,0.168920,1.000000,0.168920,1.000000,0.168920,1.000000,1.000000,1.000000
0.688450,0.311550,0.000000,0.000000,0.201020,1.000000,0.201020,1.000000,0.201020,1.000000,1.000000,1.000000
0.668480,0.243470,0.064540,0.023510,0.183920,1.000000,0.183920,1.000000,0.183920,1.000000,1.000000,1.000000
0.645140,0.273260,0.057320,0.024280,0.208450,1.000000,0.208450,1.000000,0.208450,1.000000,1.000000,1.000000
0.626650,0.270540,0.071810,0.031000,0.216320,1.000000,0.216320,1.000000,0.216320,1.000000,1.000000,1.000000
0.615150,0.262300,0.085910,0.036630,0.208480,1.000000,0.208480,1.000000,0.208480,1.000000,1.000000,1.000000
0.697830,0.224480,0.058780,0.018910,0.256190,1.000000,0.256190,1.000000,0.256190,1.000000,1.000000,1.000000
0.593800,0.250030,0.109890,0.046270,0.217480,1.000000,0.217480,1.000000,0.217480,1.000000,1.000000,1.000000
0.674540,0.325460,0.000000,0.000000,0.234710,1.000000,0.234710,1.000000,0.234710,1.000000,1.000000,1.000000
0.803280,0.196720,0.000000,0.000000,0.240990,1.000000,0.240990,1.000000,0.240990,1.000000,1.000000,1.000000
0.679810,0.292450,0.019400,0.008350,0.172120,1.000000,0.172120,1.000000,0.172120,1.000000,1.000000,1.000000
0.623850,0.315670,0.040160,0.020320,0.174650,1.000000,0.174650,1.000000,0.174650,1.000000,1.000000,1.000000
0.791060,0.173790,0.028820,0.006330,0.246550,1.000000,0.246550,1.000000,0.246550,1.000000,1.000000,1.000000
0.674780,0.228280,0.072430,0.024500,0.241340,1.000000,0.241340,1.000000,0.241340,1.000000,1.000000,1.000000
0.683380,0.244010,0.053500,0.019100,0.217430,1.000000,0.217430,1.000000,0.217430,1.000000,1.000000,1.000000
0.716240,0.283760,0.000000,0.000000,0.244460,1.000000,0.244460,1.000000,0.244460,1.000000,1.000000,1.000000
0.704540,0.233490,0.046550,0.015430,0.216320,1.000000,0.216320,1.000000,0.216320,1.000000,1.000000,1.000000
0.713730,0.260880,0.018600,0.006800,0.188110,1.000000,0.188110,1.000000,0.188110,1.000000,1.000000,1.000000
0.675580,0.324420,0.000000,0.000000,0.192520,1.000000,0.192520,1.000000,0.192520,1.000000,1.000000,1.000000
0.764390,0.148510,0.072930,0.014170,0.234510,1.000000,0.234510,1.000000,0.234510,1.000000,1.000000,1.000000
0.582720,0.354400,0.039100,0.023780,0.206730,1.000000,0.206730,1.000000,0.206730,1.000000,1.000000,1.000000
0.606660,0.212820,0.133640,0.046880,0.195430,1.000000,0.195430,1.000000,0.195430,1.000000,1.000000,1.000000
0.577370,0.296350,0.083450,0.042830,0.174370,1.000000,0.174370,1.000000,0.174370,1.000000,1.000000,1.000000
0.591460,0.271030,0.094300,0.043210,0.203350,1.000000,0.203350,1.000000,0.203350,1.000000,1.000000,1.000000
0.600270,0.305180,0.062680,0.031870,0.195580,1.000000,0.195580,1.000000,0.195580,1.000000,1.000000,1.000000
0.664400,0.301330,0.023580,0.010690,0.203370,1.000000,0.203370,1.000000,0.203370,1.000000,1.000000,1.000000
0.770650,0.165930,0.052180,0.011240,0.253530,1.000000,0.253530,1.000000,0.253530,1.000000,1.000000,1.000000
0.615980,0.253010,0.092860,0.038140,0.180210,1.000000,0.180210,1.000000,0.180210,1.000000,1.000000,1.000000
0.575010,0.316100,0.070260,0.038630,0.233760,1.000000,0.233760,1.000000,0.233760,1.000000,1.000000,1.000000
0.594500,0.282260,0.083560,0.039670,0.180720,1.000000,0.180720,1.000000,0.180720,1.000000,1.000000,1.000000
0.599170,0.365520,0.021930,0.013380,0.191990,1.000000,0.191990,1.000000,0.191990,1.000000,1.000000,1.000000
0.728150,0.241320,0.022930,0.007600,0.224680,1.000000,0.224680,1.000000,0.224680,1.000000,1.000000,1.000000
0.709820,0.290090,0.000060,0.000020,0.231750,1.000000,0.231750,1.000000,0.231750,1.000000,1.000000,1.000000
0.606620,0.333680,0.038510,0.021190,0.166070,1.000000,0.166070,1.000000,0.166070,1.000000,1.000000,1.000000
0.732270,0.231990,0.027130,0.008600,0.242610,1.000000,0.242610,1.000000,0.242610,1.000000,1.000000,1.000000
0.691230,0.287120,0.015300,0.006350,0.186310,1.000000,0.186310,1.000000,0.186310,1.000000,1.000000,1.000000
0.609350,0.306050,0.056320,0.028290,0.227740,1.000000,0.227740,1.000000,0.227740,1.000000,1.000000,1.000000
0.694050,0.267800,0.027530,0.010620,0.214810,1.000000,0.214810,1.000000,0.214810,1.000000,1.000000,1.000000
0.727130,0.272870,0.000000,0.000000,0.199750,1.000000,0.199750,1.000000,0.199750,1.000000,1.000000,1.000000
0.560200,0.291140,0.097820,0.050840,0.157110,1.000000,0.157110,1.000000,0.157110,1.000000,1.000000,1.000000
0.661100,0.248460,0.065730,0.024700,0.211580,1.000000,0.211580,1.000000,0.211580,1.000000,1.000000,1.000000
0.747290,0.216810,0.027830,0.008070,0.253820,1.000000,0.253820,1.000000,0.253820,1.000000,1.000000,1.000000
0.644580,0.263130,0.065540,0.026750,0.205230,1.000000,0.205230,1.000000,0.205230,1.000000,1.000000,1.000000
0.722550,0.277450,0.000000,0.000000,0.210290,1.000000,0.210290,1.000000,0.210290,1.000000,1.000000,1.000000
0.683360,0.286030,0.021580,0.009030,0.210500,1.000000,0.210500,1.000000,0.210500,1.000000,1.000000,1.000000
0.656000,0.287640,0.039180,0.017180,0.170980,1.000000,0.170980,1.000000,0.170980,1.000000,1.000000,1.000000
0.653130,0.228950,0.087310,0.030610,0.226920,1.000000,0.226920,1.000000,0.226920,1.000000,1.000000,1.000000
0.733670,0.215090,0.039620,0.011620,0.242800,1.000000,0.242800,1.000000,0.242800,1.000000,1.000000,1.000000
0.716050,0.269450,0.010540,0.003970,0.211590,1.000000,0.211590,1.000000,0.211590,1.000000,1.000000,1.000000
0.631750,0.300560,0.045860,0.021820,0.180730,1.000000,0.180730,1.000000,0.180730,1.000000,1.000000,1.000000
0.630550,0.289310,0.054930,0.025210,0.198480,1.000000,0.198480,1.000000,0.198480,1.000000,1.000000,1.000000
