null1,null2,bsA
-147989.617521,-147988.994134,-147988.561106
-148018.927766,-148018.927766,-148018.360657
-149570.130749,-149570.080086,-149570.375046
-149721.814190,-149721.814190,-149721.814210
-148818.266110,-148817.545664,-148817.522676
-148592.890746,-148592.890746,-148592.303218
-147940.049746,-147939.658526,-147937.765614
-148497.923962,-148497.922939,-148497.884747
-150595.335592,-150594.758406,-150594.984242
-149704.904635,-149704.904636,-149704.766656
-149274.445015,-149272.688330,-149272.688330
-149679.250056,-149679.250057,-149679.250075
-148214.494311,-148214.122904,-148213.969337
-148502.404927,-148502.405976,-148501.422182
-148888.674151,-148888.343102,-148885.905815
-147530.945928,-147530.945929,-147530.945921
-147943.227888,-147942.993269,-147942.993269
-148642.748292,-148642.406772,-148642.127082
-148544.893349,-148544.883924,-148544.324336
-149154.861531,-149154.855756,-149154.855756
-149491.596103,-149491.596103,-149491.606376
-149650.200428,-149650.200428,-149650.200428
-149787.734524,-149787.734524,-149786.695317
-148135.657156,-148135.627958,-148135.437287
-148494.698620,-148494.698624,-148494.649398
-148621.262940,-148620.740951,-148620.740951
-149637.254600,-149637.241705,-149636.228539
-147986.170521,-147986.113266,-147986.113266
-149365.578256,-149364.950147,-149364.950147
-148270.291656,-148270.058724,-148268.813896
-148666.244011,-148666.123329,-148666.123329
-148590.813099,-148590.813099,-148590.813100
-150293.603503,-150292.472256,-150292.346364
-148410.534704,-148410.579954,-148410.535848
-147732.750121,-147732.753027,-147732.195228
-149258.937022,-149258.937023,-149258.937022
-148742.726896,-148742.174054,-148742.171606
-149310.785873,-149308.281796,-149306.008490
-147405.759767,-147405.759767,-147405.759767
-149975.422533,-149975.412646,-149975.422533
-148200.628515,-148200.628515,-148200.172343
-148671.998515,-148671.987484,-148671.644100
-148731.171632,-148730.911555,-148730.911555
-148957.525281,-148956.915210,-148956.923543
-149194.929342,-149193.569028,-149193.569028
-148885.050493,-148885.049156,-148885.032169
-149184.715508,-149184.108793,-149183.581209
-148377.922736,-148377.485750,-148377.485752
-148656.878561,-148656.871496,-148656.867004
-148672.672674,-148672.672935,-148672.311356
-148474.578307,-148474.579545,-148474.257565
-148606.558106,-148606.558106,-148606.105037
-148763.315475,-148763.176698,-148762.666657
-149487.381888,-149487.381888,-149487.381888
-147487.083450,-147487.083450,-147487.083450
-149414.511541,-149414.465955,-149414.099802
-149034.517492,-149034.517493,-149033.859296
-147687.485023,-147687.485677,-147687.489047
-149463.226182,-149463.226402,-149462.783670
-148327.400593,-148326.924638,-148326.924638
-149515.348054,-149515.059810,-149514.950512
-150260.387222,-150260.387222,-150260.387222
-148794.723377,-148794.723377,-148794.731648
-148445.064077,-148444.229175,-148444.172424
-150824.965362,-150822.561422,-150822.458094
-148721.093190,-148720.840663,-148719.130987
-147681.263524,-147681.263533,-147681.263525
-148269.708394,-148268.856047,-148265.897947
-149599.186509,-149598.861647,-149598.508014
-148134.374635,-148134.374664,-148134.374635
-149970.951355,-149970.951355,-149970.263167
-149053.817503,-149052.986875,-149052.415485
-149744.507604,-149744.109863,-149744.109863
-147847.060112,-147846.861120,-147845.160317
-148610.101952,-148610.084692,-148610.224075
-149483.891638,-149483.891728,-149483.891639
-148853.657367,-148853.657367,-148853.657393
-147533.492886,-147533.492888,-147533.321737
-149357.544366,-149357.364924,-149354.776280
-148688.749219,-148688.749219,-148688.749220
-148540.705538,-148540.705539,-148540.705538
-149628.004651,-149628.008431,-149628.004651
-148681.073140,-148681.019584,-148680.741270
-147639.091679,-147639.091680,-147639.096320
-149508.977101,-149508.958648,-149508.866144
-149567.373637,-149567.367434,-149567.367433
-148872.921314,-148872.745463,-148872.192574
-149366.529318,-149366.529318,-149366.529319
-146590.259521,-146590.265349,-146589.668082
-148707.619985,-148707.375361,-148706.903638
-149730.873582,-149730.487950,-149729.252636
-149075.734037,-149074.927679,-149074.657376
-149670.285935,-149669.101731,-149668.870819
-149436.419961,-149436.114816,-149436.114816
-148653.012334,-148653.012334,-148653.012334
-149715.733066,-149713.052388,-149712.608977
-148974.301972,-148973.156164,-148972.109811
-148542.637500,-148542.441736,-148542.441736
-148945.079572,-148945.035547,-148944.576258
-149242.620890,-149242.635666,-149242.614118
-148601.100339,-148601.100339,-148601.238703
-148768.805249,-148768.683320,-148768.683500
-147996.362871,-147996.072230,-147996.061399
-149937.847160,-149937.847160,-149935.095027
-148147.706848,-148146.877770,-148146.873764
-149124.942301,-149124.942301,-149124.942302
-149904.297108,-149904.292847,-149904.253056
-148683.991276,-148683.991276,-148683.991278
-148380.660347,-148379.968881,-148379.489053
-147615.971974,-147615.955336,-147615.956154
-149542.299877,-149541.603120,-149541.603120
-148852.160781,-148849.897919,-148849.719345
-148633.212881,-148633.212881,-148633.212881
-148167.947959,-148167.681221,-148167.680286
-148290.387874,-148289.540472,-148289.016523
-149014.256907,-149011.360121,-149011.360121
-148998.343944,-148997.457909,-148997.457909
-148561.384271,-148560.910373,-148560.906158
-149711.789212,-149710.036992,-149709.937746
-148968.967448,-148968.967450,-148968.206491
-149671.207619,-149671.207652,-149671.207619
-148504.715529,-148504.448658,-148503.084531
-147375.164200,-147374.875313,-147374.649509
-148649.477206,-148649.477206,-148649.477206
-149554.628543,-149554.628543,-149554.825767
-148142.584439,-148142.525189,-148141.842216
-149097.216053,-149097.216426,-149097.216053
-147495.091878,-147494.602403,-147494.602403
-147399.923698,-147399.840436,-147399.820014
-148953.886925,-148953.886925,-148952.698377
-149895.781546,-149895.781546,-149895.781546
-147646.640978,-147646.633632,-147646.640978
-147706.060989,-147705.055295,-147705.044457
-147741.133488,-147740.765577,-147740.765577
-149093.456144,-149093.456144,-149093.456144
-147475.569768,-147475.441303,-147474.820823
-148516.652230,-148516.652230,-148516.652231
-148002.726401,-148002.366338,-148002.246287
-148517.454362,-148517.434446,-148514.531101
-149067.006705,-149066.105819,-149066.020255
-148224.624513,-148224.553041,-148224.079340
-148262.384368,-148262.384370,-148262.384368
-148478.471673,-148478.471673,-148478.471673
-148673.641125,-148674.413860,-148673.610074
-148419.558859,-148419.528192,-148419.518792
-149397.039289,-149396.780375,-149396.780393
-148432.509249,-148432.447807,-148432.314540
-149441.923911,-149441.923911,-149441.923911
-147815.825248,-147815.825252,-147815.419283
-148003.270492,-148002.724657,-148002.073120
-147830.301833,-147830.301834,-147830.302108
-148324.730821,-148324.730896,-148324.731378
-148885.045519,-148885.045777,-148885.045519
-148348.430072,-148346.806483,-148346.249358
-149155.532992,-149155.543429,-149155.532996
-149053.996485,-149053.996486,-149053.996486
-149559.983666,-149559.983667,-149559.983667
-148107.475609,-148107.592786,-148106.968872
-148759.944496,-148759.810230,-148756.338241
-149059.382463,-149059.382463,-149058.201674
-148133.085009,-148133.003455,-148132.555218
-148428.442238,-148428.351074,-148428.351074
-149841.781996,-149840.617560,-149840.416326
-149080.555593,-149080.555593,-149080.555593
-148786.160512,-148786.160512,-148786.160512
-148946.288663,-148946.286835,-148947.049782
-150240.994129,-150240.994129,-150240.994148
-148070.391522,-148070.152233,-148070.152233
-149252.782718,-149252.782718,-149252.782719
-149117.003499,-149116.422512,-149116.386937
-148014.332082,-148014.335959,-148014.327919
-148680.985584,-148680.699213,-148680.263928
-149220.818427,-149220.761876,-149220.364687
-148876.391618,-148875.607806,-148873.207489
-148118.660910,-148118.660910,-148118.197422
-149033.555258,-149033.110499,-149033.110499
-147797.110951,-147797.110951,-147797.110951
-150123.147385,-150122.534632,-150122.534632
-148278.065579,-148284.685334,-148277.971711
-148803.470400,-148803.470445,-148802.079726
-148337.188276,-148337.188277,-148336.910428
-149054.398850,-149054.401126,-149051.964620
-149350.473401,-149350.473402,-149350.473401
-149073.895894,-149073.738709,-149072.215660
-149203.450871,-149203.450871,-149203.450871
-149233.831712,-149233.299632,-149232.357321
-148917.643237,-148917.643237,-148917.498717
-149467.933555,-149467.918677,-149467.728733
-147985.357346,-147985.357346,-147985.357346
-147694.435813,-147694.354011,-147694.354011
-148747.393959,-148747.396115,-148747.373428
-149226.764652,-149224.694302,-149224.694302
-149424.058101,-149423.659371,-149423.659371
-149507.798648,-149507.775433,-149507.665965
-149112.039796,-149111.881758,-149111.842753
-147769.538755,-147769.407330,-147769.407330
-148890.106091,-148887.749195,-148887.749195
-149133.890997,-149133.866572,-149133.535805
-147901.846493,-147901.846494,-147901.708865
-149688.374398,-149688.099465,-149688.099465
-148674.150019,-148674.150019,-148674.150385
-147760.366788,-147760.366788,-147759.910021
-149017.487121,-149014.572274,-149014.571208
-148376.168249,-148376.154274,-148376.040988
-148835.283282,-148835.316088,-148835.283288
-149430.247491,-149429.809573,-149429.726401
-149532.595882,-149532.592337,-149532.595883
-148967.708823,-148967.441117,-148966.735675
-149037.134047,-149036.730703,-149036.238908
-148115.834896,-148115.501844,-148115.273440
-150198.746762,-150198.259812,-150198.259812
-150042.287051,-150042.251790,-150042.105615
-149824.162381,-149824.113919,-149824.113919
-149371.429169,-149371.412627,-149371.056521
-149406.582649,-149406.583661,-149404.637665
-149104.584750,-149102.352017,-149102.352017
-149310.569496,-149309.716962,-149309.711242
-148758.652626,-148758.655237,-148758.652635
-149020.874991,-149020.876845,-149020.874991
-148717.469753,-148717.449043,-148717.449043
-148353.230687,-148352.976397,-148352.894231
-148470.989586,-148470.989586,-148468.709481
-149548.757873,-149548.757873,-149548.757874
-148443.086162,-148443.086162,-148443.086676
-149108.934860,-149108.482148,-149108.482148
-148044.374791,-148044.374791,-148041.891068
-149636.472172,-149636.409229,-149635.388300
-148512.934772,-148512.759119,-148512.401252
-149497.718850,-149497.292523,-149497.292538
-149521.852397,-149521.829076,-149521.526765
-149572.364944,-149572.361038,-149571.561282
-148642.053661,-148642.053661,-148642.053662
-147114.950085,-147114.950085,-147114.950086
-149340.390481,-149339.516741,-149339.516741
-150379.875204,-150379.875205,-150379.693731
-149520.548001,-149520.398534,-149520.382896
-147808.813804,-147808.611306,-147808.617693
-147861.355954,-147861.356032,-147859.139920
-150378.541250,-150378.478698,-150377.859652
-148105.419891,-148104.305833,-148104.213418
-148919.004110,-148918.988074,-148918.987814
-148765.176394,-148765.176402,-148765.176395
