p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.501110,0.487300,0.005880,0.005710,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.424400,1.424400
0.501290,0.497040,0.000840,0.000830,0.002480,1.000000,0.002480,1.000000,0.002480,1.000000,2.412180,2.412180
0.500800,0.497990,0.000610,0.000610,0.003600,1.000000,0.003600,1.000000,0.003600,1.000000,1.000000,1.000000
0.500030,0.499970,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.498960,0.498300,0.001370,0.001370,0.000050,1.000000,0.000050,1.000000,0.000050,1.000000,1.000000,1.000000
0.497990,0.497350,0.002330,0.002330,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.504850,0.489150,0.003050,0.002950,0.000320,1.000000,0.000320,1.000000,0.000320,1.000000,1.136040,1.136040
0.494150,0.501640,0.002090,0.002120,0.001480,1.000000,0.001480,1.000000,0.001480,1.000000,3.493580,3.493580
0.504870,0.484650,0.005350,0.005130,0.001520,1.000000,0.001520,1.000000,0.001520,1.000000,1.000000,1.000000
0.495690,0.504310,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.493070,0.504960,0.000970,0.001000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.514810,1.514810
0.498150,0.501850,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.507300,0.481830,0.005580,0.005300,0.001250,1.000000,0.001250,1.000000,0.001250,1.000000,1.499110,1.499110
0.493080,0.491570,0.007690,0.007660,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.506150,0.493850,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,3.328410,3.328410
0.498730,0.492180,0.004580,0.004520,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.505580,0.479040,0.007900,0.007480,0.000970,1.000000,0.000970,1.000000,0.000970,1.000000,1.292610,1.292610
0.496370,0.503630,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.506420,0.486590,0.003560,0.003420,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.505600,0.481190,0.006770,0.006440,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.367350,1.367350
0.501580,0.474740,0.012170,0.011510,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.499140,0.486870,0.007080,0.006910,0.001510,1.000000,0.001510,1.000000,0.001510,1.000000,1.000000,1.000000
0.500830,0.491150,0.004050,0.003970,0.000450,1.000000,0.000450,1.000000,0.000450,1.000000,1.056520,1.056520
0.495930,0.486340,0.008950,0.008780,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.150120,1.150120
0.496540,0.503460,0.000000,0.000000,0.002030,1.000000,0.002030,1.000000,0.002030,1.000000,1.000000,1.000000
0.496020,0.501590,0.001190,0.001200,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,3.790490,3.790490
0.494920,0.505080,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.506050,0.492520,0.000720,0.000700,0.000040,1.000000,0.000040,1.000000,0.000040,1.000000,4.953510,4.953510
