k,p0,p1,p2a,p2b,w0,w2
1.967690,0.883290,0.023180,0.091140,0.002390,0.023580,999.000000
1.894940,0.892370,0.021540,0.084060,0.002030,0.023840,14.155210
1.944950,0.931170,0.022800,0.044930,0.001100,0.021380,12.250570
1.970310,0.946200,0.024050,0.029010,0.000740,0.023000,11.149130
1.903720,0.944250,0.023110,0.031860,0.000780,0.022140,17.557850
1.872680,0.871330,0.025130,0.100630,0.002900,0.022510,999.000000
1.930660,0.952000,0.016800,0.030650,0.000540,0.023400,999.000000
2.012990,0.938090,0.021410,0.039600,0.000900,0.022030,18.775940
1.886730,0.944490,0.022570,0.032170,0.000770,0.024460,20.290910
1.968730,0.935040,0.021750,0.042230,0.000980,0.023670,999.000000
