p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.382610,0.369320,0.126230,0.121840,0.000080,1.000000,0.000080,1.000000,0.000080,1.000000,1.028510,1.028510
0.373470,0.369170,0.129420,0.127940,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.383060,0.391830,0.111280,0.113830,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.029020,1.029020
0.376570,0.382790,0.119330,0.121310,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.078600,1.078600
0.374430,0.366980,0.130590,0.127990,0.000410,1.000000,0.000410,1.000000,0.000410,1.000000,1.000000,1.000000
0.379720,0.381800,0.118910,0.119560,0.001520,1.000000,0.001520,1.000000,0.001520,1.000000,1.041330,1.041330
0.380690,0.367250,0.128300,0.123760,0.001490,1.000000,0.001490,1.000000,0.001490,1.000000,1.018610,1.018610
0.368330,0.380590,0.123480,0.127590,0.000620,1.000000,0.000620,1.000000,0.000620,1.000000,1.107170,1.107170
0.370670,0.374930,0.126470,0.127930,0.000520,1.000000,0.000520,1.000000,0.000520,1.000000,1.000000,1.000000
0.370040,0.388180,0.118000,0.123780,0.000040,1.000000,0.000040,1.000000,0.000040,1.000000,1.000000,1.000000
0.380250,0.367180,0.128490,0.124080,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.023440,1.023440
0.375700,0.370440,0.127830,0.126040,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.011690,1.011690
0.382660,0.378260,0.120230,0.118850,0.000130,1.000000,0.000130,1.000000,0.000130,1.000000,1.000000,1.000000
0.379970,0.365600,0.129670,0.124760,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.031700,1.031700
0.370910,0.376520,0.125340,0.127230,0.001140,1.000000,0.001140,1.000000,0.001140,1.000000,1.000000,1.000000
0.371690,0.371180,0.128650,0.128470,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.079560,1.079560
0.367520,0.390880,0.117080,0.124520,0.000630,1.000000,0.000630,1.000000,0.000630,1.000000,1.000000,1.000000
0.385710,0.371100,0.123940,0.119250,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.381050,0.378780,0.120440,0.119720,0.000620,1.000000,0.000620,1.000000,0.000620,1.000000,1.040180,1.040180
0.375940,0.379020,0.122020,0.123020,0.000860,1.000000,0.000860,1.000000,0.000860,1.000000,1.000000,1.000000
0.373980,0.374390,0.125740,0.125880,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.000000,1.000000
0.374970,0.366550,0.130700,0.127770,0.000060,1.000000,0.000060,1.000000,0.000060,1.000000,1.000000,1.000000
0.368690,0.378790,0.124550,0.127960,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.028320,1.028320
0.386820,0.369370,0.124720,0.119090,0.000130,1.000000,0.000130,1.000000,0.000130,1.000000,1.026380,1.026380
0.384220,0.383710,0.116110,0.115960,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.032500,1.032500
0.373440,0.388500,0.116680,0.121380,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,1.015000,1.015000
