null,c0
-99053.916850,-99053.916850
-98731.395539,-98730.281750
-99478.074564,-99478.074564
-99053.979717,-99053.979717
-98392.106057,-98392.105826
-98675.848798,-98675.848798
-98971.802125,-98971.152524
-98804.748459,-98804.748459
-98753.735891,-98753.495935
-99616.755754,-99613.777718
-99460.050391,-99460.050391
-98515.500479,-98515.500479
-98648.404566,-98648.404565
-99718.854010,-99718.854010
-99543.312013,-99543.312013
-99040.565501,-99040.538272
-98007.297564,-98007.297564
-98876.365535,-98876.365535
-99018.308443,-99018.308443
-99328.345407,-99328.345407
-98309.167231,-98309.044143
-99368.544466,-99368.542218
-98413.141205,-98413.141205
-98852.620084,-98851.955453
-98502.915637,-98502.768281
-100061.378100,-100061.378100
-99079.932045,-99079.820117
-98264.701964,-98264.701964
-98266.340256,-98266.340256
-98523.737269,-98523.737269
-99137.330683,-99137.278105
-98841.701762,-98841.300008
-100075.926012,-100075.926012
-99113.734412,-99113.734412
-98876.733914,-98876.733914
-99263.670512,-99263.670512
-98854.319504,-98852.120943
-97872.921815,-97872.097897
-99250.044976,-99249.861353
-100380.782127,-100380.782127
-99309.844045,-99309.844045
-98738.810158,-98738.810158
-98048.228877,-98048.177589
-98824.886417,-98824.886417
-99147.414844,-99147.086429
-99175.281882,-99175.281882
-99094.260073,-99093.679350
-99266.209102,-99265.899921
-99058.921521,-99057.329308
-99337.241743,-99337.186805
-99214.230990,-99214.230990
-99222.807467,-99222.807468
-98382.706092,-98382.706092
-98430.516189,-98430.516189
-98678.561835,-98678.543813
-99243.860363,-99243.860363
-99398.498208,-99398.498207
-97936.902397,-97936.902415
-98357.991155,-98357.728180
-98471.524031,-98471.311506
-99316.587680,-99316.587682
-99657.376338,-99656.137334
-99399.775729,-99397.115224
-99072.920909,-99072.890392
-99196.368465,-99196.368465
-99091.353976,-99091.303422
-98398.042902,-98398.042902
-99501.406081,-99501.017278
-99150.615291,-99150.610401
-98808.512358,-98808.512358
-99574.537762,-99574.191866
-99051.449982,-99051.449982
-98552.581371,-98552.581371
-98934.148252,-98933.919275
-98636.720406,-98636.622329
-98549.370063,-98549.370063
-98173.876600,-98173.876600
-99468.437470,-99468.437470
-99059.205584,-99059.205584
-99241.129368,-99241.099468
-100432.008216,-100432.008216
-99380.107465,-99380.087555
-98555.746667,-98555.746667
-99712.906740,-99712.630970
-99866.010871,-99865.996017
