p0,p1,p2a,p2b,w0_b,w1_b,w2a_b,w2b_b,w0_f,w1_f,w2a_f,w2b_f
0.000000,0.000000,0.183400,0.816600,0.178530,1.000000,0.178530,1.000000,0.178530,1.000000,1.000000,1.000000
0.160120,0.827600,0.001990,0.010290,0.145920,1.000000,0.145920,1.000000,0.145920,1.000000,7.347690,7.347690
0.459240,0.540760,0.000000,0.000000,0.515310,1.000000,0.515310,1.000000,0.515310,1.000000,1.000000,1.000000
0.332870,0.667130,0.000000,0.000000,0.399060,1.000000,0.399060,1.000000,0.399060,1.000000,1.000000,1.000000
0.314990,0.685010,0.000000,0.000000,0.405420,1.000000,0.405420,1.000000,0.405420,1.000000,1.000000,1.000000
0.251680,0.748320,0.000000,0.000000,0.238870,1.000000,0.238870,1.000000,0.238870,1.000000,1.000000,1.000000
0.301880,0.677600,0.006320,0.014200,0.468590,1.000000,0.468590,1.000000,0.468590,1.000000,10.621160,10.621160
0.178510,0.821490,0.000000,0.000000,0.112320,1.000000,0.112320,1.000000,0.112320,1.000000,1.000000,1.000000
0.217800,0.782200,0.000000,0.000000,0.178590,1.000000,0.178590,1.000000,0.178590,1.000000,4.858000,4.858000
0.208790,0.708830,0.018740,0.063630,0.218150,1.000000,0.218150,1.000000,0.218150,1.000000,1.518040,1.518040
0.225120,0.480140,0.094080,0.200660,0.424640,1.000000,0.424640,1.000000,0.424640,1.000000,1.289130,1.289130
0.370220,0.608010,0.008240,0.013530,0.348430,1.000000,0.348430,1.000000,0.348430,1.000000,3.813890,3.813890
0.177560,0.664520,0.033300,0.124620,0.194930,1.000000,0.194930,1.000000,0.194930,1.000000,1.000000,1.000000
0.328540,0.623060,0.016710,0.031690,0.304100,1.000000,0.304100,1.000000,0.304100,1.000000,5.610710,5.610710
0.192970,0.796110,0.002130,0.008790,0.313780,1.000000,0.313780,1.000000,0.313780,1.000000,1.000000,1.000000
0.176410,0.823590,0.000000,0.000000,0.169470,1.000000,0.169470,1.000000,0.169470,1.000000,1.000000,1.000000
0.046510,0.270790,0.100070,0.582630,0.126180,1.000000,0.126180,1.000000,0.126180,1.000000,1.000000,1.000000
0.132110,0.746010,0.018340,0.103540,0.099680,1.000000,0.099680,1.000000,0.099680,1.000000,1.000000,1.000000
0.168010,0.312570,0.181590,0.337830,0.314770,1.000000,0.314770,1.000000,0.314770,1.000000,1.000000,1.000000
0.445910,0.554090,0.000000,0.000000,0.399880,1.000000,0.399880,1.000000,0.399880,1.000000,1.000000,1.000000
