null,c0
-7982.809499,-7982.809499
-8100.757038,-8100.673548
-8019.263390,-8019.263390
-7846.282376,-7846.282376
-7885.836040,-7885.836040
-8018.811692,-8018.811692
-7946.781014,-7946.408991
-8015.521780,-8015.521780
-7949.735173,-7949.735175
-7849.313874,-7849.269346
-7931.886826,-7931.796644
-7801.902212,-7801.846045
-7998.634495,-7998.634495
-8003.883481,-8003.150894
-7988.352619,-7988.354752
-8101.022257,-8101.022257
-7947.432926,-7947.432926
-7905.015994,-7905.015994
-7959.012524,-7959.012524
-7961.060779,-7961.060779
-7824.529530,-7823.316105
-8031.967761,-8029.732435
-8083.397797,-8083.397797
-8148.386755,-8147.258510
-8093.166665,-8093.101018
-8076.889712,-8076.889712
-8018.214342,-8018.214342
-7920.181744,-7920.031010
-8049.868000,-8049.868000
-8017.287709,-8017.287709
-7999.842688,-7998.099908
-8216.491145,-8216.491145
-7989.337096,-7989.337096
-7956.601805,-7956.601805
-8029.164231,-8029.078622
-8030.763072,-8030.763072
-8211.595501,-8211.595500
-7902.229971,-7902.229971
-7947.610545,-7947.610545
-7912.771835,-7912.771835
-7950.866853,-7950.866853
-8032.074061,-8032.074061
-7959.433787,-7959.433787
-8112.588392,-8112.588392
-7942.060655,-7942.055750
-8179.354705,-8179.354705
-8165.127032,-8165.127032
-7953.590009,-7952.706111
-7915.144685,-7915.144685
-8064.540828,-8064.540828
-7923.745412,-7923.745412
-8038.545069,-8038.537138
-7965.991079,-7965.523413
-8018.269125,-8018.269125
-7983.742815,-7983.742815
-8083.956260,-8083.629072
-7988.720721,-7988.635686
-7941.890778,-7941.890778
-8071.904753,-8070.122890
-7988.576975,-7988.576975
-7847.632756,-7846.942504
-8034.359424,-8033.650569
-8039.800694,-8039.348828
-8035.879571,-8035.879571
-7868.800043,-7868.800043
-7978.596269,-7978.596269
-7971.220664,-7971.220646
-8080.999548,-8080.738463
-7961.099876,-7961.099876
-7842.556308,-7842.556308
-8083.348401,-8083.318061
-8110.166591,-8107.182479
-8014.309221,-8014.293245
-7902.004447,-7902.004447
-7797.409746,-7797.409746
-7892.479974,-7892.448382
-8115.166084,-8114.763655
-8058.676293,-8058.676293
-7943.313318,-7943.313318
-8001.032892,-8001.032892
-7743.654705,-7743.654705
-7924.311677,-7924.301583
-8133.031008,-8133.031008
-7851.100115,-7851.100115
-7815.060103,-7815.060103
-7951.115423,-7951.115423
-8168.002888,-8168.002888
-8074.734850,-8074.734850
-7980.010961,-7980.010961
-7971.692441,-7971.692441
-7973.728358,-7973.728358
-7973.155746,-7973.155746
-8185.345988,-8185.319073
-8018.434304,-8018.434304
-8263.546047,-8262.852331
-8081.788542,-8081.788542
-8119.811994,-8119.811994
-7916.063303,-7916.061947
-7918.418792,-7917.990527
-8053.027788,-8053.027788
-7932.664545,-7932.664545
-8083.030231,-8081.761518
-8198.086331,-8198.086331
-7895.088619,-7894.362575
-7809.942788,-7809.942788
-8025.268499,-8025.698348
-8022.406331,-8021.877000
-7949.127846,-7949.127846
-8050.591780,-8050.449764
-7940.397386,-7940.397386
-8069.356246,-8069.356246
-8087.741000,-8087.693312
-7990.868330,-7990.868330
-8002.760053,-8002.760053
-8113.977773,-8111.157637
-7905.461286,-7905.461286
-8087.700001,-8087.700001
-8193.852618,-8193.852618
-7996.773001,-7996.773001
-8224.357313,-8223.774690
-8029.090567,-8029.090567
-8014.585058,-8012.815758
-8074.861988,-8074.861988
-8111.929020,-8111.929020
-7932.062622,-7932.028600
-7911.267639,-7911.267639
-8070.492828,-8070.492828
-8155.271189,-8155.256935
-7857.699925,-7857.676097
-8118.780897,-8118.780897
-8029.137169,-8029.137169
-7843.349659,-7843.349659
-8240.227230,-8240.227230
-8119.943955,-8119.943955
-7843.136398,-7843.136398
-8103.149492,-8102.816124
-7924.021116,-7924.021116
-8136.710432,-8136.710432
-8198.716470,-8198.237114
-7768.548435,-7768.548435
-8235.649765,-8235.565328
-7924.238883,-7924.226385
-8113.231250,-8112.045543
-8223.878694,-8223.878694
-8050.023336,-8050.023336
-7845.528441,-7845.528441
-7952.476320,-7952.476320
-7787.171147,-7786.876347
-8163.640754,-8163.640754
-8184.125713,-8183.767717
-7977.839656,-7977.830600
-7944.583893,-7944.247676
-8080.035075,-8080.035075
-8043.123456,-8043.123456
-8053.261983,-8053.261983
-8042.288482,-8041.692318
-7837.480797,-7837.480797
-8207.357507,-8207.125716
-8374.229691,-8374.229691
-7913.879950,-7913.879950
-8159.437316,-8159.342156
-8076.812756,-8076.812756
-7796.669342,-7796.669342
-7934.886817,-7934.886817
-8018.647396,-8018.173953
-8055.301990,-8055.301990
-8160.021901,-8160.021901
-8164.227517,-8164.227517
-8032.634763,-8032.537471
-8065.197815,-8064.274974
-8202.870420,-8202.870420
-8111.952649,-8111.264809
-8143.789437,-8143.789437
-7968.986083,-7968.986083
-7928.051488,-7927.988188
-7856.152145,-7856.152145
-8190.287230,-8187.791423
-8079.223308,-8079.222616
-8351.351636,-8351.351636
-8023.471571,-8023.368456
-8070.196154,-8070.196154
-7947.059295,-7947.059295
-7972.399180,-7972.399180
-8004.404251,-8004.404251
-7928.699712,-7926.116069
-8168.183283,-8168.183283
-8066.712324,-8066.712324
-8045.587600,-8045.587600
-8244.891770,-8244.891770
-8405.067460,-8405.067460
-8141.582305,-8141.575262
-8107.444887,-8107.364845
-7878.148370,-7878.148370
-7902.563336,-7902.563336
-7853.610583,-7852.746137
-7990.555585,-7990.085524
-7763.641052,-7763.545995
-8019.418356,-8019.418356
-8208.148884,-8206.628441
-7990.753798,-7990.753798
-7891.217442,-7891.217442
-7993.609750,-7993.609750
-7897.185231,-7897.185231
-8104.387393,-8104.387393
-7887.203072,-7886.099877
-7832.005315,-7832.005315
-8047.535807,-8047.535807
-8204.781845,-8204.781791
-7987.457954,-7987.457954
-8101.312986,-8101.295753
-8067.442944,-8067.442944
-8070.931645,-8070.027561
-8095.280294,-8095.280294
-7909.323626,-7909.127980
-8047.949183,-8047.949183
-7874.080082,-7874.080082
-8158.374232,-8158.374232
-8004.091167,-8004.091167
-7914.035696,-7913.667670
-8195.983673,-8195.983673
-8188.291150,-8188.076410
-8218.452672,-8218.452672
-8168.320680,-8168.320680
-8035.913051,-8035.913051
-8061.761737,-8061.760896
-7939.145391,-7939.145391
-7992.171159,-7992.171160
-7808.017768,-7808.017768
-7887.684681,-7887.684681
-8198.013120,-8198.013120
-7874.940022,-7874.940022
-7819.740524,-7818.487257
-7935.628389,-7935.628389
-7772.168592,-7771.265808
-7864.335630,-7863.454458
-7927.241672,-7927.241672
-7856.277178,-7856.277178
-7882.495718,-7881.496626
-8008.937609,-8008.937609
-7941.334795,-7941.334795
-8006.472067,-8006.472067
-8045.786930,-8042.868141
-8043.444687,-8043.444687
-8097.691064,-8097.691064
-7982.684375,-7982.684375
-7981.582918,-7981.582918
-8047.477275,-8047.470488
-8094.080748,-8094.080748
-8073.042303,-8073.042303
-7847.738256,-7847.489622
-8141.311866,-8141.311866
-7900.158828,-7900.158828
-7900.837563,-7900.837562
-8093.749927,-8093.749927
-8227.791996,-8227.791996
-8003.287115,-8003.287115
-8201.157103,-8201.157103
-8006.811574,-8006.811574
-8320.610279,-8320.610279
-8103.081776,-8103.081776
-8003.080996,-8003.080996
-8063.834015,-8063.834015
-8119.740037,-8119.740037
-8091.238982,-8091.238982
-7897.856784,-7897.856784
-8135.589609,-8134.308653
-8033.920105,-8033.920105
-8085.424209,-8085.424209
-7994.401431,-7994.401431
-7937.339377,-7936.998864
-7952.413763,-7952.413763
-8105.504089,-8105.504089
-8122.694161,-8122.694161
-8220.959842,-8220.959842
-8088.716733,-8088.308758
-7965.541550,-7965.541550
-8254.442808,-8253.799829
-8093.433592,-8093.433592
-7925.506997,-7925.506997
-8070.152576,-8069.794743
-7923.874991,-7923.825879
-8262.126559,-8259.585905
-8072.686909,-8072.686909
-8002.826699,-8002.826699
-7972.329982,-7970.718788
-7948.857681,-7948.064799
-8161.404142,-8161.404142
-8012.962204,-8012.379882
-7811.240921,-7809.689716
-7945.750047,-7945.750047
-7909.795944,-7909.795944
-7950.726831,-7949.650823
-8065.707573,-8065.707573
-8128.353973,-8127.952996
-7848.165330,-7848.165330
-8039.317336,-8039.317336
-8022.477796,-8022.326917
-8090.092957,-8090.092957
-7994.147865,-7994.125293
-8240.347696,-8239.247814
-7805.152949,-7805.152949
-7967.571818,-7967.571818
-8093.987384,-8093.652559
-8094.194395,-8094.194395
-8012.235568,-8012.235568
-7949.566437,-7949.514145
-7721.380571,-7721.380571
-7891.954910,-7891.954910
-8096.097656,-8094.612558
-8020.023947,-8020.018732
-7852.569827,-7852.569827
-8014.368384,-8014.368384
-8155.807741,-8155.807741
-8118.419461,-8118.205605
-7983.939203,-7983.939203
-8036.008087,-8035.991781
-8202.137205,-8202.097863
-8006.803035,-8004.735464
-8121.360954,-8121.360954
-8045.795944,-8045.795944
-8029.003168,-8028.927829
-8161.773095,-8161.773095
-8019.945476,-8019.945476
-7924.024204,-7924.024204
-8076.263216,-8076.263216
-8096.954808,-8096.954808
-8065.539198,-8065.539198
-8079.200480,-8079.200480
-8066.934667,-8066.934667
-7942.592229,-7942.567324
-8263.940212,-8263.940212
-7992.920242,-7992.547751
-7874.019447,-7874.019447
-7914.782362,-7914.782362
-8120.279222,-8120.279222
-8049.271539,-8049.271539
-8030.257398,-8030.257398
-8119.425635,-8119.425635
-8207.975323,-8207.970888
-7984.342496,-7984.309538
-8046.305303,-8045.896375
-8046.653309,-8046.653309
-8316.316924,-8315.472683
-8157.429943,-8157.429943
-8060.464343,-8060.464347
-7823.648740,-7823.327119
-8084.612017,-8084.612017
-8354.303890,-8354.303890
-8045.588529,-8045.588529
-8050.203282,-8047.599926
-7868.324767,-7868.324767
-7880.235597,-7880.182587
-7908.926104,-7908.926104
-7889.730602,-7889.723669
-7981.105488,-7981.105120
-8147.219144,-8147.219144
-8033.816352,-8033.534702
-8010.647924,-8010.647924
-8115.831590,-8115.698366
-8153.692298,-8153.692298
-8094.347459,-8094.347459
-7946.013092,-7945.867290
-8183.387694,-8182.062171
-8084.143526,-8084.143526
-7836.288836,-7836.270641
-8033.457531,-8033.457531
-7951.059724,-7949.708350
-8026.385155,-8026.385155
-7934.156399,-7934.156399
-7865.999991,-7865.999991
-7959.797431,-7959.797431
-8240.802314,-8240.425049
-8093.834064,-8093.180115
-8106.823153,-8106.484526
-7786.296070,-7786.296070
-7976.278671,-7975.650740
-8154.752609,-8154.585392
-8057.325966,-8057.325966
-7918.782827,-7918.782827
-7914.395445,-7913.099818
-7962.849305,-7962.849305
-8042.370137,-8042.370137
-8103.115924,-8103.075632
-8172.867367,-8172.867367
-7573.456267,-7572.494162
-7900.059522,-7900.059522
-8049.462105,-8049.462105
-7978.467115,-7978.003544
-8141.044993,-8141.044993
-8274.282867,-8274.282867
-8061.172131,-8061.172131
-8212.119470,-8212.029725
-7953.069449,-7953.069449
-8065.188566,-8065.188566
-7886.683051,-7884.047584
-8104.259118,-8104.259118
-8118.837042,-8118.837042
-7930.291275,-7930.291275
-7978.891846,-7978.891846
-8246.697367,-8246.697367
-8173.536201,-8173.536201
-7652.601582,-7652.601582
-7849.209761,-7849.209761
-8121.830047,-8121.830047
-7981.434856,-7978.908538
-7931.099867,-7930.996592
-8104.999717,-8103.568440
-8050.208439,-8050.203948
-8043.647950,-8043.647950
-7990.111456,-7990.111456
-8037.827734,-8037.827734
-8160.821735,-8160.819867
-8039.754672,-8039.754672
-7965.842200,-7965.842200
-8097.377817,-8097.377817
-8243.772981,-8243.772981
-8081.737750,-8081.737750
-7996.859609,-7996.434079
-8404.040592,-8404.040592
-7978.583078,-7978.583078
-8054.585248,-8053.783484
-8052.600714,-8052.600714
-8128.316443,-8128.316443
-8136.934025,-8136.750476
-7946.686535,-7944.041223
-8316.628248,-8316.358616
-7822.915755,-7822.915755
-8123.671825,-8123.494404
-7924.118187,-7924.118187
-7871.488159,-7871.488159
-8110.265355,-8109.686412
-8287.959049,-8287.959049
-8189.472018,-8189.472018
-8081.937991,-8081.937991
-8033.712703,-8031.983817
-7976.928890,-7976.928890
-8193.272967,-8193.272967
-7895.418852,-7895.418852
-7977.834659,-7977.787500
-7991.166244,-7991.166244
-7955.187229,-7955.187229
-7980.933544,-7978.977442
-7917.176801,-7917.176801
-8161.759237,-8161.759237
-8137.616177,-8137.587450
-8209.643295,-8209.643295
-8237.802363,-8237.795787
-8103.323410,-8103.323410
-8016.047539,-8015.678267
-7899.257101,-7898.573528
-7935.261285,-7935.261285
-8167.685993,-8167.685993
-7892.073124,-7892.073124
-8097.569531,-8094.776609
-7984.115657,-7984.091390
-8209.123513,-8209.123513
-8410.136991,-8410.136991
-8302.315418,-8302.315418
-7877.222019,-7877.222019
-8027.421549,-8027.421549
-8066.184749,-8066.184749
-7995.266443,-7995.266443
-7934.060738,-7933.504050
-8137.996350,-8137.903676
-8015.122629,-8014.401054
-7784.886127,-7784.886127
-7897.569896,-7897.569896
-7805.868497,-7805.868497
-8019.242476,-8019.242476
-8096.083155,-8096.083155
-7949.851261,-7949.851261
-8054.825648,-8054.825648
-7887.984602,-7886.978624
-8148.092732,-8147.535508
-8288.349543,-8288.349543
-8115.301751,-8115.301751
-7787.492360,-7787.492360
-7839.253069,-7839.250118
-8038.632282,-8038.128194
-8009.499476,-8009.494967
-8043.216255,-8043.216255
-8081.817389,-8081.817389
-8041.427872,-8041.427872
-7827.411256,-7827.411256
-7992.325068,-7992.325068
-8058.878438,-8058.878438
-7990.112680,-7990.112680
-7956.484967,-7956.080151
-8049.654789,-8049.654789
-8203.865044,-8203.865044
-7917.080629,-7917.080629
-7807.482517,-7807.482517
-7988.478783,-7988.478783
-7768.209774,-7768.150987
-8026.269921,-8026.269921
-8227.194618,-8226.987011
-8052.291757,-8050.850441
-7873.054200,-7873.054200
-8071.198165,-8071.198165
-8148.391487,-8148.391487
-8056.565354,-8056.565354
-8099.367755,-8098.978144
-8102.791889,-8102.791889
-7849.117138,-7849.117138
-7818.731412,-7818.731412
-8009.242445,-8009.242445
-8229.408236,-8227.447148
-7987.188997,-7985.989479
-7924.413631,-7924.413329
-8038.019374,-8038.019374
-7981.560770,-7981.094224
-7863.417583,-7863.417583
-7802.862827,-7802.862827
-8125.436525,-8125.144939
-8060.326487,-8060.326487
-7695.334030,-7694.678705
-7882.734906,-7882.613113
-8108.278695,-8108.278695
-8157.102302,-8157.102302
-7984.444612,-7984.444612
-8200.080019,-8200.080019
-8035.581413,-8035.581413
-8018.337722,-8018.337722
-8036.316800,-8036.316800
-8001.688260,-8001.688260
-7730.495012,-7728.432413
-7920.373145,-7920.373145
-7972.549269,-7972.549269
-8060.475286,-8056.233582
-7946.335321,-7946.335321
-7900.203284,-7900.203284
-8206.898587,-8206.898587
-8152.564693,-8150.454539
-7958.462630,-7958.462630
-7924.899696,-7924.899696
-7982.441166,-7982.441166
-7840.498318,-7839.168094
-7966.247130,-7966.247130
-7944.292848,-7944.292848
-8008.195504,-8008.195504
-8110.848906,-8110.848906
-7781.692321,-7781.692321
-8024.403986,-8024.403986
-8150.378341,-8150.378341
-7935.868953,-7935.860108
-7911.410910,-7911.410910
-8236.208732,-8236.208732
-8037.412137,-8037.412137
-7897.262707,-7897.262707
-8047.782910,-8047.782910
-8118.511641,-8117.840364
-7941.872601,-7941.658939
-7978.044144,-7977.762939
-7912.313868,-7912.313868
-8105.520035,-8105.520035
-7850.157447,-7850.157447
-7953.575782,-7953.575782
-8038.444240,-8038.387220
-7941.450317,-7941.450317
-8045.922098,-8045.922098
-7960.238526,-7960.238526
-8021.590186,-8021.199185
-8049.048625,-8049.035422
-8040.417719,-8039.858949
-7962.765812,-7962.765812
-8248.563301,-8248.563301
-8013.772447,-8013.772447
-7955.924471,-7955.924471
-7926.643245,-7926.636779
-8043.475923,-8043.475923
-8098.532925,-8098.532925
-7959.278933,-7958.989588
-8048.362190,-8048.362190
-7976.497261,-7976.497261
-7897.493638,-7897.325013
-8097.281810,-8097.281810
-7888.137093,-7888.074691
-7916.136643,-7916.136643
-8055.532239,-8055.532239
-7974.129125,-7974.129125
-7844.990254,-7844.506191
-8116.142325,-8116.142325
-7997.786463,-7997.786463
-8162.161780,-8162.161780
-8292.644720,-8292.633330
-8019.562233,-8019.562233
-8197.595155,-8197.587288
-8064.600038,-8064.600038
-8081.684776,-8081.560577
-8036.507389,-8036.507389
-8232.257623,-8232.257623
-8075.593047,-8075.254561
-7977.022829,-7977.022829
-8084.224332,-8084.224332
-7988.816422,-7988.816422
-8014.729057,-8014.716401
-7906.623277,-7906.365405
-8026.559201,-8026.559201
-8052.231692,-8052.231692
-8042.687138,-8042.687138
-8144.953375,-8144.953375
-8231.858614,-8231.858614
